Hybridization REF	TCGA-B8-4619-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.512333333333333
CREB3L1	-1.77925
RPS11	0.49175
PNMA1	0.69
MMP2	-2.292
C10orf90	-3.11025
ZHX3	-0.0216666666666667
ERCC5	0.90775
GPR98	-1.7785
RXFP3	0.6265
APBB2	0.376
PRO0478	0.21675
KLHL13	-0.90025
PRSSL1	0.0228333333333333
PDCL3	-0.044
DECR1	0.362375
SALL1	2.15416666666667
CADM4	-1.8915
RPS18	0.0337142857142857
HNRPD	-0.124083333333333
CFHR5	0.756
SLC10A7	0.433125
OR2K2	0.164
LMAN1	-1.08925
SUHW1	-4.73575
CHD8	-1.0917
SUMO1	0.2606
GP1BA	0.7639
DDB1	-1.01216666666667
MYO9B	0.0403
MMP7	3.841
CRNKL1	-0.601625
C9orf45	-1.858
XAB2	-0.678125
RTN1	-0.00862499999999988
KLHL14	-1.3545
TBX10	-1.7675
CENPQ	-1.766
UTY	-1.57071428571429
ZBTB12	1.231
DTNBP1	0.95675
KBTBD8	-0.162833333333333
ZEB1	1.70466666666667
ZG16	-1.84575
MIER1	0.7544
ADAM5P	-0.1915
CHD9	0.6610625
STK16	0.0605
KIAA1486	-1.556
TOB2	1.55958333333333
BANK1	6.038
OR2V2	-0.63125
GRM2	-0.229666666666667
PROSC	-0.09125
SPIN2B	0.26075
PIR	-1.77888888888889
IPO9	-0.5713
EVC	1.87316666666667
CXCL13	6.10666666666667
KIAA1199	-4.731
SORL1	2.12
NAT10	-1.0955
CHD1	0.042
SYN3	0.053
SLC22A2	6.1395
SERPINF1	-2.21483333333333
WDR34	-1.0045
OR7A17	-0.08275
C9orf11	0.5475
RNF216L	0.0938
LHB	-0.3635
STK25	-0.5675
TAOK3	1.16275
LOC152573	-1.6655
C3orf39	-0.817875
C14orf108	0.2229
CDC25B	-2.04263636363636
BMP3	-1.3395
TMEM180	0.928
MAP1LC3C	-0.827
CRYGC	-1.222
POU3F1	-0.352
C20orf32	-1.0855
CCDC95	-0.499
HIGD1B	4.5015
USP6NL	-0.484625
ABCD4	1.36316666666667
DIMT1L	-1.08116666666667
TEK	2.78525
SLC25A46	-0.0375
LARP7	-0.8868
CD160	2.95383333333333
MT1JP	-0.686666666666667
PHF20	-0.687375
CPNE4	-2.84275
GTPBP1	-0.751785714285714
RAB33B	1.38216666666667
ALDOC	-0.054625
ZNF212	-0.803
NUDT1	-1.62366666666667
RFPL2	-1.37075
ZNF83	1.121
GDPD5	-1.367
PDCD4	0.85865
CEP350	0.1725
OR10A2	0.07775
CST7	3.43775
CIAO1	-0.7185
SELL	2.06
OR8J3	-1.559
LTBP4	-1.41733333333333
SIRT6	-1.0395
CCL19	3.3035
PPIL1	-0.847666666666667
GBP7	2.514
STK17A	-0.7794
