Hybridization REF	TCGA-AK-3426-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.43754545454545
CREB3L1	0.56325
RPS11	0.35025
PNMA1	-0.486
MMP2	-1.17233333333333
C10orf90	-0.30975
ZHX3	0.119166666666667
ERCC5	0.952
GPR98	-2.19385714285714
RXFP3	-0.2995
APBB2	-0.37425
PRO0478	1.21928571428571
KLHL13	-1.1445
PRSSL1	-2.3534
PDCL3	-0.413
DECR1	-1.39525
SALL1	0.511666666666667
CADM4	-0.531833333333333
RPS18	0.0262142857142857
HNRPD	-1.57108333333333
CFHR5	0.56775
SLC10A7	1.31766666666667
OR2K2	1.311
LMAN1	-2.64028571428571
SUHW1	-5.07533333333333
CHD8	-1.2863
SUMO1	0.5795
GP1BA	0.3045
DDB1	-1.1395
MYO9B	-0.176
MMP7	10.028
CRNKL1	-1.08975
C9orf45	-2.52516666666667
XAB2	-1.1295
RTN1	0.96975
KLHL14	-1.11714285714286
TBX10	-2.051
CENPQ	-2.16325
UTY	1.681
ZBTB12	null
DTNBP1	0.653625
KBTBD8	1.15116666666667
ZEB1	0.333833333333333
ZG16	-3.009
MIER1	0.9727
ADAM5P	1.346
CHD9	0.191266666666667
STK16	-0.24825
KIAA1486	0.3085
TOB2	-0.107916666666667
BANK1	3.9175
OR2V2	0.485
GRM2	1.121
PROSC	-0.182
SPIN2B	-0.23675
PIR	-2.43588888888889
IPO9	-0.7558
EVC	1.82416666666667
CXCL13	7.572
KIAA1199	-1.6925
SORL1	2.4465
NAT10	-0.76375
CHD1	-0.357
SYN3	-0.1645
SLC22A2	5.7695
SERPINF1	-0.0851666666666667
WDR34	-1.24325
OR7A17	0.922
C9orf11	1.071
RNF216L	-0.0407
LHB	0.3935
STK25	-0.40425
TAOK3	0.7855
LOC152573	0.9185
C3orf39	-0.3715
C14orf108	-0.9341
CDC25B	-1.34727272727273
BMP3	2.587
TMEM180	0.799
MAP1LC3C	0.07975
CRYGC	0.022
POU3F1	-1.21022222222222
C20orf32	-0.2795
CCDC95	0.1465
HIGD1B	6.01325
USP6NL	-0.77525
ABCD4	1.634
DIMT1L	-1.03016666666667
TEK	1.590875
SLC25A46	-0.81175
LARP7	-0.8586
CD160	2.0885
MT1JP	0.942
PHF20	-1.6855
CPNE4	-1.39366666666667
GTPBP1	-0.117785714285714
RAB33B	1.63416666666667
ALDOC	-0.6
ZNF212	-0.705
NUDT1	-0.98
RFPL2	1.40025
ZNF83	3.20783333333333
GDPD5	-0.895
PDCD4	1.06585
CEP350	-1.015
OR10A2	-1.798
CST7	2
CIAO1	-0.12725
SELL	0.565
OR8J3	0.3875
LTBP4	0.261
SIRT6	-0.047
CCL19	7.04425
PPIL1	-2.7878
GBP7	1.1606
STK17A	-0.029
ABR	2.043
OR9G1	2.248
FOXE1	0.67725
CNGA3	1.251
GML	-4.709
CD38	1.50325
ZDHHC6	0.0748333333333333
NEFH	-1.37675
CTDSP2	0.302833333333333
PGBD5	-1.4545
CCNY	-0.590071428571428
RMND5B	-0.493083333333333
ZNF257	-0.52125
FLJ22167	0.033375
EXOSC7	-1.73
ROR2	-1.28242857142857
MAOA	1.156875
TNNT3	-0.454666666666667
GYPC	-0.8475
C7orf33	-1.059
PLIN	-0.2878
LOC90826	-0.5965
RNF4	-0.7337
F8A1	-0.16
PLEKHG4	0.0615
GRB2	0.4295
HIST1H2AD	-0.38075
DUS3L	-1.26933333333333
EIF1	-0.603166666666667
RP5-1077B9.4	-0.979
FPGT	0.7555
GDF10	0.612
COQ9	0.2875
