Hybridization REF	TCGA-A3-3382-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.468833333333333
CREB3L1	-0.77825
RPS11	1.967875
PNMA1	-0.57625
MMP2	-1.7895
C10orf90	-1.81625
ZHX3	0.390833333333333
ERCC5	0.57175
GPR98	-1.010875
RXFP3	0.799
APBB2	1.24175
PRO0478	-0.925875
KLHL13	0.37975
PRSSL1	-0.0936666666666667
PDCL3	0.200333333333333
DECR1	0.393125
SALL1	3.3
CADM4	-0.931
RPS18	0.845357142857143
HNRPD	-1.23841666666667
CFHR5	0.205333333333333
SLC10A7	0.332125
OR2K2	-0.0195
LMAN1	-0.619875
SUHW1	-2.55475
CHD8	-2.179
SUMO1	0.3464
GP1BA	0.0663
DDB1	-1.74266666666667
MYO9B	-0.5599
MMP7	9.368
CRNKL1	0.179
C9orf45	-2.1535
XAB2	-0.741375
RTN1	1.388875
KLHL14	-0.61575
TBX10	-0.645
CENPQ	-1.71925
UTY	0.258714285714286
ZBTB12	0.0395
DTNBP1	0.10975
KBTBD8	-1.285
ZEB1	-0.579666666666667
ZG16	-1.07
MIER1	0.028
ADAM5P	0.8825
CHD9	0.03425
STK16	0.689
KIAA1486	0.646
TOB2	0.33725
BANK1	4.44425
OR2V2	0.2755
GRM2	0.284333333333333
PROSC	0.217375
SPIN2B	0.61875
PIR	0.281333333333333
IPO9	-0.6327
EVC	0.806333333333333
CXCL13	3.37183333333333
KIAA1199	-3.88566666666667
SORL1	0.05425
NAT10	-0.74475
CHD1	-0.66775
SYN3	0.00475
SLC22A2	0.49
SERPINF1	-1.39316666666667
WDR34	-1.825
OR7A17	0.37125
C9orf11	0.2585
RNF216L	-0.1031
LHB	0.156
STK25	-0.203875
TAOK3	1.057625
LOC152573	2.831
C3orf39	-0.403375
C14orf108	-0.1987
CDC25B	-1.12772727272727
BMP3	0.3545
TMEM180	0.855
MAP1LC3C	0.608
CRYGC	-0.7055
POU3F1	-0.785
C20orf32	0.041
CCDC95	0.0975
HIGD1B	4.72475
USP6NL	-1.028125
ABCD4	0.333666666666667
DIMT1L	0.265333333333333
TEK	1.755125
SLC25A46	0.4895
LARP7	-1.6238
CD160	1.35816666666667
MT1JP	0.739833333333333
PHF20	-0.5538125
CPNE4	-1.36675
GTPBP1	-0.999428571428571
RAB33B	0.894166666666667
ALDOC	-0.173125
ZNF212	-1.16925
NUDT1	-1.49666666666667
RFPL2	-0.929
ZNF83	2.44683333333333
GDPD5	-1.658375
PDCD4	0.80025
CEP350	0.0315
OR10A2	0.3455
CST7	1.968
CIAO1	-0.30125
SELL	0.90675
OR8J3	0.189
LTBP4	-0.745333333333333
SIRT6	-0.5975
CCL19	1.879
PPIL1	-1.16083333333333
GBP7	0.841
STK17A	0.8467
ABR	-1.4865
OR9G1	-0.263
FOXE1	-0.1715
CNGA3	-0.7215
GML	0.3675
CD38	-1.90075
ZDHHC6	0.814833333333333
NEFH	-3.649
CTDSP2	-0.12475
PGBD5	1.82033333333333
CCNY	0.458357142857143
RMND5B	-0.3125
ZNF257	-1.9325
FLJ22167	0.9555
EXOSC7	-1.35483333333333
ROR2	0.938375
MAOA	4.79625
TNNT3	-0.128666666666667
GYPC	0.096
C7orf33	1.518
PLIN	0.880333333333333
LOC90826	0.118
RNF4	-0.4431
F8A1	0.106
PLEKHG4	-0.84875
GRB2	-0.99585
HIST1H2AD	0.7345
DUS3L	-0.1115
EIF1	0.512833333333333
RP5-1077B9.4	-1.42566666666667
FPGT	2.17475
GDF10	-1.88916666666667
COQ9	0.235
GCC2	0.570714285714286
RARRES3	3.732375
PLXNA1	-0.8543
KIAA0100	-1.196
PMF1	-0.11075
FNDC1	0.26375
HS2ST1	-0.0600833333333333
CRELD2	-0.167
C8G	-1.4475
CD82	-0.99175
LIM2	-0.6155
UNQ6490	-0.398
MMP16	-0.3075
DRD3	0.84975
C5orf26	2.63125
C11orf73	0.233
PTP4A2	0.09525
OR4M2	0.3
HPCA	0.0431666666666667
SEC14L1	-0.280833333333333
CHFR	-0.686875
EMILIN1	-0.776875
NDUFS4	1.67775
COL18A1	-0.118125
PDZD3	2.6437
C9orf16	-0.900166666666667
ERBB2IP	0.392333333333333
EMX2	5.68325
FUS	-3.00975
TF	-4.0276
CLCN4	1.80783333333333
CXorf56	0.8275
C11orf72	0.2965
ELAC2	-2.23933333333333
NPR1	3.5235
ASS1	-0.3475
USP42	-1.051
POLR2J	-0.0585
SEC23IP	0.4955
UQCRC1	-0.8025
LOC729603	-0.69775
C1orf71	-0.77975
POLG	-3.2045
ADAM23	-4.134
TFR2	0.2205
RICTOR	-0.0481
MGC39606	3.15325
C19orf55	0.036375
