Hybridization REF	TCGA-BP-4163-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.90425
CREB3L1	-0.053
RPS11	2.02025
PNMA1	-0.4865
MMP2	-0.970833333333333
C10orf90	-1.60625
ZHX3	-0.267833333333333
ERCC5	0.505
GPR98	-1.294375
RXFP3	1.7925
APBB2	0.016
PRO0478	-0.703
KLHL13	-1.461
PRSSL1	1.96866666666667
PDCL3	-0.252333333333333
DECR1	0.061
SALL1	1.2915
CADM4	-0.3205
RPS18	1.59664285714286
HNRPD	-1.29891666666667
CFHR5	0.735
SLC10A7	0.073625
OR2K2	-0.28
LMAN1	-0.909625
SUHW1	-2.96175
CHD8	-1.7515
SUMO1	0.4662
GP1BA	0.3613
DDB1	-1.627
MYO9B	-0.1067
MMP7	7.837
CRNKL1	-0.0445
C9orf45	-2.23516666666667
XAB2	-0.449125
RTN1	2.2795
KLHL14	-0.0715
TBX10	-0.5575
CENPQ	-0.5645
UTY	-1.46071428571429
ZBTB12	-0.194
DTNBP1	0.1405
KBTBD8	-0.1035
ZEB1	0.696666666666667
ZG16	-1.421
MIER1	1.495
ADAM5P	-0.8035
CHD9	0.321
STK16	2.2625
KIAA1486	-0.455
TOB2	0.43375
BANK1	3.08125
OR2V2	-0.348
GRM2	0.532333333333333
PROSC	0.6215
SPIN2B	0.4605
PIR	-1.51011111111111
IPO9	-0.629
EVC	1.065
CXCL13	3.1905
KIAA1199	-2.9241
SORL1	1.2195
NAT10	-0.85625
CHD1	-1.04025
SYN3	-0.58975
SLC22A2	7.10975
SERPINF1	-0.192833333333333
WDR34	-0.582
OR7A17	-0.10325
C9orf11	-0.92
RNF216L	0.2216
LHB	0.957
STK25	-0.268125
TAOK3	0.39375
LOC152573	0.9085
C3orf39	-0.66775
C14orf108	-0.25
CDC25B	-2.047
BMP3	-0.0855
TMEM180	0.5095
MAP1LC3C	-0.72425
CRYGC	-1.1025
POU3F1	-0.2117
C20orf32	-1.0025
CCDC95	0.01
HIGD1B	6.36175
USP6NL	-0.655
ABCD4	0.294666666666667
DIMT1L	-0.334333333333333
TEK	2.3125
SLC25A46	0.4035
LARP7	-0.6741
CD160	1.43233333333333
MT1JP	0.9085
PHF20	-0.8159375
CPNE4	-1.9145
GTPBP1	-0.851071428571429
RAB33B	1.81916666666667
ALDOC	-0.1455
ZNF212	-1.187
NUDT1	-0.848333333333333
RFPL2	1.27025
ZNF83	1.06066666666667
GDPD5	-0.582875
PDCD4	0.93705
CEP350	-1.036
