Hybridization REF	TCGA-CJ-4641-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.310166666666667
CREB3L1	-0.32325
RPS11	0.204375
PNMA1	-0.41675
MMP2	-1.09533333333333
C10orf90	-1.43475
ZHX3	0.0628333333333334
ERCC5	1.2355
GPR98	-0.91775
RXFP3	1.1235
APBB2	0.05025
PRO0478	-0.20725
KLHL13	-0.5065
PRSSL1	-0.0248333333333333
PDCL3	0.0638333333333333
DECR1	1.101
SALL1	1.22816666666667
CADM4	-0.637333333333333
RPS18	-0.3035
HNRPD	-0.722333333333333
CFHR5	0.1995
SLC10A7	0.277428571428571
OR2K2	0.202
LMAN1	-0.781875
SUHW1	-4.3455
CHD8	-0.7214
SUMO1	0.3162
GP1BA	1.9268
DDB1	-0.673666666666667
MYO9B	0.2725
MMP7	8.2935
CRNKL1	-0.39875
C9orf45	-2.09333333333333
XAB2	0.353875
RTN1	2.080875
KLHL14	-0.282875
TBX10	-1.746
CENPQ	-2.31075
UTY	-1.64276923076923
ZBTB12	-0.2235
DTNBP1	0.2795
KBTBD8	-0.473166666666667
ZEB1	0.7085
ZG16	-1.45725
MIER1	1.2721
ADAM5P	0.475
CHD9	0.302375
STK16	0.05475
KIAA1486	-0.075
TOB2	0.676083333333333
BANK1	4.16275
OR2V2	-0.076
GRM2	0.152
PROSC	0.7685
SPIN2B	-0.3285
PIR	-1.89511111111111
IPO9	-0.4983
EVC	2.502
CXCL13	7.48316666666667
KIAA1199	-1.9503
SORL1	1.53075
NAT10	-0.665
CHD1	-0.88125
SYN3	-0.672
SLC22A2	7.47625
SERPINF1	0.627333333333333
WDR34	-1.10975
OR7A17	-0.05875
C9orf11	-0.168
RNF216L	-0.1349
LHB	0.496
STK25	-0.1905
TAOK3	1.2365
LOC152573	0.32625
C3orf39	-0.61775
C14orf108	-0.1492
CDC25B	-1.52872727272727
BMP3	0.581
TMEM180	0.4355
MAP1LC3C	0.761
CRYGC	-1.041
POU3F1	-0.6134
C20orf32	-0.6215
CCDC95	-0.091
HIGD1B	4.71275
USP6NL	-0.4825
ABCD4	0.5875
DIMT1L	-0.73
TEK	1.215
SLC25A46	-0.031
LARP7	-1.2622
CD160	2.60233333333333
MT1JP	-0.635833333333333
PHF20	-0.70975
CPNE4	-2.13933333333333
GTPBP1	-0.346642857142857
RAB33B	0.578
ALDOC	-0.75
ZNF212	-0.61925
NUDT1	-1.18983333333333
RFPL2	-1.0315
ZNF83	1.1965
GDPD5	-1.3555
PDCD4	0.701
CEP350	-0.17125
OR10A2	0.2675
CST7	3.414
CIAO1	-0.609
SELL	2.02125
OR8J3	1.0485
LTBP4	-0.0251666666666667
SIRT6	-0.08175
CCL19	5.165
PPIL1	-1.77333333333333
GBP7	3.00866666666667
STK17A	0.0395
ABR	0.62825
OR9G1	-0.908
FOXE1	-0.756875
CNGA3	0.2565
GML	0.26
CD38	0.812
ZDHHC6	0.283833333333333
NEFH	-2.35925
CTDSP2	0.157083333333333
PGBD5	-0.103666666666667
CCNY	0.718214285714286
RMND5B	0.21725
ZNF257	-2.32275
FLJ22167	-0.452625
EXOSC7	-1.57583333333333
ROR2	-0.729
MAOA	2.055625
TNNT3	0.67
GYPC	-0.14825
C7orf33	0.759
PLIN	-0.280333333333333
LOC90826	0.0125
RNF4	0.1539
F8A1	1.12283333333333
PLEKHG4	-1.51975
GRB2	0.4585
HIST1H2AD	-0.80775
DUS3L	-1.24616666666667
EIF1	0.1395
RP5-1077B9.4	-1.14883333333333
FPGT	1.08275
GDF10	0.0423333333333333
COQ9	0.94375
GCC2	0.584071428571429
RARRES3	3.331875
PLXNA1	-0.3181
KIAA0100	-0.2858
PMF1	0.02025
FNDC1	4.51875
HS2ST1	0.440916666666667
CRELD2	0.314
C8G	-0.8245
CD82	0.98075
LIM2	-0.5965
UNQ6490	-0.2745
MMP16	-0.50675
DRD3	0.019
C5orf26	-0.335
C11orf73	-0.601125
PTP4A2	-0.08175
OR4M2	-0.2265
HPCA	0.329
SEC14L1	0.638333333333333
CHFR	-0.02275
EMILIN1	0.751375
NDUFS4	-0.06725
COL18A1	1.238125
PDZD3	3.7336
C9orf16	-0.294666666666667
ERBB2IP	0.2535
EMX2	6.38075
FUS	-0.99675
TF	-3.5973
CLCN4	1.5765
CXorf56	-0.03075
C11orf72	0.43575
ELAC2	-0.032
NPR1	1
ASS1	-0.542
USP42	-0.339375
POLR2J	-0.318
SEC23IP	0.228666666666667
UQCRC1	-0.5055
LOC729603	-0.34475
C1orf71	-0.817
POLG	-2.3465
ADAM23	-3.66875
TFR2	-0.90725
RICTOR	-0.643
MGC39606	2.83275
C19orf55	-0.461875
SNAPC1	-1.5895
GNA11	0.318375
CCDC52	-0.787833333333333
FSIP1	0.609
UPF3A	-0.671625
IGSF11	-1.3605
LAGE3	-0.832
CHST6	-3.204
UNC13B	1.118375
TTLL4	-1.319
ZNF687	-0.3015
SDC2	-0.4815
COX7A2	0.2425
LAMB4	-0.76125
FAM24A	0.4145
LRRTM3	-1.52066666666667
GPHB5	-0.24225
OR4C13	-0.0535
EIF3EIP	-0.1055
HABP4	0.2535
TMEM125	2.34075
CNTN2	0.52125
ASNSD1	-0.4605
FUT4	0.9125
ACF	0.75325
LOC158381	0.199
CDH8	0.0835
AGPS	-0.2245
C4orf18	1.346625
PECI	0.320833333333333
UNG	-1.1785
GSTP1	0.2075
DCUN1D5	-1.69233333333333
DKFZP564J0863	-0.481
SLC9A3R1	1.12775
BCDO2	-0.3055
CHMP7	0.01725
REM2	0.1615
DNHD1	-0.222
FKBP4	-1.76825
ZNF350	1.52275
MGC11102	-0.416125
BST1	2.758
KISS1R	1.345
NCR2	0.9445
DEFB125	0.192
UBE2W	1.133
KRT15	-3.820625
C10orf99	1.9055
SCN11A	0.12875
GFI1	0.47775
RDHE2	-0.5825
FHL1	4.1375
OSGEP	-0.491833333333333
GATA1	-3.53166666666667
SMC6	-1.851
TTTY14	-0.23625
LPIN3	0.09075
RPL4	-0.6265
RBPMS	1.3935
PRPF3	-0.867
EMR1	0.35
SPATA19	-0.04825
XCR1	0.7775
IRX3	2.2109
RBM6	-1.043
KLF4	-0.6826
UNC5CL	3.791
SEBOX	0.4075
BTK	0.27575
KRCC1	1.283
C6orf27	0.9135
SYTL5	-1.2805
PRND	2.66425
LOC653319	-0.779
PIGL	-0.8355
HUS1	-0.282666666666667
SFRS6	-0.586166666666667
C17orf77	0.46
UIMC1	-0.355666666666667
FXYD2	4.3705
LOC283152	0.5925
ZNF667	-2.37575
ZCCHC12	-1.16675
TFEC	4.8188
ATP7B	-0.4525
POLD2	-1.51316666666667
RG9MTD1	-0.55
ACOT2	0.161333333333333
HIST1H4I	-1.8115
PPARGC1A	1.5263
ETFA	-0.4997
POLRMT	-0.45625
ZNF146	-1.03375
MIA2	4.062
KLHL6	0.336666666666667
HOXB5	-0.50175
NENF	0.155166666666667
CUGBP1	-0.5065
PRSS22	-1.26283333333333
CASC4	1.7936
CUL4B	-0.163
CENPJ	-1.6076
PITX1	-1.39816666666667
FLJ31033	0.117166666666667
CELSR3	-2.50066666666667
ZNF568	0.4295
ITSN1	0.3465
EHBP1L1	-0.360833333333333
C19orf2	-0.929
DCTN1	0.0275
LIN28B	-3.85466666666667
TNKS2	-0.85375
C1QBP	-0.77175
CADPS2	0.702
SRMS	0.434
GJA9	0.104166666666667
MGC24975	-0.413833333333333
TRIM45	-2.212
TSP50	0.64375
TCP1	-0.94225
TMED7	0.5188
CMA1	0.4245
CENPL	-1.57866666666667
PTCRA	0.906
FST	-4.6385
VWCE	-0.30425
PAWR	-0.75975
ABCC12	-0.174
LDLR	-3.2148
ASTN2	0.7955
LOC441212	-0.885875
GPATCH8	-0.47025
TANC2	-1.12341666666667
KIF4A	-3.14225
C18orf18	0.85375
PGM1	0.6675
KIAA0258	1.06275
CPD	-0.89525
SNCAIP	-1.99475
DCT	-4.55583333333333
HLA-DOA	4.33136363636364
OR11L1	0.646
UPK1B	0.496
DNAJB4	0.76875
UGT1A8	5.5545
HIST1H4L	-0.353
PECR	0.922166666666667
HSPA2	-0.638
WFIKKN1	-0.136
SERP1	-0.153625
SYDE2	-0.5775
TACR2	1.039
NUP85	-1.35
CD177	0.115333333333333
LGR5	-2.44116666666667
PIGG	-0.112166666666667
PTHR1	1.76283333333333
RAB5A	-0.4432
FLJ13224	-0.358
USP9Y	-1.92466666666667
C7orf53	0.246
LRP1B	-0.49925
XAF1	2.9679
ABCG8	-4.365
ANKDD1A	0.0201666666666666
DAND5	-2.0435
SPAG6	-0.025
LINCR	1.6295
ZDHHC22	-1.505
CCDC60	0.258
THOC7	-1.53333333333333
TCTA	1.4287
OR8K3	0.08925
NY-REN-7	0.55475
B2M	2.71716666666667
C6orf141	-2.563875
LPPR4	2.51925
SQLE	-2.977
SEPHS1	-0.703
BTBD14B	0.627428571428571
PLRG1	-0.40225
SPG7	-0.19225
ZNF614	-0.5245
PARD6G	1.007
INPP5B	-0.5323
GRPEL2	-0.257625
PPID	-0.2921
TRIM56	-0.302
UBE2J1	-0.122875
IL20RA	-0.9145
LOC387856	-0.0366666666666667
C1orf107	-0.0374166666666667
UTS2R	1.68
C19orf22	-0.5815
SAFB2	0.693875
KIAA0652	0.2415
KLRG1	1.241
MS4A8B	1.39816666666667
FRAG1	-0.50925
KIAA1546	-0.29425
E2F4	-0.6839
CLEC4M	0.6895
BTBD14A	-1.06625
KIAA0999	0.6415
GYPA	-4.1272
TAC1	-0.1414
TRAIP	-2.45083333333333
KIAA0232	1.1489
ERCC8	-1.962625
GPX4	0.93825
KIAA0368	-0.072375
GPR157	-0.7315
CTAGE4	2.081
C9orf30	-0.668166666666667
OR52A1	0.09
HSP90B3P	0.1885
ALG9	-0.2863
BTBD10	0.12025
SDK2	0.129
BAIAP3	-1.88675
RABGGTB	-0.3325
ANKRD40	-0.498666666666667
KRT74	0.6605
CALCOCO2	0.5065
SNCA	-2.9175
TMSL8	-4.984375
C2orf53	0.2405
ESRRB	-0.68325
ARHGAP26	1.136125
TDRD9	-2.5035
HRAS	0.1965
KLRC4	-0.4735
JAGN1	-0.471666666666667
BSDC1	0.5045
RNF43	-1.8962
