Hybridization REF	TCGA-AK-3427-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.160083333333333
CREB3L1	0.518
RPS11	1.392625
PNMA1	-1.00675
MMP2	-1.38166666666667
C10orf90	-3.0025
ZHX3	-0.333
ERCC5	-1.5315
GPR98	-2.241125
RXFP3	2.0205
APBB2	-0.23525
PRO0478	-1.926625
KLHL13	1.8275
PRSSL1	0.0171666666666667
PDCL3	0.252166666666667
DECR1	0.936375
SALL1	1.09183333333333
CADM4	1.13966666666667
RPS18	1.59342857142857
HNRPD	-2.05925
CFHR5	1.308
SLC10A7	-0.183
OR2K2	1.116
LMAN1	-0.943375
SUHW1	-1.836
CHD8	-2.8324
SUMO1	0.3329
GP1BA	-0.2398
DDB1	-0.629333333333333
MYO9B	-1.2381
MMP7	6.3695
CRNKL1	0.4865
C9orf45	-1.92216666666667
XAB2	-0.325375
RTN1	-0.142
KLHL14	-0.611
TBX10	-0.109
CENPQ	1.3535
UTY	-0.1255
ZBTB12	0.1785
DTNBP1	-0.023
KBTBD8	-2.05666666666667
ZEB1	-0.023
ZG16	-0.68425
MIER1	0.1776
ADAM5P	0.856
CHD9	-0.981125
STK16	1.62825
KIAA1486	0.5595
TOB2	-0.95725
BANK1	4.5905
OR2V2	0.42375
GRM2	0.842333333333333
PROSC	0.295125
SPIN2B	1.732
PIR	-1.65488888888889
IPO9	-1.2746
EVC	-0.00733333333333335
CXCL13	1.0658
KIAA1199	-3.75666666666667
SORL1	-0.34375
NAT10	-1.04375
CHD1	-1.8445
SYN3	-0.954
SLC22A2	2.8745
SERPINF1	-3.25916666666667
WDR34	-1.322
OR7A17	0.85575
C9orf11	-0.4765
RNF216L	0.8808
LHB	0.6125
STK25	-0.41025
TAOK3	-0.484625
LOC152573	2.3945
C3orf39	0.586625
C14orf108	0.5145
CDC25B	-2.24909090909091
BMP3	0.0445
TMEM180	1.3065
MAP1LC3C	-0.09475
CRYGC	-0.646
POU3F1	-0.4343
