Hybridization REF	TCGA-BP-4167-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.7085
CREB3L1	0.064
RPS11	0.672875
PNMA1	-0.3015
MMP2	-1.04933333333333
C10orf90	-1.7305
ZHX3	1.46116666666667
ERCC5	0.2215
GPR98	-1.65814285714286
RXFP3	1.288
APBB2	1.09275
PRO0478	-0.3395
KLHL13	-2.00125
PRSSL1	0.1675
PDCL3	-0.434833333333333
DECR1	-0.916875
SALL1	1.18566666666667
CADM4	-0.927333333333333
RPS18	0.385642857142857
HNRPD	-1.52316666666667
CFHR5	0.0926666666666666
SLC10A7	-0.570375
OR2K2	0.615
LMAN1	-1.46975
SUHW1	-3.25275
CHD8	-1.0567
SUMO1	0.6706
GP1BA	0.4513
DDB1	-0.616
MYO9B	0.3595
MMP7	8.298
CRNKL1	-0.01525
C9orf45	-2.26266666666667
XAB2	-0.487625
RTN1	2.054875
KLHL14	-1.75375
TBX10	-1.5175
CENPQ	-1.794
UTY	0.226
ZBTB12	-0.766
DTNBP1	0.219625
KBTBD8	0.455
ZEB1	0.9985
ZG16	-1.51375
MIER1	0.3516
ADAM5P	-1.988
CHD9	0.511625
STK16	0.5245
KIAA1486	-0.8045
TOB2	0.90575
BANK1	4.194
OR2V2	-0.536
GRM2	-0.460333333333333
PROSC	0.1285
SPIN2B	-0.182
PIR	-0.837888888888889
IPO9	-0.977777777777778
EVC	1.27633333333333
CXCL13	6.73016666666667
KIAA1199	-1.59044444444444
SORL1	2.263
NAT10	-0.6975
CHD1	-0.4635
SYN3	-0.362
SLC22A2	7.93425
SERPINF1	0.0916666666666667
WDR34	-0.345
OR7A17	-0.552
C9orf11	0.8765
RNF216L	0.4192
LHB	0.5375
STK25	-0.122375
TAOK3	0.88525
LOC152573	1.482
C3orf39	-0.03225
C14orf108	-0.6912
CDC25B	-1.02909090909091
BMP3	-0.5505
TMEM180	0.0975
MAP1LC3C	-0.4045
CRYGC	-1.0715
POU3F1	-0.5098
C20orf32	0.71
CCDC95	-0.0495
HIGD1B	5.84225
USP6NL	-0.742875
ABCD4	1.058
DIMT1L	-0.658416666666667
TEK	2.596625
SLC25A46	0.118
LARP7	-0.7139
CD160	2.3715
MT1JP	1.47516666666667
PHF20	-0.597875
CPNE4	-3.48933333333333
GTPBP1	-0.4295
RAB33B	2.3325
ALDOC	0.3605
ZNF212	-0.76475
NUDT1	-0.914666666666667
RFPL2	-2.06125
ZNF83	-0.281666666666667
GDPD5	-0.627625
PDCD4	0.3725
CEP350	-0.94075
OR10A2	-0.2295
CST7	4.28175
CIAO1	-0.1545
SELL	1.35925
OR8J3	-0.764
LTBP4	-0.2745
SIRT6	-0.01025
CCL19	6.01775
PPIL1	-1.36083333333333
GBP7	0.638
STK17A	-0.0480999999999999
ABR	0.25725
OR9G1	-1.1675
FOXE1	-1.10025
CNGA3	0.739
GML	-0.575
CD38	-0.1895
ZDHHC6	-0.067
NEFH	-1.93325
CTDSP2	0.19325
PGBD5	-2.22383333333333
CCNY	0.602357142857143
RMND5B	0.695333333333333
ZNF257	-1.62575
FLJ22167	-0.251125
EXOSC7	-1.69466666666667
ROR2	-0.220375
MAOA	3.719875
TNNT3	0.371666666666667
GYPC	-0.4695
C7orf33	1.776
PLIN	-0.717
LOC90826	-0.7715
RNF4	-0.4236
F8A1	1.20466666666667
PLEKHG4	-0.9085
GRB2	0.01195
HIST1H2AD	-0.26125
DUS3L	-0.294833333333333
EIF1	-0.829
RP5-1077B9.4	-0.707833333333333
FPGT	1.2105
GDF10	-0.9055
COQ9	0.28625
GCC2	0.214214285714286
RARRES3	4.201375
PLXNA1	-0.0599
KIAA0100	-0.4927
PMF1	0.11325
FNDC1	6.075
HS2ST1	0.31275
CRELD2	0.01425
C8G	-0.186
CD82	0.71325
LIM2	-1.942
UNQ6490	1.143
MMP16	-0.35275
DRD3	0.25775
C5orf26	-0.84875
C11orf73	-0.453875
PTP4A2	0.530625
OR4M2	-1.273
HPCA	0.344833333333333
SEC14L1	-0.0236666666666667
CHFR	0.629125
EMILIN1	1.170625
NDUFS4	-0.598
COL18A1	1.027875
PDZD3	3.7228
C9orf16	0.4885
ERBB2IP	0.894333333333333
EMX2	7.7645
FUS	-3.1345
TF	-2.8163
CLCN4	0.970666666666667
CXorf56	-1.29275
C11orf72	-1.3345
ELAC2	-0.59025
NPR1	0.24675
ASS1	-1.2265
USP42	-0.05575
POLR2J	-0.43
SEC23IP	0.317833333333333
UQCRC1	-0.51625
LOC729603	-0.5915
C1orf71	-0.406125
POLG	-3.0055
ADAM23	-2.3905
TFR2	0.372
RICTOR	-0.654666666666667
MGC39606	3.16325
C19orf55	0.02375
SNAPC1	-0.646166666666667
GNA11	0.089375
CCDC52	-0.218333333333333
FSIP1	0.1505
UPF3A	-1.41675
IGSF11	-2.97666666666667
LAGE3	-0.95525
CHST6	-2.8635
UNC13B	-0.255375
TTLL4	-1.79875
ZNF687	0.26825
SDC2	0.4905
COX7A2	-0.01375
LAMB4	-1.11025
FAM24A	-0.7545
LRRTM3	-1.649
GPHB5	0.359
OR4C13	-1.808
EIF3EIP	0.214785714285714
HABP4	-0.518
TMEM125	2.30775
CNTN2	-1.09857142857143
