Hybridization REF	TCGA-CJ-4637-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.816416666666667
CREB3L1	-1.0925
RPS11	-0.459375
PNMA1	-0.15325
MMP2	-1.31466666666667
C10orf90	-1.9715
ZHX3	-0.789833333333333
ERCC5	1.76125
GPR98	-1.24575
RXFP3	0.703
APBB2	-0.1825
PRO0478	0.37875
KLHL13	-1.37425
PRSSL1	1.252
PDCL3	0.187666666666667
DECR1	-0.10725
SALL1	0.213666666666667
CADM4	-1.2275
RPS18	-1.20135714285714
HNRPD	-0.1425
CFHR5	0.183
SLC10A7	0.710375
OR2K2	-0.522
LMAN1	-0.026625
SUHW1	-4.28425
CHD8	-0.4911
SUMO1	-0.4484
GP1BA	2.0592
DDB1	-0.0905
MYO9B	0.7295
MMP7	7.24875
CRNKL1	-0.39975
C9orf45	-2.5005
XAB2	-0.2855
RTN1	1.65925
KLHL14	-0.731625
TBX10	-1.382
CENPQ	-1.495
UTY	-2.16585714285714
ZBTB12	-0.1975
DTNBP1	0.111875
KBTBD8	-0.389833333333333
ZEB1	1.03416666666667
ZG16	-2.01425
MIER1	0.629
ADAM5P	-0.524
CHD9	0.4223125
STK16	-0.29275
KIAA1486	0.2305
TOB2	0.190416666666667
BANK1	4.59775
OR2V2	0.482
GRM2	0.1655
PROSC	1.351625
SPIN2B	-0.21625
PIR	-2.30533333333333
IPO9	0.0879
EVC	1.53983333333333
CXCL13	6.702
KIAA1199	-2.9094
SORL1	1.13525
NAT10	-0.231
CHD1	-0.2155
SYN3	-1.098
SLC22A2	5.36425
SERPINF1	-0.313166666666667
WDR34	-0.5025
OR7A17	0.316
C9orf11	0.7165
RNF216L	-0.3574
LHB	-0.0305
STK25	0.412875
TAOK3	1.599375
LOC152573	-0.178
C3orf39	-0.906
C14orf108	-0.276
CDC25B	-0.508545454545455
BMP3	-0.084
TMEM180	0.304
MAP1LC3C	0.4425
CRYGC	-1.6875
POU3F1	-0.1674
C20orf32	-0.544
CCDC95	0.018
HIGD1B	3.632
USP6NL	-0.329625
ABCD4	0.5565
DIMT1L	-0.764916666666667
TEK	0.9025
SLC25A46	-0.45775
LARP7	-1.1181
CD160	1.18
MT1JP	-2.036
PHF20	-0.3921875
CPNE4	-3.16825
GTPBP1	-0.522714285714286
RAB33B	0.776
ALDOC	-0.465125
ZNF212	-0.4355
NUDT1	-0.699166666666667
RFPL2	-0.985
ZNF83	2.15483333333333
GDPD5	-0.521625
PDCD4	0.21995
CEP350	0.785
OR10A2	0.809
CST7	3.536
CIAO1	-0.45
SELL	2.84975
OR8J3	1.9375
LTBP4	-0.474
SIRT6	0.04775
CCL19	3.9205
PPIL1	-2.222
GBP7	2.46516666666667
STK17A	0.3409
ABR	1.182
OR9G1	0.1445
FOXE1	-1.08525
CNGA3	0.26
GML	0.024
CD38	1.705
ZDHHC6	0.405666666666667
NEFH	-2.44475
CTDSP2	1.12691666666667
PGBD5	2.44316666666667
CCNY	1.00364285714286
RMND5B	0.252333333333333
ZNF257	-3.23175
FLJ22167	-0.1495
EXOSC7	-1.316
ROR2	-0.614375
MAOA	0.59725
TNNT3	0.4635
GYPC	0.23325
C7orf33	1.4325
PLIN	0.437
LOC90826	-0.1725
RNF4	0.3068
F8A1	1.53883333333333
PLEKHG4	-1.362
GRB2	1.28265
HIST1H2AD	0.041
DUS3L	-0.529166666666667
EIF1	0.2035
RP5-1077B9.4	-0.611166666666667
FPGT	1.39975
GDF10	0.0151666666666667
COQ9	0.3105
GCC2	0.780357142857143
RARRES3	3.185375
PLXNA1	0.1657
KIAA0100	-0.1976
PMF1	0.519
FNDC1	4.109
HS2ST1	-0.7225
CRELD2	0.9025
C8G	0.642
CD82	1.41025
LIM2	-1.264
UNQ6490	-0.5045
MMP16	0.114
DRD3	0.0875
C5orf26	-1.14775
C11orf73	-1.10825
PTP4A2	0.047875
OR4M2	-0.241
HPCA	1.43833333333333
SEC14L1	0.578666666666667
CHFR	0.997125
EMILIN1	0.440625
NDUFS4	-0.67275
COL18A1	1.2995
PDZD3	2.9658
C9orf16	-0.750833333333333
ERBB2IP	-0.0863333333333334
EMX2	5.3445
FUS	-0.11925
TF	-0.7182
CLCN4	1.542
CXorf56	-0.1505
C11orf72	0.85525
ELAC2	0.0243333333333333
NPR1	0.2415
ASS1	-0.283166666666667
USP42	0.74425
POLR2J	-1.268
SEC23IP	0.503666666666667
UQCRC1	-0.415
LOC729603	0.99625
C1orf71	-0.39025
POLG	-1.8185
ADAM23	-3.85625
TFR2	-1.292
RICTOR	-0.1169
MGC39606	1.82175
C19orf55	-0.319
SNAPC1	-0.983833333333333
GNA11	0.787125
CCDC52	0.0796666666666667
FSIP1	0.97
UPF3A	0.409875
IGSF11	-1.7335
LAGE3	-0.7815
CHST6	-3.284
UNC13B	1.66825
TTLL4	-0.35975
ZNF687	-0.04075
SDC2	0.6456
COX7A2	-0.79975
LAMB4	-0.17225
FAM24A	-0.3875
LRRTM3	-1.38316666666667
GPHB5	-1.13925
OR4C13	-0.873
EIF3EIP	-0.9205
HABP4	0.5385
TMEM125	1.62775
CNTN2	-0.119625
ASNSD1	-0.38975
FUT4	1.230125
ACF	0.27375
LOC158381	-0.5025
CDH8	0.756
AGPS	0.0186666666666667
C4orf18	1.193
PECI	-0.846583333333333
UNG	-0.7835
GSTP1	-0.065125
DCUN1D5	-1.77166666666667
DKFZP564J0863	-0.5595
SLC9A3R1	1.95625
BCDO2	0.223125
CHMP7	0.75625
REM2	0.781
DNHD1	0.196125
FKBP4	-1.033
ZNF350	1.27375
MGC11102	-0.262625
BST1	2.1215
KISS1R	0.538
NCR2	1.0655
DEFB125	0.9675
UBE2W	0.90175
KRT15	-3.1665
C10orf99	2.544
SCN11A	0.5045
GFI1	1.107
RDHE2	0.296333333333333
FHL1	0.504333333333333
OSGEP	-0.5745
GATA1	-3.86666666666667
SMC6	-0.9515
TTTY14	-0.8045
LPIN3	0.48725
RPL4	-0.5623
RBPMS	1.1282
PRPF3	0.503166666666667
EMR1	0.991
SPATA19	0.94775
XCR1	0.944
IRX3	2.1277
RBM6	0.608
KLF4	0.9397
UNC5CL	2.12725
SEBOX	0.277
BTK	1.132
KRCC1	1.55325
C6orf27	0.495
SYTL5	-0.9595
PRND	2.098875
LOC653319	-0.5345
PIGL	-1.289875
HUS1	-0.813
SFRS6	0.7635
C17orf77	0.879
UIMC1	0.484166666666667
FXYD2	3.5027
LOC283152	-0.03225
ZNF667	-1.4895
ZCCHC12	-0.72625
TFEC	5.4937
ATP7B	-0.6065
POLD2	-1.00033333333333
RG9MTD1	-1.02975
ACOT2	-0.9075
HIST1H4I	-1.239125
PPARGC1A	-1.2613
ETFA	-0.7463
POLRMT	-0.41425
ZNF146	0.39675
MIA2	2.8115
KLHL6	0.905
HOXB5	0.12775
NENF	0.0403333333333333
CUGBP1	-1.159
PRSS22	-1.8435
CASC4	0.5896
CUL4B	0.1876
CENPJ	-0.9355
PITX1	-0.399833333333333
FLJ31033	0.8885
CELSR3	-2.789
ZNF568	-0.00875
ITSN1	0.2195
EHBP1L1	0.6835
C19orf2	-0.27425
DCTN1	0.7375
LIN28B	-4.06533333333333
TNKS2	0.278
C1QBP	-1.071875
CADPS2	1.25725
SRMS	0.365
GJA9	0.2255
MGC24975	-0.505666666666667
TRIM45	-2.00266666666667
TSP50	0.546
TCP1	-1.19
TMED7	-0.7931
CMA1	1.1735
CENPL	-0.3285
PTCRA	0.4405
FST	-4.25975
VWCE	-0.03
PAWR	-1.31075
ABCC12	0.2175
LDLR	-2.5052
ASTN2	0.3422
LOC441212	-1.022125
GPATCH8	0.377
TANC2	-0.376833333333333
KIF4A	-2.03625
C18orf18	-1.174
PGM1	0.8045
KIAA0258	0.1145
CPD	-0.667625
SNCAIP	-2.40925
DCT	-4.03383333333333
HLA-DOA	3.83022727272727
OR11L1	0.5145
UPK1B	4.09766666666667
DNAJB4	0.65725
UGT1A8	3.4975
HIST1H4L	-0.963
PECR	-0.266333333333333
HSPA2	0.043
WFIKKN1	0.005
SERP1	0.736875
SYDE2	-1.17975
TACR2	1.606
NUP85	-0.631
CD177	-0.0595
LGR5	-2.46183333333333
PIGG	0.584333333333333
PTHR1	-1.1645
RAB5A	0.2014
FLJ13224	0.1
USP9Y	-2.44616666666667
C7orf53	-0.364
LRP1B	-0.06375
XAF1	4.1396
ABCG8	-0.126
ANKDD1A	1.40466666666667
DAND5	-1.1465
SPAG6	0.961166666666667
LINCR	2.10125
ZDHHC22	-1.756
CCDC60	1.433
THOC7	-1.6815
TCTA	0.8888
OR8K3	-0.456
NY-REN-7	2.027
B2M	2.5785
C6orf141	-1.60775
LPPR4	2.08975
SQLE	-2.88275
SEPHS1	-1.22725
BTBD14B	0.181285714285714
PLRG1	-0.48675
SPG7	0.345375
ZNF614	-0.551666666666667
PARD6G	-1.126
INPP5B	-0.1662
GRPEL2	-0.278125
PPID	0.4056
TRIM56	0.46925
UBE2J1	0.94175
IL20RA	-1.65625
LOC387856	0.83475
C1orf107	0.432666666666667
UTS2R	-0.3795
C19orf22	0.35175
SAFB2	0.625125
KIAA0652	0.79125
KLRG1	1.16383333333333
MS4A8B	0.935833333333333
FRAG1	-0.297
KIAA1546	0.185
E2F4	0.2697
CLEC4M	0.761833333333333
BTBD14A	-1.265
KIAA0999	0.4224
GYPA	-4.35633333333333
TAC1	-0.738444444444445
TRAIP	-2.00733333333333
