Hybridization REF	TCGA-A3-3365-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.55625
CREB3L1	-0.7535
RPS11	0.82175
PNMA1	0.40625
MMP2	-1.26933333333333
C10orf90	-2.337
ZHX3	0.269666666666667
ERCC5	0.6995
GPR98	-0.90525
RXFP3	0.347
APBB2	1.2
PRO0478	-0.1785
KLHL13	-0.75325
PRSSL1	-0.128166666666667
PDCL3	-0.0525
DECR1	-0.048625
SALL1	0.9465
CADM4	-0.816166666666667
RPS18	0.115214285714286
HNRPD	-0.422666666666667
CFHR5	-0.9004
SLC10A7	0.422625
OR2K2	-0.379
LMAN1	-1.192
SUHW1	-2.025
CHD8	-1.3606
SUMO1	0.5768
GP1BA	0.4375
DDB1	-1.355
MYO9B	-0.5793
MMP7	7.976
CRNKL1	-0.0685
C9orf45	-1.90533333333333
XAB2	-0.590125
RTN1	0.76725
KLHL14	0.502875
TBX10	-0.49
CENPQ	-1.29175
UTY	1.90907142857143
ZBTB12	-0.121
DTNBP1	0.226625
KBTBD8	-0.991666666666667
ZEB1	1.738
ZG16	-0.83525
MIER1	0.4859
ADAM5P	0.282
CHD9	0.3553125
STK16	-0.2285
KIAA1486	-0.1525
TOB2	1.1275
BANK1	5.4105
OR2V2	0.519
GRM2	-0.104166666666667
PROSC	0.221875
SPIN2B	0.56375
PIR	-1.55277777777778
IPO9	-0.7761
EVC	1.36283333333333
CXCL13	0.959666666666667
KIAA1199	-3.5079
SORL1	1.7115
NAT10	-1.08675
CHD1	-0.03275
SYN3	0.446
SLC22A2	5.888
SERPINF1	-2.35083333333333
WDR34	-1.31825
OR7A17	-0.178
C9orf11	-0.022
RNF216L	-0.7485
LHB	-0.193
STK25	-0.24125
TAOK3	0.844375
LOC152573	3.29525
C3orf39	-0.027625
C14orf108	0.3477
CDC25B	-1.98263636363636
BMP3	0.2405
TMEM180	0.459
MAP1LC3C	-0.26
CRYGC	-0.485
POU3F1	-0.9969
C20orf32	-0.513
CCDC95	-0.172
HIGD1B	5.89925
USP6NL	-0.3805
ABCD4	0.990166666666667
DIMT1L	-0.61525
TEK	3.311
SLC25A46	-0.21075
LARP7	-1.3475
CD160	1.9364
MT1JP	-0.340666666666667
PHF20	-0.700875
CPNE4	-1.27425
GTPBP1	-0.955785714285714
RAB33B	1.6025
ALDOC	-0.769
ZNF212	-1.045
NUDT1	-2.11016666666667
RFPL2	-0.9665
ZNF83	1.23333333333333
GDPD5	-0.39825
PDCD4	1.1984
CEP350	-0.13025
OR10A2	0.4215
CST7	1.6025
CIAO1	-0.93275
SELL	1.38125
OR8J3	-0.2205
LTBP4	0.1305
SIRT6	-0.4395
CCL19	5.05775
PPIL1	-0.733333333333333
GBP7	0.2436
STK17A	-0.4475
ABR	0.34725
OR9G1	0.325
FOXE1	-0.45225
CNGA3	-0.3385
GML	0.089
CD38	-1.81725
ZDHHC6	0.827333333333333
NEFH	-3.454
CTDSP2	0.660583333333333
PGBD5	0.5375
CCNY	0.403285714285714
RMND5B	-0.183166666666667
ZNF257	-1.1545
FLJ22167	-0.2355
EXOSC7	-1.3145
ROR2	0.0505
MAOA	1.68825
TNNT3	2.438
GYPC	-0.6695
C7orf33	0.005
PLIN	0.226166666666667
LOC90826	0.5925
RNF4	-0.2019
F8A1	0.154
PLEKHG4	-1.7645
GRB2	-0.4797
HIST1H2AD	-0.7605
DUS3L	-0.292333333333333
EIF1	0.684666666666667
RP5-1077B9.4	-1.48066666666667
FPGT	1.832
GDF10	1.66483333333333
