Hybridization REF	TCGA-A3-3317-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.598416666666667
CREB3L1	-0.37775
RPS11	0.74975
PNMA1	0.03275
MMP2	-1.44883333333333
C10orf90	-1.783
ZHX3	0.109166666666667
ERCC5	0.7045
GPR98	-1.56925
RXFP3	0.732
APBB2	0.18975
PRO0478	-0.977875
KLHL13	-0.5435
PRSSL1	0.0726666666666667
PDCL3	0.1915
DECR1	1.52075
SALL1	1.35366666666667
CADM4	0.3695
RPS18	0.227
HNRPD	-0.81775
CFHR5	0.2515
SLC10A7	-0.094
OR2K2	0.3365
LMAN1	-0.990875
SUHW1	-2.24
CHD8	-1.6731
SUMO1	0.1754
GP1BA	0.8162
DDB1	-0.922166666666667
MYO9B	-0.2157
MMP7	7.916
CRNKL1	-0.08375
C9orf45	-2.2295
XAB2	-0.65725
RTN1	1.426375
KLHL14	0.797125
TBX10	-0.461
CENPQ	-2.1005
UTY	1.75328571428571
ZBTB12	0.156
DTNBP1	-0.28675
KBTBD8	-0.422166666666667
ZEB1	0.145166666666667
ZG16	-1.2955
MIER1	0.2742
ADAM5P	-1.04
CHD9	-0.3073125
STK16	0.3185
KIAA1486	0.1945
TOB2	0.703916666666667
BANK1	5.03225
OR2V2	0.43625
GRM2	0.285333333333333
PROSC	0.241625
SPIN2B	0.401
PIR	-1.74388888888889
IPO9	-0.5807
EVC	1.56216666666667
CXCL13	3.322
KIAA1199	-2.6843
SORL1	2.79525
NAT10	-0.67275
CHD1	-0.689
SYN3	-0.065
SLC22A2	7.115
SERPINF1	-0.951333333333333
WDR34	-1.64275
OR7A17	0.31825
C9orf11	0.0235
RNF216L	0.0365
LHB	0.326
STK25	-0.012
TAOK3	0.91625
LOC152573	2.67975
C3orf39	-0.363625
C14orf108	0.2645
CDC25B	-1.86645454545455
BMP3	0.433
TMEM180	0.9995
MAP1LC3C	0.06875
CRYGC	-0.6615
POU3F1	-0.5997
C20orf32	-0.888
