Hybridization REF	TCGA-A3-3363-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.2515
CREB3L1	-1.2255
RPS11	0.364375
PNMA1	-0.05375
MMP2	-1.66016666666667
C10orf90	-2.551
ZHX3	-0.453333333333333
ERCC5	0.24175
GPR98	-0.857
RXFP3	0.7665
APBB2	-0.92875
PRO0478	-0.1835
KLHL13	-0.5945
PRSSL1	0.520333333333333
PDCL3	0.051
DECR1	0.773625
SALL1	1.68633333333333
CADM4	0.815166666666667
RPS18	0.0265714285714286
HNRPD	-1.77691666666667
CFHR5	-0.2875
SLC10A7	-0.139
OR2K2	0.232
LMAN1	-1.720375
SUHW1	-2.82775
CHD8	-0.9322
SUMO1	0.4789
GP1BA	0.2202
DDB1	-0.7655
MYO9B	-0.6078
MMP7	8.68025
CRNKL1	0.1875
C9orf45	-2.07466666666667
XAB2	-0.807
RTN1	0.7495
KLHL14	0.7185
TBX10	-1.0955
CENPQ	-1.66975
UTY	-0.0896428571428571
ZBTB12	-0.322
DTNBP1	0.384
KBTBD8	-1.095
ZEB1	-0.6455
ZG16	-1.5
MIER1	0.8857
ADAM5P	0.582
CHD9	0.2426875
STK16	1.147
KIAA1486	0.00699999999999999
TOB2	0.539916666666667
BANK1	4.3405
OR2V2	0.5405
GRM2	0.0238333333333333
PROSC	0.796125
SPIN2B	0.9735
PIR	-1.72922222222222
IPO9	-1.0614
EVC	2.28466666666667
CXCL13	0.6712
KIAA1199	-5.0482
SORL1	1.35375
NAT10	-1.2275
CHD1	-0.73825
SYN3	-0.8055
SLC22A2	7.1055
SERPINF1	-1.367
WDR34	-1.022
OR7A17	0.37625
C9orf11	0.0275
RNF216L	0.1256
LHB	-0.1335
STK25	-0.131125
TAOK3	-0.35825
LOC152573	2.43975
C3orf39	0.079625
C14orf108	0.5498
CDC25B	-2.17772727272727
BMP3	0.8245
TMEM180	0.4705
MAP1LC3C	0.0215
CRYGC	-0.566
POU3F1	-1.0525
C20orf32	-1.536
CCDC95	0.09
HIGD1B	3.3805
USP6NL	-0.211125
ABCD4	1.434
DIMT1L	-0.578583333333333
TEK	-0.07025
SLC25A46	-0.4375
LARP7	-1.7292
CD160	0.948833333333333
MT1JP	-1.5455
PHF20	-1.0990625
CPNE4	4.35675
GTPBP1	-0.853214285714286
RAB33B	1.47716666666667
ALDOC	-2.910375
ZNF212	0.4285
NUDT1	-2.04883333333333
RFPL2	-1.6265
ZNF83	1.56466666666667
GDPD5	-2.347125
PDCD4	0.30795
CEP350	-0.58375
OR10A2	0.2295
CST7	0.0285
CIAO1	-0.88125
SELL	0.537625
OR8J3	0.03
LTBP4	-0.0931666666666667
SIRT6	-0.06775
CCL19	2.04075
PPIL1	-0.224666666666667
GBP7	0.7574
STK17A	-0.6204
ABR	0.7605
OR9G1	0.296
FOXE1	-0.244125
CNGA3	-0.119
GML	0.343
CD38	-2.81275
ZDHHC6	0.2775
NEFH	-3.459
CTDSP2	-0.189833333333333
PGBD5	0.553666666666667
CCNY	0.0697142857142857
RMND5B	0.0960833333333333
ZNF257	-1.094
FLJ22167	0.109
EXOSC7	-1.30466666666667
ROR2	-1.000875
MAOA	2.73525
TNNT3	0.276
GYPC	0.2315
C7orf33	2.6915
PLIN	0.569
LOC90826	0.27875
RNF4	-0.5633
F8A1	0.461833333333333
PLEKHG4	-3.44125
GRB2	-0.04505
HIST1H2AD	-0.9335
DUS3L	-0.577333333333333
EIF1	0.8105
RP5-1077B9.4	-1.27666666666667
FPGT	1.2745
GDF10	-2.08433333333333
COQ9	1.49475
GCC2	0.4335
RARRES3	3.046
PLXNA1	-0.9727
KIAA0100	-0.4066
PMF1	0.12825
FNDC1	1.3825
HS2ST1	0.447333333333333
CRELD2	-0.31
C8G	-1.9735
CD82	-1.112
LIM2	-0.8475
UNQ6490	-1.1325
MMP16	-0.3125
DRD3	0.24
C5orf26	-0.462
C11orf73	-1.009625
PTP4A2	-0.2545
OR4M2	0.0815
HPCA	-1.209
SEC14L1	-0.826
CHFR	0.1105
EMILIN1	0.02075
NDUFS4	0.831
COL18A1	0.6435
PDZD3	3.9035
C9orf16	-0.183666666666667
ERBB2IP	0.355166666666667
EMX2	7.7465
FUS	-2.286
TF	-4.1872
CLCN4	1.4645
CXorf56	0.558
C11orf72	0.37175
ELAC2	-0.28125
NPR1	1.44975
ASS1	-1.50416666666667
USP42	-0.25025
POLR2J	0.5575
SEC23IP	0.219166666666667
UQCRC1	0.22425
LOC729603	-0.141
C1orf71	-1.03875
POLG	-3.285
ADAM23	-4.54875
TFR2	-1.13725
RICTOR	-0.02
MGC39606	1.138
C19orf55	-0.50175
SNAPC1	-1.44066666666667
GNA11	-0.277875
CCDC52	-0.3065
FSIP1	1.028
UPF3A	-0.756125
IGSF11	-0.39
LAGE3	-1.77225
CHST6	-4.1255
UNC13B	0.721375
TTLL4	-1.6175
ZNF687	-0.573625
SDC2	1.3048
COX7A2	0.845
LAMB4	2.50275
FAM24A	0.3645
LRRTM3	-1.8716
GPHB5	0.223
OR4C13	-0.762
EIF3EIP	0.388571428571429
HABP4	0.4215
TMEM125	3.233
CNTN2	-0.033375
ASNSD1	-0.021
FUT4	-0.260375
ACF	-2.263
LOC158381	0.7935
CDH8	-0.53675
AGPS	0.2955
C4orf18	-1.068
PECI	0.4015
UNG	-0.36975
GSTP1	-0.27325
DCUN1D5	-1.78366666666667
DKFZP564J0863	-0.287
SLC9A3R1	-0.291875
BCDO2	2.998125
CHMP7	-0.804625
REM2	-0.411
DNHD1	-0.304875
FKBP4	-1.912125
ZNF350	0.6945
MGC11102	-0.498875
BST1	2.007
KISS1R	0.7515
NCR2	0.3345
DEFB125	1.008
UBE2W	1.583875
KRT15	-1.9855
C10orf99	2.231
SCN11A	0.998125
GFI1	-2.4365
RDHE2	-1.42283333333333
FHL1	3.62833333333333
OSGEP	0.120333333333333
GATA1	-3.57633333333333
SMC6	-1.52875
TTTY14	0.185
LPIN3	-0.314
RPL4	-1.2392
RBPMS	1.9537
PRPF3	-0.7745
EMR1	-1.6425
SPATA19	-0.09375
XCR1	-0.18
IRX3	2.3343
RBM6	-0.2445
KLF4	0.9577
UNC5CL	5.533
SEBOX	0.438
BTK	0.3605
KRCC1	1.767
C6orf27	0.289
SYTL5	-0.4475
PRND	0.737
LOC653319	-0.335
PIGL	0.000499999999999999
HUS1	-0.283833333333333
SFRS6	-0.407083333333333
C17orf77	0.384
UIMC1	-0.398833333333333
FXYD2	4.3027
LOC283152	-0.092
ZNF667	-1.47175
ZCCHC12	-0.46575
TFEC	6.7192
ATP7B	0.303
POLD2	-1.62833333333333
RG9MTD1	0.079
ACOT2	0.0983333333333333
HIST1H4I	-0.415625
PPARGC1A	2.8187
ETFA	-0.1955
POLRMT	-0.912
ZNF146	-1.18025
MIA2	4.324
KLHL6	-0.0215
HOXB5	1.78775
NENF	0.529833333333333
CUGBP1	-0.91575
PRSS22	-0.854333333333333
CASC4	2.0384
CUL4B	-0.1785
CENPJ	-2.112
PITX1	-1.75083333333333
FLJ31033	0.899333333333333
CELSR3	-2.16366666666667
ZNF568	0.54325
ITSN1	-0.820333333333333
EHBP1L1	-1.11016666666667
C19orf2	-1.1485
DCTN1	-1.248
LIN28B	-4.811
TNKS2	0.2095
C1QBP	-0.338875
CADPS2	0.732
SRMS	-0.1315
GJA9	0.328333333333333
MGC24975	0.049
TRIM45	-1.17016666666667
TSP50	0.45675
