Hybridization REF	TCGA-CJ-4639-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.342
CREB3L1	-1.0765
RPS11	1.015875
PNMA1	0.316
MMP2	-1.6485
C10orf90	-2.398
ZHX3	0.133
ERCC5	0.62725
GPR98	-0.319625
RXFP3	0.5095
APBB2	0.47275
PRO0478	-0.688875
KLHL13	-0.33025
PRSSL1	0.4205
PDCL3	0.059
DECR1	0.49625
SALL1	1.30416666666667
CADM4	-1.34916666666667
RPS18	0.539214285714286
HNRPD	-0.223583333333333
CFHR5	1.0426
SLC10A7	-0.319625
OR2K2	1.1965
LMAN1	-0.299
SUHW1	-4.084
CHD8	-1.0365
SUMO1	0.4233
GP1BA	0.5739
DDB1	-0.588166666666667
MYO9B	-0.4167
MMP7	2.506
CRNKL1	-0.1135
C9orf45	-2.1535
XAB2	0.243125
RTN1	1.675375
KLHL14	-1.263125
TBX10	-1.0555
CENPQ	-1.04175
UTY	-1.87991666666667
ZBTB12	-0.0755
DTNBP1	0.62925
KBTBD8	-1.107
ZEB1	1.29216666666667
ZG16	-1.66333333333333
MIER1	0.7335
ADAM5P	-1.0295
CHD9	0.6966875
STK16	-0.368
KIAA1486	0.1515
TOB2	0.816166666666667
BANK1	4.6855
OR2V2	0.14175
GRM2	0.216333333333333
PROSC	1.521
SPIN2B	0.2045
PIR	-1.72755555555556
IPO9	-0.5577
EVC	1.524
CXCL13	4.42566666666667
KIAA1199	-4.3944
SORL1	0.5385
NAT10	-0.82225
CHD1	-0.57075
SYN3	0.11325
SLC22A2	7.42575
SERPINF1	-2.349
WDR34	-0.36875
OR7A17	0.32525
C9orf11	0.912
RNF216L	-0.2772
LHB	-0.178
STK25	0.280625
TAOK3	1.017625
LOC152573	-0.579
C3orf39	-0.03675
C14orf108	0.329
CDC25B	-1.36209090909091
BMP3	0.4625
TMEM180	0.4435
MAP1LC3C	1.71975
CRYGC	-1.107
POU3F1	-0.249
C20orf32	-1.5575
CCDC95	-0.061
HIGD1B	5.543
USP6NL	-0.66275
ABCD4	0.534333333333333
DIMT1L	-0.677333333333333
TEK	2.62275
SLC25A46	0.354
LARP7	-0.8587
CD160	2.5775
MT1JP	-1.773
PHF20	-0.7221875
CPNE4	-2.17175
GTPBP1	-0.779571428571429
RAB33B	1.23516666666667
ALDOC	-0.833625
ZNF212	-0.68175
NUDT1	-1.28883333333333
RFPL2	-0.47225
ZNF83	-0.156833333333333
GDPD5	-1.08
PDCD4	1.15335
CEP350	-0.754
OR10A2	0.59875
CST7	3.7195
CIAO1	-0.228
SELL	1.431
OR8J3	-0.876
LTBP4	-0.605833333333333
SIRT6	-0.26175
CCL19	2.93225
PPIL1	-1.41383333333333
GBP7	2.247
STK17A	-0.3547
ABR	-0.49375
OR9G1	0.606
FOXE1	-0.708
CNGA3	-1.524
GML	-0.0355
CD38	-1.41175
ZDHHC6	0.463666666666667
NEFH	-2.99925
CTDSP2	0.340583333333333
PGBD5	2.7465
CCNY	0.471714285714286
RMND5B	0.480333333333333
ZNF257	-2.1395
FLJ22167	-0.311
EXOSC7	-0.458166666666667
ROR2	-1.624125
MAOA	2.224625
TNNT3	1.05683333333333
GYPC	1.008
C7orf33	0.3035
PLIN	0.1885
LOC90826	0.03175
RNF4	-0.6533
F8A1	0.243166666666667
PLEKHG4	-2.1355
GRB2	-0.09535
HIST1H2AD	-0.8325
DUS3L	-0.508666666666667
EIF1	0.241333333333333
RP5-1077B9.4	-1.03783333333333
FPGT	1.889
GDF10	-1.61416666666667
COQ9	0.65625
GCC2	0.564928571428571
RARRES3	3.533625
PLXNA1	-1.1947
KIAA0100	-1.0034
PMF1	0.203
FNDC1	1.1045
HS2ST1	0.706583333333333
CRELD2	-0.38825
C8G	-1.074
CD82	0.167
LIM2	0.1845
UNQ6490	0.3545
MMP16	-0.027
DRD3	-0.211
C5orf26	2.62625
C11orf73	-0.595875
PTP4A2	-0.502
OR4M2	0.2645
HPCA	1.029
SEC14L1	0.781166666666667
CHFR	-0.751625
EMILIN1	0.347625
NDUFS4	0.829
COL18A1	0.540625
PDZD3	2.4893
C9orf16	-0.7505
ERBB2IP	0.8755
EMX2	7.34675
FUS	-1.05825
TF	-3.2521
CLCN4	2.12433333333333
CXorf56	0.34625
C11orf72	0.06875
ELAC2	-0.6095
NPR1	1.92775
ASS1	-0.132833333333333
USP42	-0.5675
POLR2J	-1.115
SEC23IP	0.1635
UQCRC1	-0.3055
LOC729603	0.049
C1orf71	-0.4575
POLG	-2.467
ADAM23	-4.16925
TFR2	-0.77825
RICTOR	-0.022
MGC39606	3.7375
C19orf55	-0.21425
SNAPC1	-0.155
GNA11	0.877625
CCDC52	-0.337
FSIP1	0.6655
UPF3A	-0.94875
IGSF11	-2.49116666666667
LAGE3	-1.027
CHST6	-3.576
UNC13B	0.362375
TTLL4	-1.74025
ZNF687	0.393375
SDC2	0.9171
COX7A2	-0.59025
LAMB4	0.29625
FAM24A	-0.068
LRRTM3	-1.15833333333333
GPHB5	-0.0545
OR4C13	0.626
EIF3EIP	0.150214285714286
HABP4	1.5485
TMEM125	3.70775
CNTN2	-0.652125
ASNSD1	0.17325
FUT4	0.107875
ACF	2.04
LOC158381	0.7705
CDH8	0.491666666666667
AGPS	0.119166666666667
C4orf18	2.929375
PECI	0.74625
UNG	-0.36725
GSTP1	0.466875
DCUN1D5	-1.7505
DKFZP564J0863	-0.63975
SLC9A3R1	0.912625
BCDO2	-1.15825
CHMP7	0.482875
REM2	0.2825
DNHD1	-0.43775
FKBP4	-1.4145
ZNF350	2.093
MGC11102	-0.293
BST1	2.46875
KISS1R	1.666
NCR2	0.218
DEFB125	0.861
UBE2W	1.273125
KRT15	-3.333125
C10orf99	2.613
SCN11A	0.14525
GFI1	-0.87425
RDHE2	-0.726666666666667
FHL1	0.895333333333333
OSGEP	-0.625833333333333
GATA1	-2.62133333333333
SMC6	-1.52375
TTTY14	-0.93625
LPIN3	0.1125
RPL4	-0.3725
RBPMS	1.246
PRPF3	-1.298
EMR1	-0.872
SPATA19	0.7655
XCR1	-0.154
IRX3	1.6623
RBM6	-1.71625
KLF4	-0.7051
UNC5CL	2.5015
SEBOX	0.5985
BTK	-0.51275
KRCC1	1.58175
C6orf27	0.384
SYTL5	-0.6715
PRND	2.82428571428571
LOC653319	-0.7795
PIGL	-1.314375
HUS1	0.1355
SFRS6	-0.019
C17orf77	0.3375
UIMC1	-0.273666666666667
FXYD2	4.952
LOC283152	-0.2745
ZNF667	1.33875
ZCCHC12	-0.2545
TFEC	5.8995
ATP7B	-0.5525
POLD2	-1.236
RG9MTD1	-0.44625
ACOT2	0.9145
HIST1H4I	-1.128
