Hybridization REF	TCGA-CJ-4640-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.2925
CREB3L1	-0.75525
RPS11	0.388
PNMA1	-0.50125
MMP2	-1.26033333333333
C10orf90	-1.7145
ZHX3	0.56
ERCC5	1.03975
GPR98	-1.0025
RXFP3	0.7985
APBB2	0.22575
PRO0478	-0.24175
KLHL13	0.1995
PRSSL1	-0.302333333333333
PDCL3	-0.037
DECR1	-0.003875
SALL1	1.93333333333333
CADM4	0.7905
RPS18	-0.342928571428571
HNRPD	-0.345333333333333
CFHR5	-0.6385
SLC10A7	0.263125
OR2K2	-0.829
LMAN1	-0.971875
SUHW1	-3.35075
CHD8	-0.4688
SUMO1	0.2643
GP1BA	1.2324
DDB1	-0.147833333333333
MYO9B	0.0527
MMP7	6.56275
CRNKL1	0.04825
C9orf45	-1.49633333333333
XAB2	0.10475
RTN1	2.182875
KLHL14	-0.1355
TBX10	-1.352
CENPQ	-1.83525
UTY	2.3325
ZBTB12	-0.014
DTNBP1	0.619625
KBTBD8	-0.641
ZEB1	1.08083333333333
ZG16	-2.02125
MIER1	0.2705
ADAM5P	0.359
CHD9	0.473875
STK16	0.12025
KIAA1486	-0.534
TOB2	0.465083333333333
BANK1	5.28175
OR2V2	0.7755
GRM2	0.204666666666667
PROSC	0.218375
SPIN2B	0.22775
PIR	-1.90533333333333
IPO9	-0.1638
EVC	1.959
CXCL13	2.60916666666667
KIAA1199	-3.3991
SORL1	2.35875
NAT10	-0.51575
CHD1	-0.714
SYN3	-0.33925
SLC22A2	6.4275
SERPINF1	-0.392166666666667
WDR34	-0.079
OR7A17	0.17225
C9orf11	-0.3585
RNF216L	-0.1022
LHB	0.0185
STK25	-0.34125
TAOK3	1.22375
LOC152573	-0.23425
C3orf39	0.12725
C14orf108	-0.1327
CDC25B	-1.50445454545455
BMP3	0.011
TMEM180	0.4705
MAP1LC3C	-0.35175
CRYGC	-1.3275
POU3F1	-0.349
C20orf32	-0.8065
CCDC95	-0.038
HIGD1B	4.5835
USP6NL	0.030625
ABCD4	0.298
DIMT1L	-0.981416666666666
TEK	2.229
SLC25A46	-0.39525
LARP7	-0.66
CD160	2.18983333333333
MT1JP	-1.46316666666667
PHF20	-0.3266875
CPNE4	-1.9555
GTPBP1	0.0257857142857143
RAB33B	0.934833333333333
ALDOC	-2.013875
ZNF212	-0.3615
NUDT1	-1.2
RFPL2	-1.52275
ZNF83	0.9825
GDPD5	-0.883375
PDCD4	0.4276
CEP350	0.3475
OR10A2	0.3905
CST7	3.2415
CIAO1	-0.53975
SELL	1.961
OR8J3	-0.566
LTBP4	-0.1625
SIRT6	-0.2165
CCL19	4.53925
PPIL1	-0.868166666666667
GBP7	3.562
STK17A	-0.3118
ABR	0.58925
OR9G1	-1.045
FOXE1	-0.541125
CNGA3	0.0265
GML	0.142
CD38	0.3125
ZDHHC6	0.469666666666667
NEFH	-2.3795
CTDSP2	0.50425
PGBD5	1.62266666666667
CCNY	0.298714285714286
RMND5B	0.127833333333333
ZNF257	-3.027
FLJ22167	0.063
EXOSC7	-1.30833333333333
ROR2	-0.622125
MAOA	3.443875
TNNT3	1.13533333333333
GYPC	0.81875
C7orf33	0.9515
PLIN	0.422333333333333
LOC90826	-0.13925
RNF4	0.1358
F8A1	1.22283333333333
PLEKHG4	0.298
GRB2	0.30055
HIST1H2AD	1.45825
DUS3L	-0.4585
EIF1	-0.374
RP5-1077B9.4	-1.091
FPGT	1.0755
GDF10	1.154
COQ9	1.17775
GCC2	0.418285714285714
RARRES3	3.87075
PLXNA1	-0.2337
KIAA0100	-0.3117
PMF1	0.2105
FNDC1	4.327
HS2ST1	-0.105916666666667
CRELD2	0.78425
C8G	1.037
CD82	1.026
LIM2	-1.1385
UNQ6490	0.086
MMP16	-0.75925
DRD3	0.00324999999999999
C5orf26	-0.47475
C11orf73	-0.881375
PTP4A2	-0.75225
OR4M2	0.1695
HPCA	0.464
SEC14L1	0.323
CHFR	-0.392625
EMILIN1	0.48575
NDUFS4	0.0695
COL18A1	0.95075
PDZD3	3.2182
C9orf16	-0.278833333333333
ERBB2IP	1.0585
EMX2	6.385
FUS	-1.09675
TF	-2.831
CLCN4	2.52316666666667
CXorf56	-0.79625
C11orf72	0.307
ELAC2	-0.000499999999999996
NPR1	1.09925
ASS1	-1.12133333333333
USP42	0.15625
POLR2J	-0.4835
SEC23IP	0.478333333333333
UQCRC1	-0.219
LOC729603	0.52225
C1orf71	-0.599125
POLG	-2.3195
ADAM23	-2.952
TFR2	-1.3275
RICTOR	-0.0437
MGC39606	2.495
C19orf55	-0.384
SNAPC1	-1.72183333333333
GNA11	0.599
CCDC52	0.0856666666666667
FSIP1	0.551
UPF3A	-1.041625
IGSF11	-0.865833333333333
