Hybridization REF	TCGA-AK-3444-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.537333333333333
CREB3L1	-0.877
RPS11	0.90725
PNMA1	0.247
MMP2	-2.27766666666667
C10orf90	-2.04225
ZHX3	0.4555
ERCC5	0.9045
GPR98	-0.62125
RXFP3	1.1325
APBB2	-0.1145
PRO0478	-0.686
KLHL13	-0.769
PRSSL1	-0.537833333333333
PDCL3	0.402833333333333
DECR1	0.3815
SALL1	1.75616666666667
CADM4	-0.833
RPS18	0.0426428571428571
HNRPD	-0.43725
CFHR5	0.58
SLC10A7	0.338875
OR2K2	0.108
LMAN1	-1.39
SUHW1	-2.26875
CHD8	-1.2981
SUMO1	1.375
GP1BA	0.7644
DDB1	-0.769666666666667
MYO9B	-0.4595
MMP7	3.50875
CRNKL1	-0.301375
C9orf45	-1.71133333333333
XAB2	-0.402375
RTN1	0.908125
KLHL14	-0.965375
TBX10	-0.3995
CENPQ	-2.5635
UTY	-0.717
ZBTB12	0.0345
DTNBP1	0.1535
KBTBD8	-1.67866666666667
ZEB1	0.487333333333333
ZG16	-1.08725
MIER1	0.2858
ADAM5P	0.79
CHD9	-0.011
STK16	0.80625
KIAA1486	0.338
TOB2	1.42433333333333
BANK1	3.006
OR2V2	0.73425
GRM2	0.294833333333333
PROSC	0.535625
SPIN2B	0.4055
PIR	-2.16888888888889
IPO9	-0.8442
EVC	1.77533333333333
CXCL13	2.08533333333333
KIAA1199	-3.4892
SORL1	0.7435
NAT10	-0.42425
CHD1	-0.31425
SYN3	0.72025
SLC22A2	7.33275
SERPINF1	-2.9975
WDR34	-0.79825
OR7A17	0.2155
C9orf11	0.147
RNF216L	-0.12
LHB	0.132
STK25	1.230625
TAOK3	0.76125
LOC152573	-0.862
C3orf39	0.078125
C14orf108	-0.3338
CDC25B	-2.157
BMP3	0.266
TMEM180	0.8855
MAP1LC3C	0.41
CRYGC	-0.7805
POU3F1	-0.4818
C20orf32	-0.4925
CCDC95	-0.156
HIGD1B	4.91425
USP6NL	-0.72125
ABCD4	1.25233333333333
DIMT1L	-1.488
TEK	3.0505
SLC25A46	0.37575
LARP7	-1.5372
CD160	2.02383333333333
MT1JP	-0.612666666666667
PHF20	-0.9464375
CPNE4	-1.66175
GTPBP1	-0.782214285714286
RAB33B	0.956
ALDOC	-0.906125
ZNF212	-0.416
NUDT1	-1.718
RFPL2	0.60325
ZNF83	0.0608333333333333
GDPD5	-1.4905
PDCD4	1.3217
CEP350	-0.7425
OR10A2	0.61625
CST7	2.079
CIAO1	-0.1115
SELL	0.73975
OR8J3	0.444
LTBP4	-0.627166666666667
SIRT6	-0.1635
CCL19	1.6705
PPIL1	-0.987
GBP7	0.797333333333333
STK17A	-0.4471
ABR	0.23075
OR9G1	0.4155
FOXE1	-0.262625
CNGA3	0
GML	0.2535
CD38	-2.13025
ZDHHC6	0.321666666666667
NEFH	-3.39975
CTDSP2	0.852416666666667
PGBD5	1.8145
CCNY	0.560285714285714
RMND5B	0.294416666666667
ZNF257	-3.057
FLJ22167	-0.16625
EXOSC7	-1.22216666666667
ROR2	-0.8905
MAOA	2.0585
TNNT3	-0.247833333333333
GYPC	0.325
C7orf33	0.5975
PLIN	0.593833333333333
LOC90826	-0.18625
RNF4	-0.4771
F8A1	0.809
PLEKHG4	-1.94525
GRB2	-0.21145
HIST1H2AD	-1.095
DUS3L	-0.76
EIF1	0.615666666666667
RP5-1077B9.4	-1.57083333333333
FPGT	1.4885
GDF10	-1.08966666666667
COQ9	0.7505
GCC2	0.155071428571429
RARRES3	3.402
PLXNA1	-0.6887
KIAA0100	-0.9767
PMF1	0.454
FNDC1	1.5355
HS2ST1	0.1895
CRELD2	0.00525
C8G	-1.2035
CD82	-1.47625
LIM2	-0.5325
UNQ6490	-0.348
MMP16	-0.37875
DRD3	0.1195
C5orf26	1.247
C11orf73	-1.041875
PTP4A2	0.1015
OR4M2	0.8485
HPCA	1.02983333333333
SEC14L1	-0.2285
CHFR	-0.384375
EMILIN1	-0.00150000000000003
NDUFS4	-0.03625
COL18A1	0.986875
PDZD3	2.8704
C9orf16	-0.6105
ERBB2IP	0.627833333333333
EMX2	7.2115
