Hybridization REF	TCGA-A3-3306-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.519583333333333
CREB3L1	-1.13275
RPS11	1.328375
PNMA1	-0.798
MMP2	-2.45583333333333
C10orf90	-2.03375
ZHX3	0.4275
ERCC5	0.7245
GPR98	-0.753375
RXFP3	0.799
APBB2	-0.015
PRO0478	-1.14925
KLHL13	0.80525
PRSSL1	0.057
PDCL3	0.158666666666667
DECR1	0.3735
SALL1	2.3895
CADM4	-0.721666666666667
RPS18	0.673571428571429
HNRPD	-1.16866666666667
CFHR5	0.332666666666667
SLC10A7	0.387125
OR2K2	-0.3335
LMAN1	-0.260875
SUHW1	-2.011
CHD8	-2.0502
SUMO1	0.0392
GP1BA	0.3588
DDB1	-0.969833333333333
MYO9B	-0.6819
MMP7	6.322
CRNKL1	-0.37075
C9orf45	-1.67716666666667
XAB2	0.002875
RTN1	1.0235
KLHL14	0.05775
TBX10	-0.345
CENPQ	-2.00775
UTY	0.0614285714285714
ZBTB12	0.18
DTNBP1	-0.377875
KBTBD8	-0.4265
ZEB1	-0.445166666666667
ZG16	-1.08175
MIER1	0.3938
ADAM5P	-0.2565
CHD9	-0.691625
STK16	1.14925
KIAA1486	0.237
TOB2	1.07358333333333
BANK1	5.69
OR2V2	0.37775
GRM2	0.276333333333333
PROSC	1.07725
SPIN2B	-0.193
PIR	-1.685
IPO9	-0.7092
EVC	1.12316666666667
CXCL13	2.64566666666667
KIAA1199	-4.2867
SORL1	1.8725
NAT10	-0.3815
CHD1	-0.60125
SYN3	0.08225
SLC22A2	5.992
SERPINF1	-1.936
WDR34	-1.5
OR7A17	0.20225
C9orf11	0.145
RNF216L	-0.0854
LHB	0.0325
STK25	0.347
TAOK3	0.23175
LOC152573	5.462
C3orf39	-0.42725
C14orf108	-0.6329
CDC25B	-2.58318181818182
BMP3	0.2105
TMEM180	0.6915
MAP1LC3C	0.0425
CRYGC	-0.6275
POU3F1	-0.5916
C20orf32	-0.6865
CCDC95	0.632
HIGD1B	3.57125
USP6NL	-0.750875
ABCD4	-0.227
DIMT1L	-0.37125
TEK	1.531125
SLC25A46	0.01725
LARP7	-1.6323
CD160	1.00383333333333
MT1JP	-0.2905
PHF20	-0.7629375
CPNE4	-1.05675
GTPBP1	-1.09335714285714
RAB33B	2.05416666666667
ALDOC	0.736
ZNF212	-0.755
NUDT1	-1.90333333333333
RFPL2	0.16575
ZNF83	1.33066666666667
GDPD5	-1.06225
PDCD4	0.70445
CEP350	-0.5655
OR10A2	0.269
CST7	1.3865
CIAO1	-0.64675
SELL	1.419125
OR8J3	0.302
LTBP4	-0.593666666666667
SIRT6	-0.20125
CCL19	1.7825
PPIL1	-1.2445
GBP7	1.11316666666667
STK17A	-0.8605
ABR	-0.659
OR9G1	0.77
FOXE1	-0.116
CNGA3	0.234
GML	0.32
CD38	-1.835
ZDHHC6	1.05466666666667
NEFH	-3.85025
CTDSP2	0.1305
PGBD5	0.988333333333333
CCNY	0.801071428571429
RMND5B	0.0509166666666667
ZNF257	-2.8105
FLJ22167	-0.1265
EXOSC7	-1.97883333333333
ROR2	-0.75875
MAOA	3.9165
TNNT3	-0.179
GYPC	0.162
C7orf33	0.73
PLIN	0.727333333333333
LOC90826	0.12175
RNF4	0.03
F8A1	0.346666666666667
PLEKHG4	-2.2365
GRB2	-0.57005
HIST1H2AD	0.34
DUS3L	-0.0423333333333333
EIF1	1.24
RP5-1077B9.4	-1.1195
FPGT	2.7215
GDF10	-1.66016666666667
COQ9	-0.21075
GCC2	0.0726428571428571
RARRES3	3.288
PLXNA1	-0.6668
KIAA0100	-0.4305
PMF1	0.65275
FNDC1	0.06925
HS2ST1	0.32075
CRELD2	0.39025
C8G	-0.805
CD82	-0.8115
LIM2	-0.3255
UNQ6490	0.0425
MMP16	-0.00375
DRD3	0.0415
C5orf26	1.704
C11orf73	-0.1035
PTP4A2	-0.52425
OR4M2	0.941
HPCA	-0.936333333333333
SEC14L1	-0.0723333333333333
CHFR	-1.245375
EMILIN1	-0.618875
NDUFS4	0.46175
COL18A1	-0.019
PDZD3	3.1712
C9orf16	-0.904
ERBB2IP	0.172166666666667
EMX2	7.486
FUS	-2.165
TF	-4.7728
CLCN4	1.43783333333333
CXorf56	0.61325
C11orf72	0.2595
ELAC2	-1.61508333333333
NPR1	0.52125
ASS1	-2.182
USP42	-0.564625
POLR2J	-0.168
SEC23IP	0.467833333333333
UQCRC1	-0.74225
LOC729603	-0.50475
C1orf71	-0.33225
POLG	-2.578
ADAM23	-4.69525
TFR2	-0.45575
RICTOR	-0.620333333333333
MGC39606	1.693
C19orf55	-0.17875
SNAPC1	-0.887
GNA11	0.105875
CCDC52	-0.887166666666667
FSIP1	1.233
UPF3A	-0.228375
IGSF11	-1.89116666666667
LAGE3	-0.8325
CHST6	-4.668
UNC13B	-0.19025
TTLL4	-0.72625
ZNF687	-0.520875
SDC2	1.4105
COX7A2	-0.382
LAMB4	-0.475
FAM24A	-0.018
LRRTM3	-1.0535
GPHB5	0.362
OR4C13	-0.1575
EIF3EIP	0.755214285714286
HABP4	0.1365
TMEM125	4.618
CNTN2	-0.012875
ASNSD1	0.3505
FUT4	-0.05275
ACF	0.58825
LOC158381	0.7025
CDH8	0.38075
AGPS	0.472166666666667
C4orf18	1.356
PECI	-0.354666666666667
UNG	-1.50075
GSTP1	-0.645
DCUN1D5	-1.509
DKFZP564J0863	-0.65525
SLC9A3R1	0.837
BCDO2	-0.26575
CHMP7	-0.137625
REM2	-0.136
DNHD1	0.076875
FKBP4	-1.87675
ZNF350	-0.778
MGC11102	-0.163625
BST1	3.56
KISS1R	1.493
NCR2	0.803
DEFB125	0.0285
UBE2W	1.476375
KRT15	-3.658375
C10orf99	1.6705
SCN11A	0.607375
GFI1	-2.185
RDHE2	-0.498166666666667
FHL1	0.8225
OSGEP	-0.621
GATA1	-4.202
SMC6	-1.226
TTTY14	-0.45275
LPIN3	0.54075
RPL4	-0.6892
RBPMS	2.068
PRPF3	-0.751333333333333
EMR1	-0.952
SPATA19	0.00250000000000001
XCR1	0.086
IRX3	1.962
RBM6	-1.5135
KLF4	-0.9225
UNC5CL	2.99625
SEBOX	-0.04
BTK	-0.1375
KRCC1	1.28725
C6orf27	0.2315
SYTL5	-0.3155
PRND	0.2675
LOC653319	-0.88
PIGL	-0.653125
HUS1	0.338833333333333
SFRS6	-0.35275
C17orf77	0.2725
UIMC1	-0.176
FXYD2	5.0072
LOC283152	0.4295
ZNF667	-2.057
ZCCHC12	-0.76
TFEC	5.2447
ATP7B	0.858833333333333
POLD2	-1.412
RG9MTD1	-0.8285
ACOT2	0.265
HIST1H4I	-0.456
PPARGC1A	0.8859
ETFA	-0.223
POLRMT	-0.121
ZNF146	-0.393
MIA2	2.388
KLHL6	0.0575
HOXB5	-0.554625
NENF	1.57433333333333
CUGBP1	-0.282
PRSS22	-0.614833333333333
CASC4	1.4137
CUL4B	0.4609
CENPJ	-1.9089
PITX1	-1.831
FLJ31033	0.799333333333333
CELSR3	-2.83266666666667
ZNF568	-1.30475
ITSN1	-0.450083333333333
EHBP1L1	-0.5505
C19orf2	-0.2845
DCTN1	-0.708
LIN28B	-4.0552
TNKS2	0.37125
C1QBP	-0.65175
CADPS2	1.31325
SRMS	0.047
GJA9	0.420666666666667
MGC24975	-0.668833333333333
TRIM45	-1.19483333333333
TSP50	0.353
TCP1	-1.79075
TMED7	1.2251
CMA1	0.8
CENPL	-1.49816666666667
PTCRA	-0.0155
FST	-6.298
VWCE	-1.3265
PAWR	-1.75375
ABCC12	0.295166666666667
LDLR	-3.2016
ASTN2	0.0172
LOC441212	-0.197625
GPATCH8	-0.5765
TANC2	-1.48275
KIF4A	-3.6155
