Hybridization REF	TCGA-B2-3924-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.127
CREB3L1	-1.00475
RPS11	0.475625
PNMA1	-0.71
MMP2	-1.7395
C10orf90	-1.341
ZHX3	-0.783
ERCC5	0.84775
GPR98	-0.933125
RXFP3	-5.362
APBB2	-0.5835
PRO0478	-0.963625
KLHL13	-1.26725
PRSSL1	-0.302166666666667
PDCL3	0.244
DECR1	0.49325
SALL1	0.984
CADM4	0.589833333333333
RPS18	0.598571428571429
HNRPD	-0.9455
CFHR5	3.05325
SLC10A7	-1.072125
OR2K2	-0.616
LMAN1	-0.771142857142857
SUHW1	-1.50466666666667
CHD8	-0.7816
SUMO1	-0.491375
GP1BA	-1.61642857142857
DDB1	-0.853666666666667
MYO9B	-1.48255555555556
MMP7	5.661
CRNKL1	-0.298875
C9orf45	-2.56666666666667
XAB2	-1.32757142857143
RTN1	0.1985
KLHL14	-0.639
TBX10	-0.1395
CENPQ	-0.93375
UTY	0.322727272727273
ZBTB12	0.532
DTNBP1	-0.237125
KBTBD8	0.432333333333333
ZEB1	0.6614
ZG16	-0.952666666666667
MIER1	-0.2006
ADAM5P	1.142
CHD9	-0.850153846153846
STK16	1.159
KIAA1486	0.5615
TOB2	0.05675
BANK1	3.40625
OR2V2	-0.1455
GRM2	-0.998
PROSC	1.079125
SPIN2B	0.20225
PIR	-1.60122222222222
IPO9	-0.3824
EVC	0.8555
CXCL13	3.6245
KIAA1199	-3.30122222222222
SORL1	0.41175
NAT10	-0.69
CHD1	-0.581
SYN3	-1.5835
SLC22A2	5.753
SERPINF1	-1.7585
WDR34	-1.012
OR7A17	-1.25933333333333
C9orf11	-1.7785
RNF216L	-0.0414
LHB	-0.283
STK25	0.027875
TAOK3	0.7375
LOC152573	-1.73933333333333
C3orf39	-0.497125
C14orf108	-0.484888888888889
CDC25B	-1.72118181818182
BMP3	-2.841
TMEM180	0.069
MAP1LC3C	-0.89925
CRYGC	0.129
POU3F1	-1.78322222222222
C20orf32	0.283
CCDC95	-0.218
HIGD1B	4.563
USP6NL	-0.942285714285714
ABCD4	1.31633333333333
DIMT1L	-0.52525
TEK	2.09542857142857
SLC25A46	-0.065
LARP7	-0.928666666666667
CD160	1.01766666666667
MT1JP	-0.138666666666667
PHF20	-1.3319375
CPNE4	-0.620333333333333
GTPBP1	-1.4185
RAB33B	-2.17275
ALDOC	-0.037625
ZNF212	-0.1455
NUDT1	-1.75633333333333
RFPL2	0.78175
ZNF83	1.69483333333333
GDPD5	-2.54325
PDCD4	0.07445
CEP350	-0.33775
OR10A2	-1.26366666666667
CST7	3.05825
CIAO1	-0.59875
SELL	1.90066666666667
OR8J3	0.9125
LTBP4	-0.616666666666667
SIRT6	0.652
CCL19	3.14125
PPIL1	-1.17133333333333
GBP7	1.8276
STK17A	-0.163
ABR	-0.55875
OR9G1	-1.3965
FOXE1	-0.874857142857143
CNGA3	1.527
GML	-1.472
CD38	1.189
ZDHHC6	0.799
NEFH	-2.353
CTDSP2	0.5795
PGBD5	-0.276
CCNY	0.400307692307692
RMND5B	0.0918333333333333
ZNF257	-3.36333333333333
FLJ22167	-0.103285714285714
EXOSC7	-1.6155
ROR2	-0.03125
MAOA	2.371875
TNNT3	0.762666666666667
GYPC	0.1715
C7orf33	1.0865
PLIN	-0.648833333333333
LOC90826	0.54225
RNF4	-0.468
F8A1	0.3415
PLEKHG4	-1.404
GRB2	-0.4554
HIST1H2AD	-0.7185
DUS3L	0.270833333333333
EIF1	0.0266666666666667
RP5-1077B9.4	-1.85583333333333
FPGT	1.86425
GDF10	-2.0456
COQ9	0.95425
GCC2	-0.477357142857143
RARRES3	3.511125
PLXNA1	-1.0989
KIAA0100	-0.4291
PMF1	0.3855
FNDC1	1.1625
HS2ST1	-1.56333333333333
CRELD2	-0.13325
C8G	0.317
CD82	-0.05375
LIM2	0.2455
UNQ6490	-1.027
MMP16	-2.97566666666667
DRD3	-0.099
C5orf26	0.96325
C11orf73	-0.683428571428571
PTP4A2	-0.75525
OR4M2	1.004
HPCA	0.7405
SEC14L1	-0.584666666666667
CHFR	0.04325
EMILIN1	-0.842375
NDUFS4	1.1435
COL18A1	-0.275
PDZD3	2.295875
C9orf16	-0.165
ERBB2IP	-0.0458333333333333
EMX2	6.5525
FUS	-1.941
TF	-3.36025
CLCN4	0.451
CXorf56	0.099
C11orf72	-0.6945
ELAC2	-1.27666666666667
NPR1	0.48425
ASS1	-1.13233333333333
USP42	-0.161625
POLR2J	-0.661
SEC23IP	0.341166666666667
UQCRC1	-0.43825
LOC729603	-1.98575
C1orf71	-0.908
POLG	-2.567
ADAM23	-3.3875
TFR2	0.06975
RICTOR	-0.1365
MGC39606	-0.64575
C19orf55	-1.094125
SNAPC1	-0.507166666666667
GNA11	0.36175
CCDC52	-1.11883333333333
FSIP1	0.22
UPF3A	0.34825
IGSF11	-1.1378
LAGE3	-1.33225
CHST6	-1.478
UNC13B	-0.70525
TTLL4	-2.48
ZNF687	-0.643375
