Hybridization REF	TCGA-B2-3923-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.3035
CREB3L1	1.58275
RPS11	0.342875
PNMA1	-0.51175
MMP2	-1.694
C10orf90	-2.087
ZHX3	-0.5485
ERCC5	-0.43925
GPR98	-0.351125
RXFP3	0.8715
APBB2	1.2405
PRO0478	-0.967875
KLHL13	-0.037
PRSSL1	-0.525666666666667
PDCL3	-0.0423333333333333
DECR1	2.019375
SALL1	-4.33483333333333
CADM4	1.7345
RPS18	-0.068
HNRPD	-0.86525
CFHR5	0.349166666666667
SLC10A7	-0.073875
OR2K2	0.603
LMAN1	0.07975
SUHW1	-3.26225
CHD8	-1.4236
SUMO1	-0.0229
GP1BA	-0.1278
DDB1	-0.521333333333333
MYO9B	-1.2152
MMP7	5.266
CRNKL1	0.2775
C9orf45	-1.0405
XAB2	-0.05925
RTN1	1.290875
KLHL14	-1.255375
TBX10	-0.994
CENPQ	-1.17675
UTY	-0.521615384615385
ZBTB12	0.011
DTNBP1	-0.870875
KBTBD8	-0.814833333333333
ZEB1	-0.568833333333333
ZG16	-1.17275
MIER1	0.3222
ADAM5P	-0.366
CHD9	-0.25275
STK16	0.815
KIAA1486	0.66
TOB2	0.212666666666667
BANK1	5.1105
OR2V2	0.45275
GRM2	0.506166666666667
PROSC	0.751
SPIN2B	0.943
PIR	-1.56455555555556
IPO9	-0.838666666666667
EVC	-0.699166666666667
CXCL13	1.41566666666667
KIAA1199	-4.0969
SORL1	2.767
NAT10	-0.8105
CHD1	-1.6235
SYN3	-0.32275
SLC22A2	-0.041
SERPINF1	-2.74083333333333
WDR34	-2.08775
OR7A17	0.45725
C9orf11	-0.023
RNF216L	-0.3072
LHB	0.394
STK25	-0.787
TAOK3	0.962875
LOC152573	0.10875
C3orf39	0.206375
C14orf108	2.4945
CDC25B	-2.24836363636364
BMP3	0.2945
TMEM180	0.5005
MAP1LC3C	-0.10075
CRYGC	-0.508
POU3F1	-0.5033
C20orf32	-1.113
CCDC95	-0.3285
HIGD1B	5.6335
USP6NL	-1.810625
ABCD4	0.270333333333333
DIMT1L	-0.81725
TEK	1.437625
SLC25A46	1.3865
LARP7	-0.5704
CD160	2.29083333333333
MT1JP	-1.34783333333333
PHF20	-1.0926875
CPNE4	-1.63375
GTPBP1	-0.736714285714286
RAB33B	0.9355
ALDOC	-2.449625
ZNF212	-0.9245
NUDT1	-1.13183333333333
RFPL2	-1.4825
ZNF83	0.451833333333333
GDPD5	-0.823125
PDCD4	1.1418
CEP350	-1.65325
OR10A2	0.77425
CST7	-0.453
CIAO1	-0.738
SELL	0.494625
OR8J3	0.6235
LTBP4	-0.160333333333333
SIRT6	0.5225
CCL19	3.525
PPIL1	-1.28166666666667
GBP7	0.873833333333333
STK17A	0.5156
ABR	0.81175
OR9G1	0.2315
FOXE1	-0.578125
CNGA3	-0.788
GML	-0.2045
CD38	-3.09425
ZDHHC6	0.336
NEFH	-3.4075
CTDSP2	-0.1285
PGBD5	-2.60533333333333
CCNY	0.065
RMND5B	1.057
ZNF257	0.5515
FLJ22167	0.027625
EXOSC7	0.868333333333333
ROR2	-0.107625
MAOA	2.363375
TNNT3	0.568
GYPC	-1.46875
C7orf33	0.224
PLIN	0.0265
LOC90826	0.57325
RNF4	-0.4645
F8A1	-0.446833333333333
PLEKHG4	-4.1145
GRB2	-1.06985
HIST1H2AD	-0.7505
DUS3L	-0.407333333333333
EIF1	0.600333333333333
RP5-1077B9.4	-1.41666666666667
FPGT	1.127
GDF10	0.0623333333333333
COQ9	1.92025
GCC2	-0.131071428571429
RARRES3	3.6775
PLXNA1	-1.2702
KIAA0100	-1.2551
PMF1	0.419
FNDC1	-0.09225
HS2ST1	-0.900916666666667
CRELD2	-0.404
C8G	0.314
CD82	2.44025
LIM2	-0.773
UNQ6490	-0.4735
MMP16	-0.5095
DRD3	-0.0025
C5orf26	0.54075
C11orf73	0.537125
PTP4A2	-0.1625
OR4M2	0.8755
HPCA	-0.945333333333333
SEC14L1	-0.210333333333333
CHFR	-0.31725
EMILIN1	-0.515875
NDUFS4	1.54725
COL18A1	0.09725
PDZD3	-0.0432
C9orf16	-0.00816666666666667
ERBB2IP	0.312333333333333
EMX2	7.42725
FUS	-2.08375
TF	-3.899
CLCN4	1.66683333333333
CXorf56	1.50025
C11orf72	0.32025
ELAC2	-1.27175
NPR1	-0.57575
ASS1	-2.78083333333333
USP42	-0.652
POLR2J	0.6075
SEC23IP	0.3755
UQCRC1	1.45525
LOC729603	-0.56725
C1orf71	-0.73425
POLG	-2.7855
ADAM23	-4.44675
TFR2	-0.5605
RICTOR	0.8193
MGC39606	2.805
C19orf55	-0.28875
SNAPC1	-1.131
GNA11	1.6935
CCDC52	-0.579
FSIP1	-1.557
UPF3A	0.094375
IGSF11	-3.42716666666667
LAGE3	-1.162
CHST6	-3.6725
UNC13B	-0.44175
TTLL4	-2.594
ZNF687	-0.845125
SDC2	2.7362
COX7A2	1.5825
LAMB4	3.4765
FAM24A	0.4815
LRRTM3	-0.873166666666667
GPHB5	1.01325
OR4C13	-0.495
EIF3EIP	0.824
HABP4	0.053
TMEM125	1.21625
CNTN2	0.07875
ASNSD1	-0.98925
FUT4	-0.263
ACF	-3.273
LOC158381	1.2005
CDH8	-0.0715
AGPS	-1.36166666666667
C4orf18	3.859375
PECI	0.178083333333333
UNG	-0.891125
GSTP1	-0.67125
DCUN1D5	-1.17283333333333
DKFZP564J0863	0.28
SLC9A3R1	0.439
BCDO2	3.13425
CHMP7	-0.25275
REM2	0.587
DNHD1	-0.51525
FKBP4	-1.065125
ZNF350	2.37125
MGC11102	0.12575
BST1	-0.6885
KISS1R	1.01
NCR2	-1.5115
DEFB125	-0.3705
UBE2W	2.004125
KRT15	-3.45825
C10orf99	1.2405
SCN11A	-0.157875
GFI1	-2.81475
RDHE2	-0.8515
FHL1	-1.80066666666667
OSGEP	0.124333333333333
GATA1	-2.94033333333333
SMC6	-2.66725
TTTY14	-0.278
LPIN3	0.58125
RPL4	-0.7389
RBPMS	1.1483
PRPF3	-1.349
EMR1	-2.2375
SPATA19	-0.309
XCR1	0.456
IRX3	-1.5074
RBM6	-0.6055
KLF4	-1.0624
UNC5CL	-1.97025
SEBOX	0.2385
BTK	-0.63075
KRCC1	1.324
C6orf27	0.6475
SYTL5	-0.6035
PRND	0.13325
