Hybridization REF	TCGA-BP-4164-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.726166666666667
CREB3L1	-1.34275
RPS11	1.03325
PNMA1	0.00949999999999999
MMP2	-1.9955
C10orf90	-2.832
ZHX3	0.0195
ERCC5	0.95775
GPR98	-1.323875
RXFP3	1.0335
APBB2	-0.70275
PRO0478	-0.65075
KLHL13	-0.274
PRSSL1	-0.972333333333333
PDCL3	0.066
DECR1	0.108625
SALL1	2.59583333333333
CADM4	-1.2275
RPS18	0.662
HNRPD	-0.526583333333333
CFHR5	0.841833333333333
SLC10A7	-0.00912500000000004
OR2K2	2.586
LMAN1	-0.592125
SUHW1	-5.2965
CHD8	-1.3701
SUMO1	0.0911
GP1BA	-0.0938
DDB1	-1.27033333333333
MYO9B	-0.2388
MMP7	5.37175
CRNKL1	-0.219125
C9orf45	-2.28566666666667
XAB2	-0.13
RTN1	0.582625
KLHL14	-1.07875
TBX10	-1.312
CENPQ	-2.102
UTY	-1.44514285714286
ZBTB12	-0.287
DTNBP1	0.074
KBTBD8	-1.0585
ZEB1	0.494666666666667
ZG16	-2.446
MIER1	0.8333
ADAM5P	-1.1745
CHD9	0.6525625
STK16	0.25575
KIAA1486	-0.581
TOB2	1.44783333333333
BANK1	5.55575
OR2V2	0.035
GRM2	0.045
PROSC	1.430375
SPIN2B	-0.00875
PIR	-1.19366666666667
IPO9	-0.6353
EVC	1.52466666666667
CXCL13	5.61466666666667
KIAA1199	-4.8597
SORL1	1.58675
NAT10	-0.36275
CHD1	-0.5985
SYN3	0.2425
SLC22A2	6.53225
SERPINF1	-1.708
WDR34	-0.7445
OR7A17	0.2505
C9orf11	-0.8505
RNF216L	0.0408
LHB	0.105
STK25	-0.059
TAOK3	0.987875
LOC152573	-1.46675
C3orf39	-0.821875
C14orf108	-0.0789999999999999
CDC25B	-2.16327272727273
BMP3	0.104
TMEM180	0.4545
MAP1LC3C	-0.0725
CRYGC	-1.439
POU3F1	-0.4939
C20orf32	-1.5045
CCDC95	0.3135
HIGD1B	4.6895
USP6NL	-1.0755
ABCD4	1.09933333333333
DIMT1L	-1.25
TEK	1.72025
SLC25A46	0.27
LARP7	-1.2619
CD160	1.28466666666667
MT1JP	-0.921833333333333
PHF20	-0.581375
CPNE4	-2.43875
GTPBP1	-0.873214285714286
RAB33B	1.838
ALDOC	0.995625
ZNF212	-1.04425
NUDT1	-1.683
RFPL2	0.239
ZNF83	0.486666666666667
GDPD5	-2.120125
PDCD4	0.02905
CEP350	-0.339
OR10A2	-1.12525
CST7	2.70225
CIAO1	0.023
SELL	1.267875
OR8J3	0.108
LTBP4	-0.633666666666667
SIRT6	-0.60925
CCL19	2.56425
