Hybridization REF	TCGA-AK-3456-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-1.17625
CREB3L1	0.52925
RPS11	1.046875
PNMA1	0.18875
MMP2	-2.71433333333333
C10orf90	-2.28025
ZHX3	0.243833333333333
ERCC5	-0.7995
GPR98	-2.483
RXFP3	1.1325
APBB2	-1.2535
PRO0478	-1.502125
KLHL13	1.817
PRSSL1	-0.233
PDCL3	0.202666666666667
DECR1	0.776875
SALL1	1.74583333333333
CADM4	0.624666666666667
RPS18	1.18492857142857
HNRPD	-2.30616666666667
CFHR5	0.91725
SLC10A7	-0.894285714285714
OR2K2	-0.0135000000000001
LMAN1	-0.88825
SUHW1	-3.04
CHD8	-1.8521
SUMO1	1.1385
GP1BA	-0.015375
DDB1	-1.3985
MYO9B	-0.5524
MMP7	7.653
CRNKL1	-0.16725
C9orf45	-2.187
XAB2	-1.0185
RTN1	0.247875
KLHL14	-0.095625
TBX10	-0.469
CENPQ	-1.09625
UTY	1.86130769230769
ZBTB12	0.222
DTNBP1	-0.159625
KBTBD8	-1.0105
ZEB1	-1.4786
ZG16	-0.482333333333333
MIER1	0.5095
ADAM5P	0.442
CHD9	0.0656875
STK16	1.84725
KIAA1486	0.0465
TOB2	0.0463333333333333
BANK1	3.418
OR2V2	0.256666666666667
GRM2	0.0105
PROSC	0.636125
SPIN2B	0.879
PIR	-0.780222222222222
IPO9	-1.0331
EVC	2.49633333333333
CXCL13	0.819166666666667
KIAA1199	-2.0933
SORL1	0.382
NAT10	-1.65125
CHD1	-1.09175
SYN3	-1.4535
SLC22A2	7.0495
SERPINF1	-2.08116666666667
WDR34	-1.6255
OR7A17	-0.30225
C9orf11	1.242
RNF216L	-0.2285
LHB	0.4645
STK25	-0.727375
TAOK3	-0.153125
LOC152573	0.1845
C3orf39	0.218625
C14orf108	0.9441
CDC25B	-1.66427272727273
BMP3	0.591
TMEM180	1.039
MAP1LC3C	1.34875
CRYGC	-0.262
POU3F1	-0.379666666666667
C20orf32	-1.2865
CCDC95	-0.512
HIGD1B	4.51525
USP6NL	-0.370125
ABCD4	0.946666666666667
DIMT1L	-0.622583333333333
TEK	0.395375
SLC25A46	0.4155
LARP7	-1.381
CD160	1.45633333333333
MT1JP	-0.0548333333333332
PHF20	-1.330875
CPNE4	-1.465
GTPBP1	-1.12935714285714
RAB33B	0.351
ALDOC	-3.0345
ZNF212	-1.65175
NUDT1	-2.48283333333333
RFPL2	-0.5115
ZNF83	0.356333333333333
GDPD5	-1.664375
PDCD4	1.255
CEP350	-1.911
OR10A2	0.689
CST7	-1.252
CIAO1	0.448
SELL	0.58975
OR8J3	0.7825
LTBP4	-0.392833333333333
SIRT6	-0.02625
CCL19	1.95475
PPIL1	-0.180666666666667
GBP7	0.3338
STK17A	-0.6295
ABR	0.88275
OR9G1	-1.587
FOXE1	0.4855
CNGA3	null
GML	0.086
CD38	-2.693
ZDHHC6	0.387166666666667
NEFH	-3.484
CTDSP2	-0.680666666666667
PGBD5	-0.205833333333333
CCNY	0.815
RMND5B	0.104583333333333
ZNF257	-2.16325
FLJ22167	0.25575
EXOSC7	-1.09883333333333
ROR2	-0.077
MAOA	2.78925
TNNT3	0.295333333333333
GYPC	-0.26275
C7orf33	2.3515
PLIN	0.523333333333333
LOC90826	0.6455
RNF4	-0.8124
F8A1	-0.231333333333333
PLEKHG4	-3.77475
GRB2	-0.40605
HIST1H2AD	-0.64825
DUS3L	-0.711333333333333
