Hybridization REF	TCGA-AS-3778-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.6045
CREB3L1	-0.48
RPS11	0.529875
PNMA1	0.60825
MMP2	-1.73733333333333
C10orf90	-3.82066666666667
ZHX3	0.297666666666667
ERCC5	1.12525
GPR98	-1.19471428571429
RXFP3	0.403
APBB2	0.54625
PRO0478	-0.348
KLHL13	-1.1475
PRSSL1	-0.712166666666667
PDCL3	0.3215
DECR1	0.561875
SALL1	2.80533333333333
CADM4	-0.205166666666667
RPS18	0.133
HNRPD	0.0125
CFHR5	0.703333333333333
SLC10A7	0.078875
OR2K2	-0.363
LMAN1	-0.74825
SUHW1	-1.5135
CHD8	-1.1268
SUMO1	0.3624
GP1BA	0.1558
DDB1	-0.921
MYO9B	-0.1581
MMP7	5.3525
CRNKL1	0.0844999999999999
C9orf45	-1.90716666666667
XAB2	-0.520625
RTN1	1.276875
KLHL14	-0.34075
TBX10	-0.642
CENPQ	-1.32525
UTY	2.01021428571429
ZBTB12	-0.04
DTNBP1	0.093125
KBTBD8	-1.51033333333333
ZEB1	0.851666666666667
ZG16	-0.8905
MIER1	0.00950000000000003
ADAM5P	-1.714
CHD9	0.1354375
STK16	-0.265
KIAA1486	-0.0325
TOB2	1.02941666666667
BANK1	4.3725
OR2V2	0.25475
GRM2	0.06
PROSC	0.9345
SPIN2B	0.26875
PIR	-1.76311111111111
IPO9	-0.4601
EVC	1.96183333333333
CXCL13	0.846666666666667
KIAA1199	-3.4589
SORL1	1.01225
NAT10	-0.606
CHD1	-0.85125
SYN3	0.4455
SLC22A2	7.1775
SERPINF1	-1.98483333333333
WDR34	-1.2635
OR7A17	0.088
C9orf11	0.033
RNF216L	-0.3702
LHB	-0.311
STK25	0.3055
TAOK3	1.391125
LOC152573	1.5375
C3orf39	-0.055875
C14orf108	0.0365
CDC25B	-1.73418181818182
BMP3	0.496
TMEM180	0.5765
MAP1LC3C	0.399
CRYGC	-1.191
POU3F1	-0.7153
C20orf32	0.0485
CCDC95	-0.4095
HIGD1B	4.47225
USP6NL	-0.623375
ABCD4	1.08233333333333
DIMT1L	-0.755166666666667
TEK	2.775625
SLC25A46	-0.19175
LARP7	-1.5725
CD160	0.8216
MT1JP	0.267
PHF20	-0.4776875
CPNE4	-1.26425
GTPBP1	-1.29492857142857
RAB33B	2.0795
ALDOC	-0.019875
ZNF212	-0.67725
NUDT1	-2.3005
RFPL2	0.93725
ZNF83	1.32183333333333
GDPD5	-1.11875
PDCD4	1.01455
CEP350	-0.188
OR10A2	0.19475
CST7	1.293
