Hybridization REF	TCGA-A3-3349-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.569333333333333
CREB3L1	-0.94025
RPS11	0.687625
PNMA1	0.39575
MMP2	0.082
C10orf90	-2.47075
ZHX3	0.365
ERCC5	0.98575
GPR98	-1.535625
RXFP3	0.47
APBB2	1.25675
PRO0478	-0.09275
KLHL13	-1.00875
PRSSL1	-0.606
PDCL3	0.0643333333333333
DECR1	0.41225
SALL1	1.00866666666667
CADM4	-0.828
RPS18	0.272928571428571
HNRPD	-0.0538333333333333
CFHR5	-0.103833333333333
SLC10A7	0.437
OR2K2	-0.9645
LMAN1	-1.211625
SUHW1	-4.565
CHD8	-0.8489
SUMO1	0.3144
GP1BA	0.4456
DDB1	-1.05133333333333
MYO9B	0.1999
MMP7	6.77675
CRNKL1	-0.18325
C9orf45	-2.0695
XAB2	-0.20925
RTN1	1.073125
KLHL14	-0.903875
TBX10	-1.222
CENPQ	-1.537
UTY	-1.52621428571429
ZBTB12	0.552
DTNBP1	0.663875
KBTBD8	-1.63366666666667
ZEB1	2.73066666666667
ZG16	-1.80225
MIER1	0.4584
ADAM5P	0.3545
CHD9	0.515125
STK16	-0.26025
KIAA1486	-0.5475
TOB2	0.866583333333333
BANK1	4.76525
OR2V2	-0.00899999999999998
GRM2	-0.0388333333333333
PROSC	0.64225
SPIN2B	0.4175
PIR	-1.28555555555556
IPO9	-0.4184
EVC	1.47683333333333
CXCL13	0.785166666666667
KIAA1199	-3.5729
SORL1	0.8605
NAT10	-1.02375
CHD1	-0.74475
SYN3	0.356
SLC22A2	6.09975
SERPINF1	-1.42616666666667
WDR34	-1.246
OR7A17	-0.128
C9orf11	0.083
RNF216L	-0.0195
LHB	-0.379
STK25	0.0285
TAOK3	0.775375
LOC152573	1.42975
C3orf39	-0.20175
C14orf108	-0.6599
CDC25B	-1.97381818181818
BMP3	0.345
TMEM180	0.2065
MAP1LC3C	0.18175
CRYGC	-0.8275
POU3F1	-0.8917
C20orf32	-1.677
CCDC95	-0.3255
HIGD1B	4.76875
USP6NL	-0.315625
ABCD4	0.885333333333333
DIMT1L	-0.777916666666667
TEK	3.4875
SLC25A46	-0.37475
LARP7	-0.9781
CD160	1.81683333333333
MT1JP	-0.757333333333333
PHF20	-0.5715625
CPNE4	-2.10375
GTPBP1	-0.894214285714286
RAB33B	1.362
ALDOC	-0.276875
ZNF212	-0.644
NUDT1	-1.76816666666667
RFPL2	-1.48
ZNF83	0.834166666666667
GDPD5	-0.455125
PDCD4	1.2045
CEP350	-0.199
OR10A2	0.1635
CST7	1.712
CIAO1	-1.2855
SELL	1.294375
OR8J3	0.0595
LTBP4	0.353333333333333
SIRT6	-0.6275
CCL19	3.03825
PPIL1	-1.17466666666667
GBP7	0.262666666666667
STK17A	-0.7313
ABR	0.4645
OR9G1	-0.028
FOXE1	-0.6105
CNGA3	-0.053
GML	0.0575
CD38	-2.99175
ZDHHC6	0.4555
NEFH	-3.02275
CTDSP2	0.797
PGBD5	1.56083333333333
CCNY	0.657285714285714
RMND5B	-0.483666666666667
ZNF257	-1.8015
FLJ22167	-0.064875
EXOSC7	-1.66833333333333
ROR2	-0.421375
MAOA	1.219
TNNT3	2.11633333333333
GYPC	-1.23625
C7orf33	1.101
PLIN	0.1085
LOC90826	0.16225
RNF4	-0.3016
F8A1	0.184
PLEKHG4	-1.47
GRB2	-0.2051
HIST1H2AD	-0.961
DUS3L	-0.730666666666667
EIF1	0.391
RP5-1077B9.4	-1.53316666666667
FPGT	1.19675
GDF10	1.68116666666667
COQ9	-0.20425
GCC2	0.364
RARRES3	2.1385
PLXNA1	-0.2301
KIAA0100	-0.4127
PMF1	0.29775
FNDC1	5.13175
HS2ST1	0.233416666666667
CRELD2	-0.28175
C8G	-1.8845
CD82	-1.3685
LIM2	-0.9105
UNQ6490	-0.4405
MMP16	-0.12925
DRD3	-0.1595
C5orf26	1.243
C11orf73	-0.301375
PTP4A2	-0.396625
OR4M2	-0.3195
HPCA	0.127666666666667
SEC14L1	0.816833333333333
CHFR	-0.300875
EMILIN1	0.6145
NDUFS4	0.262
COL18A1	1.501625
PDZD3	2.4207
C9orf16	-0.653166666666667
ERBB2IP	0.564833333333333
EMX2	6.134
FUS	-2.17225
TF	-3.5312
CLCN4	1.36733333333333
CXorf56	0.505
C11orf72	0.03925
ELAC2	-1.40841666666667
NPR1	1.35475
ASS1	-1.26133333333333
USP42	-0.328125
POLR2J	-0.7405
SEC23IP	0.199
UQCRC1	-0.77325
LOC729603	-0.238
C1orf71	-0.164375
POLG	-2.9745
ADAM23	-3.15075
TFR2	-1.48225
RICTOR	-0.1383
MGC39606	1.962
C19orf55	-0.278125
SNAPC1	-0.713666666666667
GNA11	0.696875
CCDC52	-0.113166666666667
FSIP1	1.2345
UPF3A	-0.465
IGSF11	-2.3135
LAGE3	-1.39525
CHST6	-3.3025
UNC13B	0.789
TTLL4	-2.4275
ZNF687	-0.253875
SDC2	0.8753
COX7A2	-0.0255
LAMB4	1.467
FAM24A	0.3335
LRRTM3	-0.861166666666667
GPHB5	-0.3665
OR4C13	0.5085
EIF3EIP	0.2155
HABP4	0.458
TMEM125	2.6495
CNTN2	-0.377625
ASNSD1	-0.0025
FUT4	-0.024375
ACF	1.211
LOC158381	0.275
CDH8	1.72525
AGPS	-0.0721666666666667
C4orf18	3.034375
PECI	-0.098
UNG	-0.78425
GSTP1	-0.6085
DCUN1D5	-2.1395
DKFZP564J0863	-1.11
SLC9A3R1	0.097125
BCDO2	0.1885
CHMP7	-0.380375
REM2	-0.9305
DNHD1	-0.01225
FKBP4	-2.137625
ZNF350	2.02
MGC11102	-0.6075
BST1	1.70975
KISS1R	1.1065
NCR2	0.312
DEFB125	0.6785
UBE2W	0.74475
KRT15	-3.963375
C10orf99	1.351
SCN11A	0.249
GFI1	-1.9555
RDHE2	-1.27916666666667
FHL1	0.503333333333333
OSGEP	0.0811666666666667
GATA1	-3.80516666666667
SMC6	-0.93775
TTTY14	-1.06875
LPIN3	0.36125
RPL4	-0.8201
RBPMS	1.6401
PRPF3	-0.626
EMR1	-1.702
SPATA19	-0.51625
XCR1	-0.118
IRX3	2.4082
