Hybridization REF	TCGA-B8-4143-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.916916666666667
CREB3L1	-0.5825
RPS11	1.21575
PNMA1	-0.46225
MMP2	-1.39166666666667
C10orf90	-1.8755
ZHX3	-0.642833333333333
ERCC5	1.02175
GPR98	-1.92325
RXFP3	0.8765
APBB2	0.264
PRO0478	0.322
KLHL13	-2.32625
PRSSL1	-0.271333333333333
PDCL3	-0.0123333333333333
DECR1	-0.036375
SALL1	1.19333333333333
CADM4	-1.1065
RPS18	0.888642857142857
HNRPD	-1.17375
CFHR5	-0.1056
SLC10A7	0.4985
OR2K2	0.229
LMAN1	-0.64875
SUHW1	-3.6615
CHD8	-0.9951
SUMO1	-0.1093
GP1BA	0.7462
DDB1	-0.704166666666667
MYO9B	0.4524
MMP7	7.399
CRNKL1	-0.530375
C9orf45	-1.8805
XAB2	-0.10775
RTN1	1.31325
KLHL14	-1.012125
TBX10	-1.333
CENPQ	-1.174
UTY	-1.97257142857143
ZBTB12	-0.266
DTNBP1	0.755125
KBTBD8	-0.3945
ZEB1	0.7025
ZG16	-2.273
MIER1	0.864
ADAM5P	-0.083
CHD9	0.4720625
STK16	1.2535
KIAA1486	0.0595
TOB2	0.544416666666667
BANK1	2.6665
OR2V2	0.26575
GRM2	0.0738333333333333
PROSC	-0.69225
SPIN2B	-0.09575
PIR	-1.91444444444444
IPO9	-0.1613
EVC	1.67666666666667
CXCL13	7.02333333333333
KIAA1199	-3.2852
SORL1	-0.05725
NAT10	-0.85425
CHD1	-0.346
SYN3	-0.5595
SLC22A2	-0.45825
SERPINF1	-0.439
WDR34	-0.71625
OR7A17	0.12
C9orf11	-0.0635
RNF216L	0.0314
LHB	-0.335
STK25	-0.035
TAOK3	0.69275
LOC152573	-2.7955
C3orf39	-0.931
C14orf108	-0.9648
CDC25B	-1.23381818181818
BMP3	0.056
TMEM180	0.34
MAP1LC3C	-0.47675
CRYGC	-1.4835
POU3F1	-0.7464
C20orf32	-0.9655
CCDC95	0.1945
HIGD1B	4.99925
USP6NL	-0.664375
ABCD4	0.7345
DIMT1L	-0.242083333333333
TEK	1.22525
SLC25A46	-0.436
LARP7	-0.7017
CD160	1.61366666666667
MT1JP	1.22766666666667
PHF20	-0.5821875
CPNE4	-2.69825
GTPBP1	-0.577928571428571
RAB33B	0.4785
ALDOC	-1.400375
ZNF212	-0.1215
NUDT1	-0.834833333333333
RFPL2	-1.30925
ZNF83	2.53633333333333
GDPD5	-0.676625
PDCD4	0.25415
CEP350	-0.4285
OR10A2	0.435
CST7	3.44875
CIAO1	-0.4265
SELL	2.11525
OR8J3	0.212
LTBP4	-0.528333333333333
SIRT6	0.0765
CCL19	4.78475
PPIL1	-1.195
GBP7	0.577833333333333
STK17A	-0.447
ABR	0.34475
OR9G1	-0.2625
FOXE1	-0.74975
CNGA3	-0.004
GML	0.0795
CD38	1.459
ZDHHC6	0.379166666666667
NEFH	-2.469
CTDSP2	0.102833333333333
PGBD5	1.23716666666667
CCNY	0.525428571428571
RMND5B	-0.512666666666667
ZNF257	-2.5275
FLJ22167	-0.214625
EXOSC7	-1.58083333333333
ROR2	-0.792625
MAOA	0.723
TNNT3	0.507166666666667
GYPC	-0.35875
C7orf33	1.1715
PLIN	0.276833333333333
LOC90826	-0.6675
RNF4	-0.0277
F8A1	-0.008
PLEKHG4	-1.572
GRB2	-0.05975
HIST1H2AD	-0.20325
DUS3L	0.125833333333333
EIF1	0.2405
RP5-1077B9.4	-0.741833333333333
FPGT	1.30475
GDF10	-2.02833333333333
COQ9	-0.17225
GCC2	0.312428571428571
RARRES3	3.26675
PLXNA1	0.7012
KIAA0100	-0.428
PMF1	0.19825
FNDC1	3.23025
HS2ST1	-0.0714999999999999
CRELD2	-0.23975
C8G	-0.6445
CD82	-0.46
LIM2	-0.965
UNQ6490	0.193
MMP16	-0.69175
DRD3	-0.11275
C5orf26	1.683
C11orf73	-0.215
PTP4A2	-0.507
OR4M2	-0.123
HPCA	-0.2515
SEC14L1	1.18533333333333
CHFR	0.788125
EMILIN1	0.623125
NDUFS4	-0.36525
COL18A1	1.408875
PDZD3	2.9631
C9orf16	0.116833333333333
ERBB2IP	0.178833333333333
EMX2	1.517
FUS	-1.4535
TF	-2.6061
CLCN4	-0.406833333333333
CXorf56	-0.5025
C11orf72	0.37075
ELAC2	-0.609833333333333
NPR1	0.805
ASS1	-0.289666666666667
USP42	-0.3615
POLR2J	-0.0405
SEC23IP	-0.00700000000000001
UQCRC1	-0.4855
LOC729603	-0.22175
C1orf71	-0.61125
POLG	-1.7775
ADAM23	-3.00425
TFR2	-0.87675
RICTOR	0.1102
MGC39606	0.93175
C19orf55	0.216
SNAPC1	-0.365833333333333
GNA11	0.079
CCDC52	-0.0273333333333333
FSIP1	-1.077
UPF3A	-0.328375
IGSF11	-1.81066666666667
LAGE3	-0.5045
CHST6	-2.652
UNC13B	-0.104625
TTLL4	-0.814
ZNF687	-0.299375
SDC2	-0.0596
COX7A2	-0.02525
LAMB4	0.6495
FAM24A	0.5125
LRRTM3	-1.27066666666667
GPHB5	0.27325
OR4C13	0.0615
EIF3EIP	-0.254714285714286
HABP4	-0.7635
TMEM125	-1.38775
CNTN2	-0.44225
ASNSD1	-0.2135
FUT4	0.319125
ACF	-2.699
LOC158381	-0.2525
CDH8	0.41775
AGPS	-0.930333333333333
C4orf18	1.14925
PECI	-0.313833333333333
UNG	-0.531375
GSTP1	-0.36075
DCUN1D5	-1.46833333333333
DKFZP564J0863	-0.515
SLC9A3R1	0.453375
BCDO2	0.53675
CHMP7	-0.79275
REM2	-0.1865
DNHD1	0.43125
FKBP4	-1.382375
ZNF350	1.96475
MGC11102	-0.27425
BST1	0.87475
KISS1R	1.214
NCR2	0.0565
DEFB125	-3.1805
UBE2W	0.565
KRT15	-1.89075
C10orf99	1.1835
SCN11A	0.44375
GFI1	0.447
RDHE2	-0.841166666666667
FHL1	-0.1835
OSGEP	-0.151833333333333
GATA1	-2.417
SMC6	-1.01825
TTTY14	-0.71275
LPIN3	0.6985
RPL4	-0.7556
RBPMS	1.0949
PRPF3	0.136833333333333
EMR1	0.0995
SPATA19	-0.24825
XCR1	0.1065
IRX3	2.4022
RBM6	0.224
KLF4	-0.1918
UNC5CL	2.695
SEBOX	-0.343
BTK	0.27725
KRCC1	1.11
C6orf27	0.5555
SYTL5	-1.3675
PRND	0.96575
LOC653319	0.289
PIGL	0.613375
HUS1	-0.313833333333333
SFRS6	-0.25725
C17orf77	0.6
UIMC1	0.246833333333333
FXYD2	3.6825
LOC283152	0.422
ZNF667	-1.978
ZCCHC12	0.14725
TFEC	5.4731
ATP7B	-0.7605
POLD2	-1.18783333333333
RG9MTD1	-0.61925
ACOT2	-0.996
HIST1H4I	-0.18475
PPARGC1A	-0.9896
ETFA	-1.4285
POLRMT	-0.3615
ZNF146	-0.46375
MIA2	0.5865
KLHL6	1.44183333333333
HOXB5	0.68775
NENF	0.846333333333333
CUGBP1	-0.4455
PRSS22	-0.859833333333333
CASC4	0.7051
CUL4B	0.6239
CENPJ	-1.122
PITX1	-1.2425
FLJ31033	1.22716666666667
CELSR3	-1.47833333333333
ZNF568	-0.653
ITSN1	-0.514166666666667
EHBP1L1	0.0706666666666667
C19orf2	-0.27975
DCTN1	-0.93075
LIN28B	-3.879
TNKS2	0.0575
C1QBP	-0.9855
CADPS2	-0.081
SRMS	-0.05225
GJA9	-0.064
MGC24975	0.356166666666667
TRIM45	-1.03016666666667
TSP50	0.329
TCP1	-1.56
TMED7	0.1541
CMA1	0.093
CENPL	-0.808333333333333
PTCRA	0.8175
FST	-3.402
VWCE	-0.1305
PAWR	-0.1645
ABCC12	0.3665
LDLR	-2.4219
ASTN2	0.359
LOC441212	-0.148125
GPATCH8	-0.09075
TANC2	-0.857416666666667
KIF4A	-1.71025
C18orf18	-0.495
PGM1	-0.60575
KIAA0258	-0.3555
CPD	-0.43975
SNCAIP	-2.07875
DCT	-2.8385
HLA-DOA	3.73972727272727
OR11L1	0.572
UPK1B	1.6525
DNAJB4	0.388875
UGT1A8	5.49775
HIST1H4L	-0.0555
PECR	-1.0575
HSPA2	0.726
WFIKKN1	2.506
SERP1	-0.02975
SYDE2	-1.80775
TACR2	0.3555
NUP85	-0.143
CD177	2.652
LGR5	-1.46066666666667
PIGG	0.303166666666667
PTHR1	-0.384666666666667
RAB5A	-0.4874
FLJ13224	0.237
USP9Y	-1.784
C7orf53	1.05
LRP1B	-0.2265
XAF1	4.4644
ABCG8	-1.071
ANKDD1A	0.144833333333333
DAND5	0.032
SPAG6	0.0566666666666667
LINCR	2.18975
ZDHHC22	-0.93675
CCDC60	-0.158
THOC7	-1.63216666666667
TCTA	0.2435
OR8K3	0.3615
NY-REN-7	0.8725
B2M	2.26883333333333
C6orf141	-0.222125
LPPR4	1.722
SQLE	-3.08025
SEPHS1	-1.37775
BTBD14B	0.402785714285714
PLRG1	-0.54575
SPG7	-0.1631875
ZNF614	-0.689833333333333
PARD6G	0.845166666666667
INPP5B	-0.4404
GRPEL2	0.51475
PPID	-0.8534
TRIM56	0.79825
UBE2J1	0.401375
IL20RA	-1.50925
LOC387856	0.289
C1orf107	0.729083333333334
UTS2R	1.45275
C19orf22	-0.68825
SAFB2	0.3875
KIAA0652	-0.19125
KLRG1	0.144666666666667
MS4A8B	0.749
FRAG1	0.45725
KIAA1546	-0.229
E2F4	-0.8995
CLEC4M	0.0175
BTBD14A	-0.93125
KIAA0999	0.2161
GYPA	-3.30866666666667
TAC1	-1.24011111111111
TRAIP	-1.05516666666667
KIAA0232	-0.1036
ERCC8	-2.172125
GPX4	0.816625
KIAA0368	0.1595
GPR157	-0.395166666666667
CTAGE4	1.271
C9orf30	0.596333333333333
OR52A1	0.3575
HSP90B3P	-0.1895
ALG9	-0.2126
BTBD10	0.45125
SDK2	-0.186
BAIAP3	-1.63775
RABGGTB	0.378375
ANKRD40	-0.909166666666667
KRT74	0.455
CALCOCO2	1.02478571428571
SNCA	-2.8935
TMSL8	-3.1665
C2orf53	0.262
ESRRB	-0.338
ARHGAP26	0.966875
TDRD9	-1.1165
HRAS	0.211166666666667
KLRC4	0.019
JAGN1	0.230833333333333
BSDC1	0.19575
RNF43	-1.7029
NDUFAF1	-0.136
PHF12	-0.14175
OR1L3	-0.026
FOLR2	3.54025
LYZL6	-0.2654
tcag7.1260	-0.878
