Hybridization REF	TCGA-CJ-4644-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.447083333333333
CREB3L1	-1.03975
RPS11	-0.213875
PNMA1	0.271
MMP2	-1.39416666666667
C10orf90	-2.187
ZHX3	0.833166666666667
ERCC5	0.45375
GPR98	-1.5235
RXFP3	0.3975
APBB2	0.20825
PRO0478	-0.41075
KLHL13	-0.128
PRSSL1	-0.372
PDCL3	0.75
DECR1	0.50125
SALL1	2.47816666666667
CADM4	-1.1235
RPS18	-0.810428571428571
HNRPD	-0.411833333333333
CFHR5	0.898
SLC10A7	0.03025
OR2K2	-0.334
LMAN1	-0.674375
SUHW1	-3.50525
CHD8	-0.4065
SUMO1	0.5476
GP1BA	0.6218
DDB1	-0.0706666666666667
MYO9B	-0.4335
MMP7	5.6075
CRNKL1	0.12125
C9orf45	-1.90433333333333
XAB2	-0.114
RTN1	0.848875
KLHL14	-1.094375
TBX10	-1.5985
CENPQ	-2.137
UTY	-1.56608333333333
ZBTB12	-0.06
DTNBP1	0.388875
KBTBD8	-1.34616666666667
ZEB1	0.179833333333333
ZG16	-1.21233333333333
MIER1	0.03
ADAM5P	-0.4975
CHD9	0.347375
STK16	1.122
KIAA1486	-0.5545
TOB2	0.79875
BANK1	5.14175
OR2V2	0.35125
GRM2	0.170833333333333
PROSC	1.462
SPIN2B	-0.3925
PIR	-1.52422222222222
IPO9	-0.7299
EVC	1.50833333333333
CXCL13	3.6185
KIAA1199	-4.7179
SORL1	2.6165
NAT10	-0.37325
CHD1	-0.76575
SYN3	-0.09775
SLC22A2	6.48175
SERPINF1	-1.76483333333333
WDR34	-0.48825
OR7A17	0.2675
C9orf11	0.801
RNF216L	0.1713
LHB	0.1405
STK25	0.72
TAOK3	0.814625
LOC152573	-1.383
C3orf39	-0.150375
C14orf108	0.1288
CDC25B	-1.62209090909091
BMP3	0.313
TMEM180	0.6635
MAP1LC3C	0.91125
CRYGC	-1.4885
POU3F1	-0.3848
C20orf32	-0.7
CCDC95	0.076
HIGD1B	4.65925
USP6NL	-0.314125
ABCD4	0.951166666666667
DIMT1L	-1.29225
TEK	2.355625
SLC25A46	0.26225
LARP7	-1.752
CD160	1.81916666666667
MT1JP	-0.8075
PHF20	-0.391875
CPNE4	-1.10625
GTPBP1	-0.624142857142857
RAB33B	0.670166666666667
ALDOC	0.445
ZNF212	-0.11
NUDT1	-1.05916666666667
RFPL2	-0.906
ZNF83	0.643166666666667
GDPD5	-1.831375
PDCD4	0.80455
CEP350	-0.20175
OR10A2	0.2945
CST7	3.10725
CIAO1	0.02075
SELL	1.6855
OR8J3	0.5835
LTBP4	-0.459333333333333
SIRT6	-0.1275
CCL19	1.45575
PPIL1	-1.181
GBP7	2.32266666666667
STK17A	-0.5251
ABR	0.069
OR9G1	0.795
FOXE1	-0.590375
CNGA3	-0.462
GML	0.3875
CD38	-1.24875
ZDHHC6	0.189333333333333
NEFH	-2.8385
CTDSP2	0.865666666666667
PGBD5	3.29183333333333
CCNY	0.576285714285714
RMND5B	0.510083333333333
ZNF257	-3.13725
FLJ22167	-0.051625
EXOSC7	-1.08333333333333
ROR2	-1.015
MAOA	3.062875
TNNT3	1.58816666666667
GYPC	1.2185
C7orf33	0.651
PLIN	0.734333333333333
LOC90826	-0.50575
RNF4	-0.2946
F8A1	0.833166666666667
PLEKHG4	-0.39175
GRB2	0.34365
HIST1H2AD	-0.50475
DUS3L	-0.8145
EIF1	0.313
RP5-1077B9.4	-1.39516666666667
FPGT	1.3355
GDF10	-0.376833333333333
COQ9	1.36
GCC2	0.455857142857143
RARRES3	3.343125
PLXNA1	-0.7501
KIAA0100	0.1941
PMF1	-0.29
FNDC1	2.778
HS2ST1	-0.292583333333333
CRELD2	0.96875
C8G	-2.078
CD82	-0.26
LIM2	-0.6455
UNQ6490	-0.4115
MMP16	-0.71925
DRD3	0.25875
C5orf26	-0.14325
C11orf73	-0.50925
PTP4A2	-0.206375
OR4M2	0.127
HPCA	1.43183333333333
SEC14L1	1.48116666666667
CHFR	-0.2225
EMILIN1	0.14125
NDUFS4	-0.176
COL18A1	1.0235
PDZD3	3.4732
C9orf16	-1.1165
ERBB2IP	0.456333333333333
EMX2	6.392
FUS	-0.70775
TF	-3.8241
CLCN4	1.997
CXorf56	-0.00975
C11orf72	0.5455
ELAC2	-0.697083333333333
NPR1	1.45925
ASS1	-1.161
USP42	-0.202875
POLR2J	-0.1055
SEC23IP	0.346666666666667
UQCRC1	0.15225
LOC729603	-0.03175
C1orf71	-0.859375
POLG	-2.66
ADAM23	-4.76075
TFR2	-1.2095
RICTOR	-0.6226
MGC39606	2.71825
C19orf55	-0.50575
SNAPC1	-0.830666666666667
GNA11	0.699375
CCDC52	-1.15816666666667
FSIP1	0.2735
UPF3A	-0.355
IGSF11	-3.17583333333333
LAGE3	-1.20625
CHST6	-3.9175
UNC13B	1.375875
TTLL4	-1.17725
ZNF687	-0.04725
SDC2	0.3345
