Hybridization REF	TCGA-AK-3465-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.180833333333333
CREB3L1	0.58925
RPS11	0.74925
PNMA1	-0.1095
MMP2	-1.23116666666667
C10orf90	-1.3045
ZHX3	-0.580333333333333
ERCC5	-1.0295
GPR98	-1.15575
RXFP3	1.7595
APBB2	0.42625
PRO0478	-1.830875
KLHL13	0.38625
PRSSL1	-0.4805
PDCL3	0.00600000000000001
DECR1	1.40025
SALL1	-2.7385
CADM4	0.714166666666667
RPS18	-0.0297857142857143
HNRPD	-1.21208333333333
CFHR5	0.4524
SLC10A7	-0.32025
OR2K2	0.7695
LMAN1	-0.913125
SUHW1	-2.2525
CHD8	-1.7277
SUMO1	0.5002
GP1BA	-0.3099
DDB1	-0.720333333333333
MYO9B	-1.2322
MMP7	7.8405
CRNKL1	0.36325
C9orf45	-1.348
XAB2	-0.386875
RTN1	0.295875
KLHL14	-0.311
TBX10	-0.788
CENPQ	-0.8865
UTY	0.0413333333333333
ZBTB12	-0.4115
DTNBP1	-1.016
KBTBD8	1.35133333333333
ZEB1	-1.32316666666667
ZG16	-0.47875
MIER1	0.1809
ADAM5P	1.054
CHD9	-0.646375
STK16	0.21025
KIAA1486	-0.424
TOB2	0.249916666666667
BANK1	2.77575
OR2V2	1.037
GRM2	0.5325
PROSC	0.643875
SPIN2B	0.79675
PIR	-1.22088888888889
IPO9	-1.2856
EVC	-1.26583333333333
CXCL13	0.993833333333333
KIAA1199	-2.8347
SORL1	1.41925
NAT10	-1.14525
CHD1	-1.5725
SYN3	-0.39775
SLC22A2	2.29875
SERPINF1	-3.19016666666667
WDR34	-1.58425
OR7A17	0.2675
C9orf11	-0.3585
RNF216L	-0.1211
LHB	0.21
STK25	-1.097875
TAOK3	0.528375
LOC152573	0.172
C3orf39	0.73875
C14orf108	2.656
CDC25B	-2.57872727272727
BMP3	0.8425
TMEM180	0.8495
MAP1LC3C	-0.251
CRYGC	-1.7395
POU3F1	-0.4656
C20orf32	-1.701
CCDC95	-0.253
HIGD1B	6.0475
USP6NL	-1.6615
ABCD4	0.112166666666667
DIMT1L	-0.6725
TEK	1.200875
SLC25A46	1.38625
LARP7	-1.571
CD160	0.333833333333333
MT1JP	-1.29116666666667
PHF20	-1.503
CPNE4	-0.00575
GTPBP1	-0.982571428571429
RAB33B	1.706
ALDOC	-1.4095
ZNF212	-1.09975
NUDT1	-1.1135
RFPL2	-0.839
ZNF83	0.133166666666667
GDPD5	-1.749125
PDCD4	1.2931
CEP350	-1.9355
OR10A2	1.03025
CST7	-0.70925
CIAO1	-0.107
SELL	0.706857142857143
OR8J3	-0.3335
LTBP4	-0.410666666666667
SIRT6	0.3365
CCL19	3.6565
PPIL1	-1.24433333333333
GBP7	0.4458
STK17A	0.551
ABR	-1.9605
OR9G1	0.376
FOXE1	-0.129
CNGA3	-0.138
GML	0.2685
CD38	-3.06575
ZDHHC6	0.324166666666667
NEFH	-3.223
CTDSP2	-0.051
PGBD5	-0.6585
CCNY	0.363928571428571
RMND5B	0.985666666666667
ZNF257	-0.22625
FLJ22167	0.129625
EXOSC7	1.06083333333333
ROR2	-0.373375
MAOA	1.577125
TNNT3	-0.464166666666667
GYPC	-1.5965
C7orf33	1.839
PLIN	0.494166666666667
LOC90826	0.8205
RNF4	-0.479
F8A1	-1.1995
PLEKHG4	-4.28025
GRB2	-1.38835
HIST1H2AD	0.6005
DUS3L	-0.5205
EIF1	0.178166666666667
RP5-1077B9.4	-1.61716666666667
FPGT	1.402
GDF10	-0.7758
COQ9	2.346
GCC2	-0.249785714285714
RARRES3	4.06825
PLXNA1	-1.0827
KIAA0100	-1.4527
PMF1	0.59525
FNDC1	2.23275
HS2ST1	-0.223583333333333
CRELD2	-0.90725
C8G	0.754
CD82	0.556
LIM2	-0.902
UNQ6490	0.3535
MMP16	-0.66775
DRD3	0.06775
C5orf26	0.715
C11orf73	-0.21225
PTP4A2	-0.332
OR4M2	1.517
HPCA	-1.14733333333333
SEC14L1	-0.843166666666667
CHFR	-1.20875
EMILIN1	-0.171375
NDUFS4	1.4165
COL18A1	-1.56025
PDZD3	0.7155
C9orf16	0.473166666666667
ERBB2IP	0.187166666666667
EMX2	8.3335
FUS	-3.0865
TF	-4.2226
CLCN4	1.40316666666667
CXorf56	0.8585
C11orf72	0.16125
ELAC2	-1.6295
NPR1	-0.30375
ASS1	-2.80066666666667
USP42	-1.292
POLR2J	0.396
SEC23IP	0.683
UQCRC1	1.522
LOC729603	-0.03875
C1orf71	-2.304125
POLG	-3.193
ADAM23	-3.84633333333333
TFR2	0.12325
RICTOR	0.3499
MGC39606	1.92475
C19orf55	-0.473125
SNAPC1	-0.225333333333333
GNA11	1.18525
CCDC52	-0.691333333333333
FSIP1	-2.275
UPF3A	-1.150625
IGSF11	-2.324
LAGE3	-0.11825
CHST6	-3.412
UNC13B	-0.247875
TTLL4	-2.458
ZNF687	-0.699125
SDC2	2.8404
COX7A2	1.63425
LAMB4	6.12875
FAM24A	0.5775
LRRTM3	-0.629833333333333
GPHB5	1.698
OR4C13	-1.637
EIF3EIP	1.70692857142857
HABP4	-0.2825
TMEM125	1.77025
CNTN2	-0.118125
ASNSD1	-0.809
FUT4	-1.08625
ACF	-2.3395
LOC158381	1.0185
CDH8	-1.2545
AGPS	-1.008
C4orf18	6.311625
PECI	0.214916666666667
UNG	-0.271
GSTP1	-1.88
DCUN1D5	-1.23866666666667
DKFZP564J0863	-0.5375
SLC9A3R1	0.925
BCDO2	1.570375
CHMP7	-0.18725
REM2	0.339
DNHD1	-0.0925
FKBP4	-0.61075
ZNF350	1.486
MGC11102	0.152
BST1	-0.24075
KISS1R	1.4935
NCR2	0.9295
DEFB125	0.4885
UBE2W	1.731375
KRT15	-3.387625
C10orf99	0.156
SCN11A	0.033
GFI1	-3.13875
RDHE2	-0.816
FHL1	-0.777166666666667
OSGEP	0.500833333333333
GATA1	-2.5065
SMC6	-1.96675
TTTY14	-0.9765
LPIN3	0.729
RPL4	-0.5594
RBPMS	0.7561
PRPF3	-2.055
EMR1	-1.834
SPATA19	-0.0795
XCR1	1.499
IRX3	-1.1496
RBM6	-1.66975
KLF4	-1.41022222222222
UNC5CL	-0.67125
SEBOX	-0.393
BTK	-2.5915
KRCC1	1.351
C6orf27	0.654
SYTL5	0.113
PRND	1.029375
LOC653319	-2.2895
PIGL	0.362
HUS1	1.78133333333333
SFRS6	1.20525
C17orf77	0.8915
UIMC1	-0.639666666666667
FXYD2	3.2278
LOC283152	-0.62325
ZNF667	-1.198
ZCCHC12	-1.299
TFEC	1.112
ATP7B	0.0126666666666667
POLD2	-1.74066666666667
RG9MTD1	0.938
ACOT2	2.764
HIST1H4I	-0.0972499999999999
PPARGC1A	4.3791
ETFA	0.294
POLRMT	-0.857
ZNF146	-1.240625
MIA2	-0.8915
KLHL6	-2.908
HOXB5	1.62625
NENF	0.4595
CUGBP1	0.758
PRSS22	0.696833333333333
CASC4	2.3837
CUL4B	0.2805
CENPJ	-2.9146
PITX1	-1.41433333333333
FLJ31033	0.4525
CELSR3	-2.0335
ZNF568	0.2345
ITSN1	-1.84458333333333
EHBP1L1	-2.77966666666667
C19orf2	-0.5685
DCTN1	-1.3855
LIN28B	-4.33283333333333
TNKS2	-0.424
C1QBP	-0.662875
CADPS2	2.2235
SRMS	0.565
GJA9	0.8306
MGC24975	-0.824
TRIM45	-2.82316666666667
TSP50	0.16
TCP1	-1.8475
TMED7	1.6656
CMA1	-0.038
CENPL	-1.68683333333333
PTCRA	0.5195
FST	-5.02575
VWCE	-4.62575
PAWR	0.012
ABCC12	0.291
LDLR	-0.7603
ASTN2	3.6194
LOC441212	-0.99425
GPATCH8	-0.83275
TANC2	-1.92
KIF4A	-2.95225
C18orf18	-1.30275
PGM1	-0.62475
KIAA0258	2.69875
CPD	1.105
SNCAIP	3.313
DCT	-4.321
HLA-DOA	1.35531818181818
OR11L1	1.0645
UPK1B	0.872
DNAJB4	-0.502125
UGT1A8	0.10175
HIST1H4L	-1.1055
PECR	0.417833333333333
HSPA2	3.51975
WFIKKN1	-1.387
SERP1	1.237375
SYDE2	-0.55425
TACR2	1.1045
NUP85	-2.101
CD177	0.228
LGR5	-1.4236
PIGG	0.307
PTHR1	0.4405
RAB5A	0.2199
FLJ13224	-0.1465
USP9Y	-0.8052
C7orf53	-0.7285
LRP1B	-0.6045
XAF1	-1.7475
ABCG8	-0.408
ANKDD1A	-0.790166666666667
DAND5	-1.505
SPAG6	-0.145
LINCR	-0.235
ZDHHC22	-0.62425
CCDC60	1.0845
THOC7	-0.411333333333333
TCTA	2.6229
OR8K3	0.27
NY-REN-7	-0.313
B2M	2.91583333333333
C6orf141	-2.602125
LPPR4	-0.07625
SQLE	-1.643875
SEPHS1	0.14175
BTBD14B	0.316214285714286
PLRG1	0.277
SPG7	-0.090125
ZNF614	0.571333333333333
PARD6G	0.497166666666667
INPP5B	-1.2533
GRPEL2	2.265625
PPID	0.00119999999999999
TRIM56	-1.07025
UBE2J1	-0.406
IL20RA	0.827
LOC387856	-0.17325
C1orf107	-0.673166666666667
UTS2R	1.1525
C19orf22	0.29025
SAFB2	-0.838375
KIAA0652	-0.711625
KLRG1	-1.80816666666667
MS4A8B	1.3662
FRAG1	-0.55475
KIAA1546	-0.3355
E2F4	-1.1502
CLEC4M	0.3028
BTBD14A	-0.73775
KIAA0999	0.4323
GYPA	-2.5775
TAC1	7.0337
TRAIP	-1.91016666666667
KIAA0232	0.919
ERCC8	-0.047375
GPX4	1.267375
KIAA0368	-1.29375
GPR157	-0.964166666666667
CTAGE4	-0.1135
C9orf30	-1.047
OR52A1	2.721
HSP90B3P	-1.1055
ALG9	-0.8547
BTBD10	0.50375
SDK2	0.17575
BAIAP3	-2.33875
RABGGTB	-0.6615
ANKRD40	-1.20216666666667
KRT74	-2.046
CALCOCO2	-0.765285714285714
SNCA	-2.0585
TMSL8	-1.924125
C2orf53	0.3215
ESRRB	-0.11325
ARHGAP26	-1.348375
TDRD9	-1.06675
HRAS	-0.765166666666667
KLRC4	-0.828
JAGN1	0.0428333333333333
BSDC1	0.024
RNF43	-1.79577777777778
NDUFAF1	1.72875
PHF12	0.12425
OR1L3	0.00974999999999998
FOLR2	1.33566666666667
LYZL6	0.0453333333333333
tcag7.1260	-0.412
WSB1	-1.35166666666667
PROS1	-0.9671
OSTN	0.947
PSMB8	1.44975
SOCS4	0.5555
DDIT4L	7.65775
MAS1	0.094
MGC34796	1.654
CSHL1	0.3132
TBCCD1	0.0355
ZBTB7C	-0.208
AP2S1	0.238125
P15RS	0.2729
VAT1	-1.4428
SHANK3	0.706333333333333
TUFM	0.339666666666667
THEG	-0.36975
KRT34	-2.20425
SGSM3	-0.33525
TOMM22	1.836875
SOCS3	-0.834833333333333
CPO	1.7295
POP4	1.8805
BHLHB3	-2.4455
MALL	0.3425
OR1B1	-0.046
PARK2	0.895
GPR124	-0.757875
LCE1E	0.738
RUVBL2	-1.04575
CGRRF1	1.9914
ACPL2	-0.73
WNT10B	-1.192875
BAIAP2L2	-1.48975
ISCA1	2.36
C1orf125	-0.424166666666667
RPAP1	-1.1325
RAI16	-0.7025
RPL27	0.186875
NLRP9	0.6655
EPN1	0.0705
