Hybridization REF	TCGA-AK-3455-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.729666666666667
CREB3L1	-0.69825
RPS11	1.117
PNMA1	-0.57
MMP2	-1.91816666666667
C10orf90	-1.996
ZHX3	0.276
ERCC5	1.0685
GPR98	-0.587571428571429
RXFP3	1.23
APBB2	-0.31375
PRO0478	-0.56525
KLHL13	-0.394
PRSSL1	0.365166666666667
PDCL3	0.0936666666666667
DECR1	0.71125
SALL1	1.96366666666667
CADM4	-0.822666666666667
RPS18	0.668428571428571
HNRPD	-0.907416666666667
CFHR5	0.6688
SLC10A7	0.519125
OR2K2	-0.329
LMAN1	-0.664625
SUHW1	-2.615
CHD8	-1.7935
SUMO1	0.8518
GP1BA	0.3056
DDB1	-1.3335
MYO9B	-0.3945
MMP7	5.4595
CRNKL1	0.18375
C9orf45	-2.655
XAB2	-0.764
RTN1	1.482875
KLHL14	-0.628125
TBX10	-1.023
CENPQ	-1.26
UTY	-0.570785714285714
ZBTB12	0.1755
DTNBP1	0.57975
KBTBD8	-0.339833333333333
ZEB1	0.690666666666667
ZG16	-1.258
MIER1	0.7054
ADAM5P	0.39
CHD9	0.4601875
STK16	0.85525
KIAA1486	0.053
TOB2	0.814166666666667
BANK1	6.24825
OR2V2	0.51525
GRM2	0.3615
PROSC	0.844125
SPIN2B	0.05625
PIR	-1.69011111111111
IPO9	-0.9062
EVC	0.851
CXCL13	4.79033333333333
KIAA1199	-5.63022222222222
SORL1	1.532
NAT10	-0.811
CHD1	-0.78275
SYN3	0.03625
SLC22A2	7.74725
SERPINF1	-2.45883333333333
WDR34	-1.02775
OR7A17	0.33475
C9orf11	0.117
RNF216L	0.1599
LHB	0.0405
STK25	-0.6705
TAOK3	0.418375
LOC152573	2.0865
C3orf39	-0.79775
C14orf108	-0.3783
CDC25B	-2.44009090909091
BMP3	0.5285
TMEM180	1.0425
MAP1LC3C	0.3085
CRYGC	-0.517
POU3F1	-0.5171
C20orf32	-0.72
CCDC95	0.039
HIGD1B	5.72225
USP6NL	-0.77075
ABCD4	0.544666666666667
DIMT1L	-0.888083333333333
TEK	1.60325
SLC25A46	0.23275
LARP7	-1.2201
CD160	1.30516666666667
MT1JP	-0.21
PHF20	-1.1293125
CPNE4	-1.534
GTPBP1	-0.770642857142857
RAB33B	1.62833333333333
ALDOC	0.406125
ZNF212	-1.41575
NUDT1	-2.04866666666667
RFPL2	-0.48475
ZNF83	0.946333333333333
GDPD5	-1.794375
PDCD4	0.75995
CEP350	-0.44175
OR10A2	0.95075
CST7	4.5545
CIAO1	-0.61225
SELL	0.67675
OR8J3	0.995
LTBP4	-0.5665
SIRT6	-0.6265
CCL19	2.49925
PPIL1	-0.659
