Hybridization REF	TCGA-BP-4162-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.732833333333333
CREB3L1	-0.70125
RPS11	1.114125
PNMA1	-0.221
MMP2	-1.64716666666667
C10orf90	-1.585
ZHX3	0.291833333333333
ERCC5	0.5125
GPR98	-1.123125
RXFP3	1.048
APBB2	-0.14625
PRO0478	-0.866125
KLHL13	-1.01325
PRSSL1	0.389333333333333
PDCL3	0.247666666666667
DECR1	-0.00512499999999999
SALL1	1.64383333333333
CADM4	-0.770166666666667
RPS18	0.760428571428571
HNRPD	-0.743166666666667
CFHR5	1.1494
SLC10A7	-0.00487500000000003
OR2K2	-0.166
LMAN1	-1.24375
SUHW1	-2.5285
CHD8	-1.4807
SUMO1	0.4578
GP1BA	0.3652
DDB1	-1.52683333333333
MYO9B	0.1871
MMP7	6.35075
CRNKL1	-0.1395
C9orf45	-2.59916666666667
XAB2	-0.487875
RTN1	1.329875
KLHL14	-1.49025
TBX10	-0.467
CENPQ	-1.06475
UTY	-1.50333333333333
ZBTB12	-0.0805
DTNBP1	0.2085
KBTBD8	0.9605
ZEB1	1.48983333333333
ZG16	-1.2355
MIER1	0.9725
ADAM5P	0.058
CHD9	0.1401875
STK16	1.89
KIAA1486	-0.2035
TOB2	0.943916666666667
BANK1	4.6945
OR2V2	0.67475
GRM2	0.415833333333333
PROSC	1.1005
SPIN2B	0.351
PIR	-1.75755555555556
IPO9	-0.7602
EVC	1.20616666666667
CXCL13	6.58983333333333
KIAA1199	-3.988
SORL1	0.9025
NAT10	-0.8985
CHD1	-0.18475
SYN3	0.064
SLC22A2	7.23
SERPINF1	-0.826166666666667
WDR34	-0.516
OR7A17	0.30175
C9orf11	0.5335
RNF216L	0.1689
LHB	0.6165
STK25	0.13725
TAOK3	1.33075
LOC152573	1.143
C3orf39	-0.5295
C14orf108	0.1778
CDC25B	-1.38881818181818
BMP3	0.7205
TMEM180	0.536
MAP1LC3C	-0.1875
CRYGC	-1.3
POU3F1	0.016
C20orf32	-0.974
CCDC95	0.094
HIGD1B	5.22925
USP6NL	-0.730625
ABCD4	0.910833333333333
DIMT1L	-0.799166666666667
TEK	2.703375
SLC25A46	1.0115
LARP7	-1.2567
CD160	1.77
MT1JP	0.223166666666667
PHF20	-0.847
CPNE4	-1.862
GTPBP1	-0.738571428571429
RAB33B	1.65166666666667
ALDOC	-1.844875
ZNF212	-1.1595
NUDT1	-0.799
RFPL2	-0.4475
ZNF83	-0.234166666666667
GDPD5	-1.04175
PDCD4	1.2072
CEP350	-0.88725
OR10A2	0.59675
CST7	4.72675
CIAO1	0.12975
SELL	1.851375
OR8J3	-0.3225
LTBP4	0.0765
SIRT6	-0.17725
CCL19	4.91875
PPIL1	-1.02516666666667
GBP7	3.17516666666667
STK17A	0.2457
ABR	-0.133
OR9G1	0.6835
FOXE1	-0.247125
CNGA3	-0.5545
GML	0.24
CD38	0.6585
ZDHHC6	0.734166666666667
NEFH	-2.75775
CTDSP2	0.399166666666667
PGBD5	1.83483333333333
CCNY	0.675357142857143
RMND5B	0.337916666666667
ZNF257	-2.54125
FLJ22167	0.1505
EXOSC7	-1.55283333333333
ROR2	-0.947875
MAOA	3.18575
TNNT3	0.817333333333333
GYPC	0.8985
C7orf33	0.582
PLIN	0.420166666666667
LOC90826	-0.35725
RNF4	-0.4304
F8A1	0.452333333333333
PLEKHG4	-2.51475
GRB2	0.1059
HIST1H2AD	-0.939
DUS3L	-0.225333333333333
EIF1	0.0441666666666667
RP5-1077B9.4	-1.07133333333333
FPGT	1.79775
GDF10	-1.08733333333333
COQ9	0.74075
GCC2	0.331928571428571
RARRES3	4.14475
PLXNA1	-0.9645
KIAA0100	-1.1335
PMF1	0.6715
FNDC1	0.786
HS2ST1	0.443833333333333
CRELD2	-0.0245
C8G	-0.9305
CD82	-0.2275
LIM2	-0.9715
UNQ6490	-0.0975
MMP16	-0.6035
DRD3	0.338
C5orf26	1.0595
C11orf73	-0.281875
PTP4A2	-0.099875
OR4M2	0.6605
HPCA	0.941666666666667
SEC14L1	0.206666666666667
CHFR	-0.01
