Hybridization REF	TCGA-B8-4148-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.483166666666667
CREB3L1	-0.05725
RPS11	0.39975
PNMA1	-0.176
MMP2	-1.73483333333333
C10orf90	-2.2675
ZHX3	0.4275
ERCC5	-0.423
GPR98	-2.154375
RXFP3	0.639
APBB2	0.529
PRO0478	-0.304
KLHL13	0.99175
PRSSL1	-0.8875
PDCL3	0.449
DECR1	1.751375
SALL1	0.326833333333333
CADM4	0.970333333333333
RPS18	-0.0100714285714286
HNRPD	-0.53975
CFHR5	0.371166666666667
SLC10A7	0.111375
OR2K2	0.914
LMAN1	-0.084375
SUHW1	-3.50975
CHD8	-1.4333
SUMO1	0.3274
GP1BA	-0.1055
DDB1	0.9305
MYO9B	-1.2328
MMP7	8.071
CRNKL1	0.132875
C9orf45	-0.232666666666667
XAB2	0.5485
RTN1	0.876375
KLHL14	-0.5085
TBX10	-1.9995
CENPQ	-0.9885
UTY	0.324142857142857
ZBTB12	-0.2885
DTNBP1	0.234625
KBTBD8	-2.21933333333333
ZEB1	1.11566666666667
ZG16	-1.66925
MIER1	-0.358
ADAM5P	0.407
CHD9	0.031125
STK16	-0.37725
KIAA1486	-0.426
TOB2	-0.171666666666667
BANK1	4.86075
OR2V2	-0.25225
GRM2	0.996833333333333
PROSC	0.917
SPIN2B	0.89775
PIR	-1.69077777777778
IPO9	-1.2268
EVC	1.62533333333333
CXCL13	0.71
KIAA1199	-3.4044
SORL1	2.42825
NAT10	-0.845
CHD1	-1.5475
SYN3	-0.295
SLC22A2	0.07725
SERPINF1	-3.029
WDR34	-1.35125
OR7A17	0.28075
C9orf11	-0.344
RNF216L	0.1297
LHB	-0.121
STK25	-0.469375
TAOK3	0.442625
LOC152573	1.0115
C3orf39	0.658125
C14orf108	1.019
CDC25B	-2.16172727272727
BMP3	1.237
TMEM180	-0.4465
MAP1LC3C	-0.45775
CRYGC	-0.436
POU3F1	-1.1829
C20orf32	-1.1435
CCDC95	-0.876
HIGD1B	4.972
USP6NL	0.231375
ABCD4	-0.505333333333333
DIMT1L	-0.486416666666667
TEK	2.229875
SLC25A46	0.46525
LARP7	-0.8667
CD160	0.702833333333333
MT1JP	-1.569
PHF20	-0.4031875
CPNE4	-2.2755
GTPBP1	-0.0181428571428572
RAB33B	0.8745
ALDOC	-2.242375
ZNF212	-0.458
NUDT1	-1.03816666666667
RFPL2	-2.268
ZNF83	-0.0181666666666667
GDPD5	-2.072625
PDCD4	0.8105
CEP350	-0.8975
OR10A2	0.64725
CST7	-0.15775
CIAO1	-0.0995
SELL	0.818875
OR8J3	0.7385
LTBP4	-0.680833333333333
SIRT6	-0.567
CCL19	4.36575
PPIL1	-0.9635
GBP7	-0.800166666666667
STK17A	2.0285
ABR	2.02325
OR9G1	0.703
FOXE1	-0.782875
CNGA3	-0.9375
GML	-0.0185
CD38	-2.28675
ZDHHC6	0.232
NEFH	-3.64475
CTDSP2	0.325583333333333
PGBD5	-2.00333333333333
CCNY	-0.00721428571428572
RMND5B	1.24858333333333
ZNF257	-1.06875
FLJ22167	0.3835
EXOSC7	1.579
ROR2	-1.100375
MAOA	2.66525
TNNT3	0.395666666666667
GYPC	-1.01875
C7orf33	1.338
PLIN	-0.2765
LOC90826	1.133
RNF4	-0.2809
F8A1	0.09
PLEKHG4	-4.14675
GRB2	-0.3665
HIST1H2AD	-1.76
DUS3L	-0.871333333333333
EIF1	1.0785
RP5-1077B9.4	-1.7645
FPGT	0.8335
GDF10	-2.534
COQ9	1.80875
GCC2	1.01992857142857
RARRES3	3.1995
PLXNA1	-1.371
KIAA0100	-0.2779
PMF1	-0.30525
FNDC1	4.102
HS2ST1	-0.55375
CRELD2	-0.382
C8G	-1.0855
CD82	-0.3895
LIM2	-1.5165
UNQ6490	-1.149
MMP16	-0.478333333333333
DRD3	-0.13525
C5orf26	0.8835
C11orf73	-0.3405
PTP4A2	-0.680625
OR4M2	0.092
HPCA	-0.226333333333333
SEC14L1	0.900333333333334
CHFR	-1.318
EMILIN1	0.613375
NDUFS4	0.9595
COL18A1	-0.718625
PDZD3	-0.1613
C9orf16	0.183333333333333
ERBB2IP	0.49
EMX2	6.86325
FUS	-1.801
TF	-3.911
CLCN4	2.00716666666667
CXorf56	0.54775
C11orf72	0.4495
ELAC2	-0.25975
NPR1	0.487
ASS1	-2.741
USP42	0.02175
POLR2J	-0.6585
SEC23IP	0.608333333333333
UQCRC1	1.426
LOC729603	1.284
C1orf71	-0.94
POLG	-3.111
ADAM23	-4.11125
TFR2	-1.36625
RICTOR	1.1123
MGC39606	3.05175
C19orf55	-0.4655
SNAPC1	-0.949833333333333
GNA11	1.9915
