Hybridization REF	TCGA-B2-4099-01A-02R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.58025
CREB3L1	-1.29525
RPS11	1.168875
PNMA1	-0.29525
MMP2	-1.368
C10orf90	-2.044
ZHX3	-0.2535
ERCC5	0.90275
GPR98	-0.838375
RXFP3	0.6335
APBB2	0.18625
PRO0478	-0.912125
KLHL13	-0.20325
PRSSL1	0.693833333333333
PDCL3	-0.0826666666666667
DECR1	0.306625
SALL1	1.779
CADM4	-1.0822
RPS18	1.05235714285714
HNRPD	-1.12783333333333
CFHR5	0.2526
SLC10A7	0.11325
OR2K2	-0.2865
LMAN1	-0.865875
SUHW1	-3.73425
CHD8	-1.5961
SUMO1	0.1053
GP1BA	1.0433
DDB1	-1.17916666666667
MYO9B	-0.169
MMP7	5.91575
CRNKL1	0.10825
C9orf45	-2.30016666666667
XAB2	-0.222
RTN1	1.966375
KLHL14	-0.6655
TBX10	-0.971
CENPQ	-1.21125
UTY	2.15392857142857
ZBTB12	-0.538
DTNBP1	0.192125
KBTBD8	-0.369166666666667
ZEB1	1.11666666666667
ZG16	-1.5985
MIER1	0.731
ADAM5P	-0.216
CHD9	0.1721875
STK16	1.62475
KIAA1486	-0.146
TOB2	0.305916666666667
BANK1	4.905
OR2V2	0.06125
GRM2	-0.235833333333333
PROSC	1.433
SPIN2B	0.138
PIR	-1.49522222222222
IPO9	-0.685
EVC	1.2045
CXCL13	1.55816666666667
KIAA1199	-4.5128
SORL1	0.65875
NAT10	-0.8325
CHD1	-0.483
SYN3	0.025
SLC22A2	7.07275
SERPINF1	-1.33516666666667
WDR34	-0.8595
OR7A17	0.124
C9orf11	-0.033
RNF216L	-1.4995
LHB	0.407
STK25	0.1135
TAOK3	0.462375
LOC152573	1.26675
C3orf39	-0.662875
C14orf108	0.2334
CDC25B	-1.81090909090909
BMP3	0.071
TMEM180	0.4195
MAP1LC3C	0.6235
CRYGC	-0.9045
POU3F1	-0.6268
C20orf32	-1.155
CCDC95	0.3075
HIGD1B	5.95175
USP6NL	-0.87325
ABCD4	0.903666666666667
DIMT1L	-0.789666666666667
TEK	2.497375
SLC25A46	0.477
LARP7	-1.2308
CD160	2.934
MT1JP	-0.910833333333333
PHF20	-1.066875
CPNE4	-2.53725
GTPBP1	-1.32471428571429
RAB33B	1.79683333333333
ALDOC	-0.52225
ZNF212	-1.411
NUDT1	-1.51666666666667
RFPL2	2.80975
ZNF83	1.6815
GDPD5	-1.458375
PDCD4	0.62735
CEP350	-0.84925
OR10A2	0.704
CST7	2.327
CIAO1	0.155
SELL	2.143125
OR8J3	-0.702
