Hybridization REF	TCGA-B2-4102-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.547333333333333
CREB3L1	-1.15625
RPS11	0.30825
PNMA1	-0.83125
MMP2	-1.201
C10orf90	-2.57925
ZHX3	0.709666666666667
ERCC5	0.894
GPR98	-0.545
RXFP3	0.94
APBB2	0.436
PRO0478	-0.616125
KLHL13	-0.80875
PRSSL1	-0.271
PDCL3	0.0153333333333333
DECR1	0.674
SALL1	1.59216666666667
CADM4	-0.957166666666667
RPS18	0.126785714285714
HNRPD	-1.02066666666667
CFHR5	-0.17175
SLC10A7	-0.1445
OR2K2	-1.196
LMAN1	-1.236875
SUHW1	-3.62425
CHD8	-1.3597
SUMO1	-0.1291
GP1BA	0.5638
DDB1	-0.444833333333333
MYO9B	-0.0808
MMP7	7.89425
CRNKL1	-0.097875
C9orf45	-1.05716666666667
XAB2	0.23125
RTN1	1.986
KLHL14	-0.858125
TBX10	-1.5995
CENPQ	-1.63525
UTY	2.07692857142857
ZBTB12	0.2145
DTNBP1	0.242375
KBTBD8	-0.736833333333333
ZEB1	0.915333333333333
ZG16	-1.307
MIER1	0.4843
ADAM5P	0.9115
CHD9	-0.0874375000000001
STK16	1.267
KIAA1486	-0.424
TOB2	0.80525
BANK1	5.482
OR2V2	0.12475
GRM2	0.342666666666667
PROSC	1.257375
SPIN2B	0.02025
PIR	-1.448
IPO9	-0.426
EVC	1.47783333333333
CXCL13	2.12916666666667
KIAA1199	-3.9044
SORL1	2.0575
NAT10	-0.54925
CHD1	-0.55125
SYN3	1.145
SLC22A2	7.38
SERPINF1	-1.018
WDR34	-0.46825
OR7A17	0.2115
C9orf11	-0.1435
RNF216L	-0.1579
LHB	0.3025
STK25	0.21275
TAOK3	0.874125
LOC152573	2.2595
C3orf39	-0.365125
C14orf108	-0.4317
CDC25B	-1.91645454545455
BMP3	-0.2945
TMEM180	0.7095
MAP1LC3C	-0.28675
CRYGC	-0.766
POU3F1	-0.55
C20orf32	-0.437
CCDC95	0.485
HIGD1B	5.4465
USP6NL	-0.443
ABCD4	0.550833333333333
DIMT1L	-1.10983333333333
TEK	2.76325
SLC25A46	-0.055
LARP7	-0.9168
CD160	2.235
MT1JP	-0.806
PHF20	-0.689125
CPNE4	-1.09075
GTPBP1	-0.790785714285714
RAB33B	1.27016666666667
ALDOC	0.05925
ZNF212	-0.53825
NUDT1	-1.6595
RFPL2	-1.2295
ZNF83	1.2685
GDPD5	-1.13125
PDCD4	0.70345
CEP350	-0.26875
OR10A2	0.41075
CST7	2.7295
CIAO1	-0.3475
SELL	2.1465
OR8J3	0.407
LTBP4	-0.332333333333333
SIRT6	-0.26275
CCL19	2.9915
PPIL1	-0.938
GBP7	1.77866666666667
STK17A	-0.6239
ABR	0.07225
OR9G1	-0.39
FOXE1	-1.085125
CNGA3	-0.579
GML	-0.0255
CD38	-1.13825
ZDHHC6	0.517166666666667
NEFH	-2.7695
CTDSP2	0.153083333333333
PGBD5	0.791333333333333
CCNY	0.84
RMND5B	0.271333333333333
ZNF257	-2.543
FLJ22167	-0.344
EXOSC7	-1.91916666666667
ROR2	-1.337125
MAOA	3.64975
TNNT3	0.161
GYPC	-0.8265
C7orf33	0.528
PLIN	0.304
LOC90826	0.25425
RNF4	-0.2209
F8A1	0.995
PLEKHG4	-1.3465
GRB2	-0.16305
HIST1H2AD	-1.0265
DUS3L	0.1195
EIF1	-0.0668333333333333
RP5-1077B9.4	-1.20183333333333
FPGT	2.03275
GDF10	-1.211
COQ9	0.73975
GCC2	0.284428571428572
RARRES3	3.46525
PLXNA1	-0.459
KIAA0100	-0.2714
PMF1	0.72525
FNDC1	2.14875
HS2ST1	0.18125
CRELD2	0.042
C8G	-0.4595
CD82	-0.98225
LIM2	-0.2265
UNQ6490	0.573
MMP16	-0.70225
DRD3	0.01675
C5orf26	1.1595
C11orf73	-0.42275
PTP4A2	-0.533625
OR4M2	0.4335
HPCA	0.701166666666667
SEC14L1	-0.0938333333333333
CHFR	0.04525
EMILIN1	0.130125
NDUFS4	0.79125
COL18A1	0.4465
PDZD3	3.3073
C9orf16	-0.1
ERBB2IP	0.297333333333333
EMX2	7.23225
FUS	-2.6805
TF	-3.3314
CLCN4	2.06266666666667
CXorf56	0.3495
C11orf72	0.0705
ELAC2	-0.936416666666667
NPR1	0.91275
ASS1	-1.1445
USP42	-0.702375
POLR2J	-0.1295
SEC23IP	0.287166666666667
UQCRC1	-0.2565
LOC729603	-0.11925
C1orf71	-0.819375
POLG	-2.432
ADAM23	-3.80225
TFR2	-0.4645
RICTOR	-0.5706
MGC39606	2.6555
C19orf55	-0.198
SNAPC1	-1.25966666666667
GNA11	0.905
CCDC52	-0.592333333333333
FSIP1	1.349
UPF3A	-0.6335
IGSF11	-1.59466666666667
LAGE3	-0.8675
CHST6	-3.621
UNC13B	0.658625
TTLL4	-1.147375
ZNF687	-0.339625
SDC2	1.1459
COX7A2	0.2065
LAMB4	-0.402
FAM24A	0.074
LRRTM3	-1.2495
GPHB5	0.03275
OR4C13	0.688
EIF3EIP	0.0773571428571429
HABP4	0.5385
TMEM125	3.29325
CNTN2	-0.31575
ASNSD1	-0.30275
FUT4	0.41525
ACF	1.69175
LOC158381	0.152
CDH8	2.05875
AGPS	-0.109333333333333
C4orf18	2.314
PECI	1.09308333333333
UNG	-0.655875
GSTP1	0.675125
DCUN1D5	-2.26666666666667
DKFZP564J0863	-0.26475
SLC9A3R1	1.180375
BCDO2	0.60975
CHMP7	-0.01825
REM2	0.166
DNHD1	0.248375
FKBP4	-1.721875
ZNF350	1.645
MGC11102	-0.25875
BST1	2.19
KISS1R	1.0335
NCR2	0.226
DEFB125	0.4045
UBE2W	1.293375
KRT15	-3.261125
C10orf99	3.2725
SCN11A	0.414625
GFI1	-1.2445
RDHE2	-1.1025
FHL1	2.95
OSGEP	-0.509333333333333
GATA1	-2.953
SMC6	-1.53575
TTTY14	2.2205
LPIN3	0.58675
RPL4	-1.33
RBPMS	2.2111
PRPF3	-0.5395
EMR1	-0.6405
SPATA19	-0.02675
XCR1	-0.1335
IRX3	2.3828
RBM6	-0.43225
KLF4	-0.2629
UNC5CL	3.74025
SEBOX	1.2605
BTK	0.93175
KRCC1	1.0595
C6orf27	0.703
SYTL5	-1.184
PRND	0.302875
LOC653319	0.3025
PIGL	-1.019125
HUS1	-0.131666666666667
SFRS6	-0.276666666666667
C17orf77	-0.662
UIMC1	-0.0315
FXYD2	5.0621
LOC283152	1.042
ZNF667	0.44925
ZCCHC12	-0.971
TFEC	5.3992
ATP7B	0.66
POLD2	-1.13466666666667
RG9MTD1	-0.80375
ACOT2	-0.0745
HIST1H4I	-0.863625
PPARGC1A	1.0883
ETFA	-0.5141
POLRMT	-0.46125
ZNF146	-1.613
MIA2	3.183
KLHL6	0.1325
HOXB5	0.38175
NENF	1.10366666666667
