Hybridization REF	TCGA-AK-3447-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.951
CREB3L1	0.5605
RPS11	0.270125
PNMA1	-0.6535
MMP2	-1.8594
C10orf90	1.12
ZHX3	-1.5348
ERCC5	-1.548
GPR98	0.4235
RXFP3	1.7235
APBB2	-0.457333333333333
PRO0478	-2.15657142857143
KLHL13	1.009
PRSSL1	-1.07016666666667
PDCL3	-0.8825
DECR1	0.7355
SALL1	0.5388
CADM4	0.0367500000000001
RPS18	0.00849999999999996
HNRPD	-2.4625
CFHR5	0.993166666666667
SLC10A7	-0.700285714285714
OR2K2	1.006
LMAN1	-2.014125
SUHW1	-1.9545
CHD8	-1.98575
SUMO1	-0.1077
GP1BA	-0.8743
DDB1	-0.487333333333333
MYO9B	-1.49122222222222
MMP7	-1.314
CRNKL1	-0.5005
C9orf45	-1.23733333333333
XAB2	0.082
RTN1	0.633125
KLHL14	0.000714285714285739
TBX10	0.5365
CENPQ	-1.992
UTY	0.841583333333333
ZBTB12	1.888
DTNBP1	-0.612714285714286
KBTBD8	-0.937166666666667
ZEB1	-3.0356
ZG16	0.122
MIER1	-0.7484
ADAM5P	1.075
CHD9	-0.582
STK16	-0.24275
KIAA1486	0.9115
TOB2	-0.438
BANK1	1.8035
OR2V2	-0.688
GRM2	1.0192
PROSC	-1.1495
SPIN2B	0.44225
PIR	-1.54088888888889
IPO9	-1.985
EVC	-0.662833333333333
CXCL13	2.2562
KIAA1199	-1.5734
SORL1	2.281
NAT10	-0.97325
CHD1	-2.03675
SYN3	-1.7795
SLC22A2	0.477666666666667
SERPINF1	-2.5475
WDR34	-1.761
OR7A17	-1.08625
C9orf11	-0.358
RNF216L	-0.5134
LHB	1.0945
STK25	-1.5745
TAOK3	-1.77975
LOC152573	-0.46475
C3orf39	-0.241375
C14orf108	1.1661
CDC25B	-2.34563636363636
BMP3	-0.8865
TMEM180	0.253
MAP1LC3C	0.1235
CRYGC	1.463
POU3F1	0.0102222222222222
C20orf32	-1.0385
CCDC95	-0.1825
HIGD1B	2.42575
USP6NL	-1.729625
ABCD4	0.268666666666667
DIMT1L	-0.9615
TEK	0.739714285714286
SLC25A46	1.121
LARP7	-1.42766666666667
CD160	1.68033333333333
MT1JP	-1.819
PHF20	-1.25314285714286
CPNE4	-0.832666666666667
GTPBP1	-0.525166666666667
RAB33B	0.866333333333333
ALDOC	-2.1135
ZNF212	-1.852
NUDT1	-2.111
RFPL2	-2.028
ZNF83	-2.08266666666667
GDPD5	-1.295
PDCD4	0.99805
CEP350	-1.584
OR10A2	-1.21625
CST7	0.12225
CIAO1	-0.70075
SELL	0.918375
OR8J3	-3.3585
LTBP4	0.193166666666667
SIRT6	0.656
CCL19	-0.19425
PPIL1	-0.835833333333333
GBP7	0.6382
STK17A	0.1411
ABR	-2.198
OR9G1	4.2135
FOXE1	0.365375
CNGA3	-0.161
GML	0.000499999999999945
CD38	-2.632
ZDHHC6	-0.390333333333333
NEFH	-3.329
CTDSP2	-1.32790909090909
PGBD5	-0.552
CCNY	-0.248142857142857
RMND5B	0.758
ZNF257	-0.9065
FLJ22167	-0.34975
EXOSC7	1.76333333333333
ROR2	-0.685142857142857
MAOA	2.864125
TNNT3	0.42425
GYPC	-0.733
C7orf33	1.26
PLIN	1.03983333333333
LOC90826	0.157666666666667
RNF4	-0.8911
F8A1	-1.686
PLEKHG4	-2.737
GRB2	-2.02565
HIST1H2AD	0.41
DUS3L	-0.328166666666667
EIF1	-0.598666666666667
RP5-1077B9.4	-0.315666666666667
FPGT	0.12375
GDF10	0.596
COQ9	1.942
GCC2	-0.357538461538462
RARRES3	4.86175
PLXNA1	-1.30077777777778
KIAA0100	-1.6082
PMF1	1.96275
FNDC1	0.114333333333333
HS2ST1	0.0072727272727273
CRELD2	-0.924
C8G	-1.7785
CD82	0.14225
LIM2	-0.0479999999999999
UNQ6490	-1.235
MMP16	0.656
DRD3	-0.3685
C5orf26	1.21675
C11orf73	-0.295
PTP4A2	-0.668625
OR4M2	3.2715
HPCA	-0.624333333333333
SEC14L1	-0.297666666666667
CHFR	-1.117375
EMILIN1	-0.38325
NDUFS4	1.235
COL18A1	-0.985625
PDZD3	0.496
C9orf16	1.0255
ERBB2IP	0.0548333333333333
EMX2	7.25875
FUS	-4.0265
TF	-2.84455555555556
CLCN4	-1.858
CXorf56	-1.429
C11orf72	0.204
