Hybridization REF	TCGA-A3-3383-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.707833333333333
CREB3L1	-0.83175
RPS11	0.750625
PNMA1	0.3775
MMP2	-2.07883333333333
C10orf90	-2.23475
ZHX3	0.6815
ERCC5	1.34125
GPR98	-0.813375
RXFP3	1.3785
APBB2	1.28275
PRO0478	-0.597875
KLHL13	-0.00225
PRSSL1	-0.271
PDCL3	-0.0676666666666667
DECR1	0.32225
SALL1	2.61816666666667
CADM4	-1.51733333333333
RPS18	0.223928571428571
HNRPD	-0.0453333333333333
CFHR5	0.289
SLC10A7	0.743375
OR2K2	0.0605
LMAN1	-0.440875
SUHW1	-2.5945
CHD8	-1.229
SUMO1	0.2015
GP1BA	0.5892
DDB1	-1.12933333333333
MYO9B	-0.000300000000000014
MMP7	6.053
CRNKL1	0.239375
C9orf45	-2.4425
XAB2	-0.68775
RTN1	1.86357142857143
KLHL14	0.026125
TBX10	-0.6935
CENPQ	-1.67675
UTY	2.1555
ZBTB12	0.2
DTNBP1	0.38675
KBTBD8	-0.8355
ZEB1	0.916
ZG16	-1.749
MIER1	0.0921
ADAM5P	1.194
CHD9	0.5356875
STK16	0.3155
KIAA1486	-0.201
TOB2	1.17991666666667
BANK1	5.846
OR2V2	0.30225
GRM2	-0.0121666666666667
PROSC	1.067625
SPIN2B	-0.06675
PIR	-1.37911111111111
IPO9	-0.8375
EVC	1.80033333333333
CXCL13	3.84283333333333
KIAA1199	-4.3269
SORL1	1.51675
NAT10	-0.6705
CHD1	-0.27225
SYN3	0.56875
SLC22A2	7.429
SERPINF1	-1.64933333333333
WDR34	-0.84825
OR7A17	0.157
C9orf11	0.1525
RNF216L	-0.2217
LHB	-0.0725
STK25	-0.055375
TAOK3	1.24475
LOC152573	-0.905
C3orf39	-0.432625
C14orf108	0.1077
CDC25B	-1.41418181818182
BMP3	0.138
TMEM180	1.0815
MAP1LC3C	-0.00149999999999999
CRYGC	-1.044
POU3F1	-0.3839
C20orf32	-0.643
CCDC95	-0.02
HIGD1B	5.8085
USP6NL	-0.512125
ABCD4	1.08633333333333
DIMT1L	-1.1825
TEK	2.9665
SLC25A46	-0.069
LARP7	-1.5645
CD160	1.73916666666667
MT1JP	-0.8015
PHF20	-0.622875
CPNE4	-1.54675
GTPBP1	-0.996142857142857
RAB33B	1.79916666666667
ALDOC	0.5835
ZNF212	-0.9925
NUDT1	-1.8005
RFPL2	-1.18225
ZNF83	1.19733333333333
GDPD5	-1.070125
PDCD4	1.3071
CEP350	-0.06225
OR10A2	0.46725
CST7	1.86575
CIAO1	-0.414
SELL	1.0815
OR8J3	-0.3905
LTBP4	-0.655333333333333
SIRT6	-0.7055
CCL19	1.86
PPIL1	-1.11233333333333
GBP7	0.483
STK17A	-0.7683
ABR	-0.063
OR9G1	0.2015
FOXE1	-0.543125
CNGA3	0.2955
GML	0.1915
CD38	-1.2365
ZDHHC6	0.758333333333333
NEFH	-3.107
CTDSP2	0.417166666666667
PGBD5	-1.64383333333333
CCNY	0.425357142857143
RMND5B	-0.365083333333333
ZNF257	-1.37375
FLJ22167	-0.5195
EXOSC7	-1.87183333333333
ROR2	-0.9205
MAOA	0.472
TNNT3	0.139666666666667
GYPC	-0.9685
C7orf33	-0.325
PLIN	0.928333333333333
LOC90826	0.49375
RNF4	-0.1884
F8A1	1.33133333333333
PLEKHG4	-1.10225
GRB2	-0.56425
HIST1H2AD	-0.27825
DUS3L	-0.275166666666667
EIF1	0.665333333333333
RP5-1077B9.4	-1.75783333333333
FPGT	2.01575
GDF10	-1.34033333333333
COQ9	-0.064
GCC2	0.390571428571429
RARRES3	3.221375
PLXNA1	-1.1712
KIAA0100	-1.0274
PMF1	0.62525
FNDC1	0.92475
HS2ST1	0.67125
CRELD2	-0.436
C8G	-1.472
CD82	-1.30425
LIM2	-0.618
UNQ6490	-0.001
MMP16	-0.0885
DRD3	0.3075
C5orf26	1.48025
C11orf73	-0.760375
PTP4A2	-0.287125
OR4M2	0.9915
HPCA	0.999833333333333
SEC14L1	-0.0819999999999999
CHFR	-0.47425
EMILIN1	-0.473875
NDUFS4	0.36775
COL18A1	0.079375
PDZD3	2.8391
C9orf16	-1.171
ERBB2IP	0.292833333333333
EMX2	8.00725
FUS	-2.58475
TF	-4.1124
CLCN4	2.20883333333333
CXorf56	0.81125
C11orf72	0.084
ELAC2	-1.5515
NPR1	0.9075
ASS1	-1.29066666666667
USP42	-0.1825
POLR2J	-1.3405
SEC23IP	0.473833333333333
UQCRC1	-0.723
LOC729603	-0.09775
C1orf71	-0.637625
POLG	-2.445
ADAM23	-4.94575
TFR2	-0.857
RICTOR	-0.4516
MGC39606	2.20775
C19orf55	-0.3055
SNAPC1	-0.0955
GNA11	0.2775
CCDC52	0.057
FSIP1	0.6065
UPF3A	-0.01125
IGSF11	-1.64816666666667
LAGE3	-0.91275
CHST6	-4.471
UNC13B	0.101625
TTLL4	-2.3025
ZNF687	-0.32375
SDC2	1.2434
COX7A2	-0.20275
LAMB4	2.23875
FAM24A	0.952
LRRTM3	-1.04983333333333
GPHB5	0.0155
OR4C13	0.481
EIF3EIP	0.346857142857143
HABP4	0.0675
TMEM125	2.60575
CNTN2	-0.043
ASNSD1	0.1675
FUT4	-0.233125
ACF	1.90675
LOC158381	-0.075
CDH8	-1.04625
AGPS	0.500166666666667
C4orf18	2.592
PECI	0.40675
UNG	-0.576625
GSTP1	0.015125
DCUN1D5	-1.95366666666667
DKFZP564J0863	-0.39575
SLC9A3R1	1.055625
BCDO2	0.13975
CHMP7	0.13875
REM2	-0.0045
DNHD1	-0.015375
FKBP4	-2.0625
ZNF350	1.3625
MGC11102	-0.14025
BST1	2.22
KISS1R	1.2195
NCR2	0.3385
DEFB125	-0.4515
UBE2W	0.978375
KRT15	-3.898625
C10orf99	1.701
SCN11A	0.557
GFI1	-1.01025
RDHE2	-0.575
FHL1	2.797
OSGEP	0.413833333333333
GATA1	-3.473
SMC6	-1.13875
TTTY14	1.192
LPIN3	0.259
RPL4	-0.8221
RBPMS	1.3504
PRPF3	-0.749166666666667
EMR1	-1.116
SPATA19	-0.1045
XCR1	0.05
IRX3	2.693
RBM6	-0.568
KLF4	-0.6692
UNC5CL	3.48425
SEBOX	0.1455
BTK	0.089
KRCC1	1.4855
C6orf27	0.109
SYTL5	-0.4505
PRND	1.03628571428571
LOC653319	-0.3115
PIGL	-0.65325
HUS1	0.00616666666666667
SFRS6	0.29625
C17orf77	-0.035
UIMC1	-0.0695
FXYD2	4.3972
LOC283152	0.2575
ZNF667	-1.5065
ZCCHC12	-0.651
TFEC	5.2528
ATP7B	0.848833333333333
POLD2	-1.7705
RG9MTD1	-0.36725
ACOT2	0.592833333333333
HIST1H4I	-1.121375
PPARGC1A	1.9608
ETFA	-0.5431
POLRMT	-1.1245
ZNF146	-0.8725
MIA2	4.218
KLHL6	-0.447833333333333
HOXB5	-0.164125
NENF	0.7525
CUGBP1	0.09575
PRSS22	-0.736333333333333
CASC4	1.2397
CUL4B	1.2181
CENPJ	-1.4929
PITX1	-2.0395
FLJ31033	1.00266666666667
CELSR3	-2.27566666666667
ZNF568	-0.11075
ITSN1	-0.554833333333333
EHBP1L1	-0.547333333333333
C19orf2	-0.26875
DCTN1	-0.86375
LIN28B	-4.4404
TNKS2	0.515
C1QBP	-1.2605
CADPS2	1.45375
SRMS	0.19475
GJA9	0.220833333333333
MGC24975	-0.603333333333333
TRIM45	-2.5585
TSP50	0.22375
TCP1	-0.772
TMED7	0.8508
CMA1	0.3585
CENPL	-1.752
PTCRA	-0.0245
FST	-5.5295
VWCE	0.659
PAWR	-1.19025
ABCC12	0.3532
LDLR	-3.1772
ASTN2	1.0065
LOC441212	-0.26975
GPATCH8	-0.18075
TANC2	-1.18858333333333
KIF4A	-3.26225
C18orf18	0.212
PGM1	-0.21325
KIAA0258	1.89125
CPD	0.2515
SNCAIP	-1.79125
DCT	-4.39466666666667
HLA-DOA	3.26636363636364
OR11L1	0.458
UPK1B	-0.2465
DNAJB4	1.310625
UGT1A8	2.12275
HIST1H4L	-0.378
PECR	0.235666666666667
HSPA2	0.1815
WFIKKN1	-1.746
SERP1	0.1445
SYDE2	0.8365
TACR2	0.4345
NUP85	-1.0315
CD177	-0.712333333333333
LGR5	-1.797
PIGG	-0.00549999999999998
PTHR1	1.5155
RAB5A	-0.1978
