Hybridization REF	TCGA-A3-3322-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.328416666666667
CREB3L1	-0.56925
RPS11	0.97275
PNMA1	0.427
MMP2	-1.8905
C10orf90	-1.771
ZHX3	0.193833333333333
ERCC5	1.07575
GPR98	-0.400125
RXFP3	0.075
APBB2	0.08675
PRO0478	-0.67575
KLHL13	-0.0555
PRSSL1	-0.5435
PDCL3	0.3205
DECR1	0.119
SALL1	2.06483333333333
CADM4	-0.855333333333333
RPS18	0.529785714285714
HNRPD	-0.425916666666667
CFHR5	0.777666666666667
SLC10A7	0.543571428571429
OR2K2	-0.589
LMAN1	-0.70975
SUHW1	-2.4945
CHD8	-1.4348
SUMO1	0.276
GP1BA	0.2923
DDB1	-0.996166666666667
MYO9B	-0.4622
MMP7	7.03575
CRNKL1	-0.07025
C9orf45	-1.47216666666667
XAB2	0.001
RTN1	0.615875
KLHL14	-0.6475
TBX10	-0.755
CENPQ	-1.102
UTY	0.298666666666667
ZBTB12	0.2585
DTNBP1	0.443625
KBTBD8	-1.522
ZEB1	-0.0803333333333333
ZG16	-1.46975
MIER1	-0.0843
ADAM5P	0.2765
CHD9	-0.1198125
STK16	0.754
KIAA1486	0.5035
TOB2	0.638416666666667
BANK1	4.43975
OR2V2	0.21225
GRM2	-0.00733333333333334
PROSC	1.261375
SPIN2B	0.272
PIR	-1.54166666666667
IPO9	-0.394
EVC	2.309
CXCL13	0.523
KIAA1199	-3.7916
SORL1	1.45425
NAT10	-0.56375
CHD1	-0.477
SYN3	-0.0875
SLC22A2	7.09325
SERPINF1	-1.426
WDR34	-0.92875
OR7A17	0.06725
C9orf11	0.1945
RNF216L	-0.7536
LHB	-0.2995
STK25	0.552875
TAOK3	1.282125
LOC152573	0.724
C3orf39	-0.446875
C14orf108	0.1657
CDC25B	-1.785
BMP3	0.378
TMEM180	0.3455
MAP1LC3C	0.23325
CRYGC	-1.4745
POU3F1	-0.8996
C20orf32	-0.599
CCDC95	0.0415
HIGD1B	4.33925
USP6NL	-0.76125
ABCD4	1.144
DIMT1L	-0.749416666666667
TEK	2.784
SLC25A46	0.22875
LARP7	-1.8927
CD160	1.5746
MT1JP	-0.732666666666667
