Hybridization REF	TCGA-CJ-4638-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.828583333333333
CREB3L1	-0.48525
RPS11	-0.3555
PNMA1	-1.0045
MMP2	-1.624
C10orf90	-1.64625
ZHX3	0.807333333333333
ERCC5	1.80225
GPR98	-2.0865
RXFP3	1.1015
APBB2	-0.39475
PRO0478	0.996125
KLHL13	-1.2375
PRSSL1	-0.6775
PDCL3	-0.144333333333333
DECR1	0.271875
SALL1	0.277833333333333
CADM4	-0.767833333333333
RPS18	-0.854714285714286
HNRPD	-1.68666666666667
CFHR5	-0.102
SLC10A7	-0.790625
OR2K2	0.96
LMAN1	-2.059625
SUHW1	-2.79625
CHD8	-0.5932
SUMO1	-0.0204
GP1BA	2.1006
DDB1	0.0955
MYO9B	0.1756
MMP7	6.908
CRNKL1	-1.033625
C9orf45	-1.479
XAB2	-0.154625
RTN1	0.444571428571429
KLHL14	0.5105
TBX10	-0.6215
CENPQ	-3.0855
UTY	-1.54075
ZBTB12	0.591
DTNBP1	0.54775
KBTBD8	-2.22633333333333
ZEB1	0.989166666666667
ZG16	-1.5045
MIER1	0.5132
ADAM5P	0.5525
CHD9	1.0010625
STK16	0.81975
KIAA1486	0.107
TOB2	1.23858333333333
BANK1	2.1955
OR2V2	-0.10575
GRM2	0.431666666666667
PROSC	1.1185
SPIN2B	-0.24475
PIR	-1.62488888888889
IPO9	-0.1358
EVC	3.796
CXCL13	2.54916666666667
KIAA1199	-4.4254
SORL1	1.08425
NAT10	-0.14425
CHD1	-1.17175
SYN3	-0.74925
SLC22A2	6.67825
SERPINF1	-1.34266666666667
WDR34	0.2985
OR7A17	0.293
C9orf11	0.0715
RNF216L	0.0068
LHB	0.591
STK25	0.7555
TAOK3	1.28475
LOC152573	-0.28025
C3orf39	-0.250375
C14orf108	-1.4068
CDC25B	-1.47545454545455
BMP3	0.588
TMEM180	0.3955
MAP1LC3C	2.49975
CRYGC	-0.9245
POU3F1	0.2633
C20orf32	-0.63
CCDC95	1.1705
HIGD1B	4.0535
USP6NL	-1.597875
ABCD4	1.14683333333333
DIMT1L	-2.00025
TEK	0.353375
SLC25A46	-1.8465
LARP7	-0.7205
CD160	1.5865
MT1JP	-1.02366666666667
PHF20	-0.7845
CPNE4	-1.65575
