Hybridization REF	TCGA-B8-4151-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.61475
CREB3L1	-0.8975
RPS11	1.073875
PNMA1	0.37675
MMP2	-2.1095
C10orf90	-2.047
ZHX3	0.389
ERCC5	0.67625
GPR98	-0.69
RXFP3	1.5185
APBB2	0.378
PRO0478	-1.078375
KLHL13	-1.01875
PRSSL1	-0.183333333333333
PDCL3	0.133333333333333
DECR1	0.77475
SALL1	2.75616666666667
CADM4	-1.2845
RPS18	0.961285714285714
HNRPD	-0.640416666666667
CFHR5	0.501
SLC10A7	0.81675
OR2K2	0.778
LMAN1	-0.681875
SUHW1	-3.28175
CHD8	-1.6773
SUMO1	0.898
GP1BA	0.6549
DDB1	-1.508
MYO9B	-0.8659
MMP7	5.788
CRNKL1	-0.20825
C9orf45	-2.45116666666667
XAB2	-0.4695
RTN1	0.960375
KLHL14	-1.1365
TBX10	-1.111
CENPQ	-0.802
UTY	-1.11907692307692
ZBTB12	-0.424
DTNBP1	0.21725
KBTBD8	-1.15266666666667
ZEB1	1.027
ZG16	-1.3025
MIER1	1.1392
ADAM5P	-0.424
CHD9	0.5138125
STK16	0.6375
KIAA1486	-0.898
TOB2	2.06191666666667
BANK1	5.561
OR2V2	0.1805
GRM2	-0.0125
PROSC	0.35325
SPIN2B	0.15925
PIR	-1.70877777777778
IPO9	-0.9659
EVC	1.912
CXCL13	1.87883333333333
KIAA1199	-3.2507
SORL1	0.82375
NAT10	-1.00425
CHD1	-0.97475
SYN3	0.6595
SLC22A2	7.57825
SERPINF1	-2.75383333333333
WDR34	-1.05675
OR7A17	-0.1195
C9orf11	-1.2155
RNF216L	-0.279
LHB	0.189
STK25	-0.09225
TAOK3	0.799625
LOC152573	-0.39975
C3orf39	-0.62825
C14orf108	0.4525
CDC25B	-3.06027272727273
BMP3	0.308
TMEM180	0.023
MAP1LC3C	0.708
CRYGC	-0.3435
POU3F1	-0.4975
C20orf32	-1.1575
CCDC95	-0.2545
HIGD1B	5.334
