Hybridization REF	TCGA-A3-3329-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.514416666666667
CREB3L1	-1.0515
RPS11	1.048625
PNMA1	0.29725
MMP2	-1.82933333333333
C10orf90	-2.59125
ZHX3	0.0691666666666667
ERCC5	1.10775
GPR98	-0.807857142857143
RXFP3	0.601
APBB2	0.64625
PRO0478	-0.666
KLHL13	-0.76575
PRSSL1	-0.455166666666667
PDCL3	0.0988333333333333
DECR1	-0.2735
SALL1	2.8605
CADM4	-1.4585
RPS18	0.625142857142857
HNRPD	-0.30575
CFHR5	-0.0855
SLC10A7	0.1475
OR2K2	0.0695
LMAN1	-0.414
SUHW1	-2.92725
CHD8	-0.9408
SUMO1	0.2964
GP1BA	1.6293
DDB1	-0.699166666666667
MYO9B	-0.5737
MMP7	3.468
CRNKL1	0.111875
C9orf45	-2.26416666666667
XAB2	-0.62125
RTN1	1.359
KLHL14	-0.08225
TBX10	-0.7435
CENPQ	-1.407
UTY	2.47421428571429
ZBTB12	-0.513
DTNBP1	0.63825
KBTBD8	-0.517166666666667
ZEB1	0.752666666666667
ZG16	-1.274
MIER1	0.4431
ADAM5P	0.744
CHD9	0.1310625
STK16	0.56475
KIAA1486	0.095
TOB2	1.03033333333333
BANK1	5.97675
OR2V2	0.205
GRM2	-0.0873333333333333
PROSC	0.0255
SPIN2B	0.1445
PIR	-1.92688888888889
IPO9	-0.5508
EVC	2.00616666666667
CXCL13	4.59366666666667
KIAA1199	-5.2403
SORL1	1.18275
NAT10	-0.7585
CHD1	-0.47025
SYN3	0.2465
SLC22A2	7.41525
SERPINF1	-1.70883333333333
WDR34	-0.81075
OR7A17	0.299
C9orf11	-0.3645
RNF216L	-0.2678
LHB	-0.194
STK25	-0.0885
TAOK3	1.046375
LOC152573	-1.34
C3orf39	-0.54975
C14orf108	0.4834
CDC25B	-2.27136363636364
BMP3	0.3845
TMEM180	0.6585
MAP1LC3C	0.1705
CRYGC	-0.794
POU3F1	-0.7525
C20orf32	-0.4045
CCDC95	-0.1855
HIGD1B	5.4715
USP6NL	-0.310875
ABCD4	1.41766666666667
DIMT1L	-0.880416666666667
TEK	2.188875
SLC25A46	0.15225
LARP7	-1.4903
CD160	1.44616666666667
MT1JP	-0.599166666666667
PHF20	-0.893375
CPNE4	-1.931
GTPBP1	-0.949857142857143
RAB33B	2.25466666666667
ALDOC	-0.170125
ZNF212	-0.424
NUDT1	-2.03116666666667
RFPL2	-1.60775
ZNF83	1.45233333333333
GDPD5	-1.24375
PDCD4	1.11885
CEP350	-0.30025
OR10A2	0.463
CST7	1.765
CIAO1	-0.38875
SELL	1.125375
OR8J3	0.0825
LTBP4	-0.995333333333333
SIRT6	-0.32275
CCL19	2.60275
PPIL1	-0.670333333333333
GBP7	0.913333333333333
STK17A	-1.1736
ABR	-0.12225
OR9G1	0.2495
FOXE1	-0.295875
CNGA3	-2.777
GML	-0.2175
CD38	-1.9455
ZDHHC6	0.7635
NEFH	-3.60325
CTDSP2	0.752666666666667
PGBD5	-1.25416666666667
CCNY	0.490214285714286
RMND5B	-0.22975
ZNF257	-2.04075
FLJ22167	-0.468875
EXOSC7	-1.82633333333333
ROR2	-1.040375
MAOA	3.2525
TNNT3	0.530333333333333
GYPC	-0.3275
C7orf33	-0.7835
PLIN	1.06583333333333
LOC90826	0.31325
RNF4	-0.1918
F8A1	0.393666666666667
PLEKHG4	-0.94075
GRB2	-0.35285
HIST1H2AD	-0.27575
DUS3L	-0.691166666666667
EIF1	0.387833333333333
RP5-1077B9.4	-1.65116666666667
FPGT	1.8575
GDF10	-1.79166666666667
COQ9	0.09775
GCC2	0.097
RARRES3	3.294625
PLXNA1	-0.9205
KIAA0100	-0.458
PMF1	0.217
FNDC1	1.6065
HS2ST1	0.371083333333333
CRELD2	-0.345
C8G	-1.488
CD82	-1.10025
LIM2	-0.776
UNQ6490	-0.236
MMP16	-0.1735
DRD3	0.103
C5orf26	1.6215
C11orf73	-0.805875
PTP4A2	-0.547625
OR4M2	-1.265
HPCA	0.706833333333333
SEC14L1	0.421833333333333
CHFR	-0.480875
EMILIN1	-0.106375
NDUFS4	0.60575
COL18A1	-0.0437499999999999
PDZD3	3.0365
C9orf16	-1.22516666666667
ERBB2IP	0.353166666666667
EMX2	7.59875
FUS	-1.94875
TF	-3.9008
CLCN4	1.61483333333333
CXorf56	0.71775
C11orf72	0.499
ELAC2	-1.41883333333333
NPR1	0.86675
ASS1	-1.11183333333333
USP42	-0.642875
POLR2J	-1.755
SEC23IP	0.164833333333333
UQCRC1	-0.92625
LOC729603	-0.551
C1orf71	-0.549125
POLG	-3.053
ADAM23	-4.41275
TFR2	-0.91175
RICTOR	-0.5804
MGC39606	1.27125
C19orf55	-0.183125
SNAPC1	-0.468166666666667
GNA11	0.054375
CCDC52	-0.468
FSIP1	-0.0325
