Hybridization REF	TCGA-AK-3440-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.376833333333333
CREB3L1	0.782
RPS11	0.656875
PNMA1	-0.568
MMP2	-2.0375
C10orf90	-2.056
ZHX3	-0.3915
ERCC5	-0.94375
GPR98	-0.78225
RXFP3	0.5595
APBB2	1.098
PRO0478	-1.878875
KLHL13	0.437
PRSSL1	-0.233166666666667
PDCL3	-0.014
DECR1	0.858875
SALL1	-0.455333333333333
CADM4	0.332166666666667
RPS18	-0.414642857142857
HNRPD	-1.00075
CFHR5	0.4378
SLC10A7	0.462142857142857
OR2K2	1.2815
LMAN1	-0.363
SUHW1	-1.2805
CHD8	-1.7845
SUMO1	0.121
GP1BA	0.0275
DDB1	0.0228333333333333
MYO9B	-1.1466
MMP7	5.18975
CRNKL1	0.922875
C9orf45	-1.1675
XAB2	0.041
RTN1	1.082
KLHL14	-0.420285714285714
TBX10	-0.2
CENPQ	-0.86575
UTY	-0.464846153846154
ZBTB12	-0.032
DTNBP1	-0.955625
KBTBD8	-1.85416666666667
ZEB1	-2.19283333333333
ZG16	-0.22125
MIER1	0.2298
ADAM5P	1.237
CHD9	-0.2121875
STK16	-0.379
KIAA1486	0.705
TOB2	0.195583333333333
BANK1	2.07475
OR2V2	0.3985
GRM2	0.182666666666667
PROSC	-0.2665
SPIN2B	0.8695
PIR	-2.52877777777778
IPO9	-0.8608
EVC	-0.289333333333333
CXCL13	0.384
KIAA1199	-3.3206
SORL1	2.908
NAT10	-0.189
CHD1	-1.09925
SYN3	-0.38275
SLC22A2	-0.5335
SERPINF1	-4.01566666666667
WDR34	-1.9395
OR7A17	0.78525
C9orf11	0.0015
RNF216L	-0.3003
LHB	-0.0725
STK25	-1.06075
TAOK3	1.190375
LOC152573	1.22475
C3orf39	0.358875
C14orf108	2.1385
CDC25B	-3.00472727272727
BMP3	0.898
TMEM180	0.39
MAP1LC3C	0.471
CRYGC	0.395
POU3F1	-0.8182
C20orf32	-0.4135
CCDC95	-0.36
HIGD1B	4.62575
USP6NL	-1.404375
ABCD4	-0.0888333333333333
DIMT1L	-1.12616666666667
TEK	1.075625
SLC25A46	1.5345
LARP7	-1.0689
CD160	0.557333333333333
MT1JP	0.6015
PHF20	-1.0214375
CPNE4	0.24
GTPBP1	-0.647214285714286
RAB33B	2.232
ALDOC	-2.28475
ZNF212	-1.21525
NUDT1	-1.64683333333333
RFPL2	-0.796
ZNF83	0.336166666666667
GDPD5	-1.39925
PDCD4	1.09795
CEP350	-2.0975
OR10A2	1.16625
CST7	-0.24975
CIAO1	-0.904
SELL	0.739428571428571
OR8J3	0.8225
LTBP4	-0.659833333333333
SIRT6	0.3505
CCL19	0.6005
PPIL1	-1.83433333333333
GBP7	0.190166666666667
STK17A	1.2041
ABR	-1.55275
OR9G1	0.35
FOXE1	0.3025
