Hybridization REF	TCGA-B8-4154-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.995
CREB3L1	-1.27225
RPS11	1.267625
PNMA1	-0.20875
MMP2	-1.85483333333333
C10orf90	-2.066
ZHX3	0.162166666666667
ERCC5	0.7475
GPR98	0.0867499999999999
RXFP3	0.8535
APBB2	-0.2385
PRO0478	-1.068625
KLHL13	-0.04625
PRSSL1	1.01233333333333
PDCL3	0.0465
DECR1	0.41525
SALL1	2.8625
CADM4	-1.2245
RPS18	1.2685
HNRPD	-1.25208333333333
CFHR5	0.923
SLC10A7	0.103
OR2K2	1.2685
LMAN1	-0.8905
SUHW1	-3.795
CHD8	-1.4944
SUMO1	0.8428
GP1BA	0.3674
DDB1	-1.635
MYO9B	-0.801
MMP7	6.61125
CRNKL1	0.099625
C9orf45	-2.903
XAB2	-0.595875
RTN1	1.405375
KLHL14	-1.006125
TBX10	-1.386
CENPQ	-0.27725
UTY	-1.07461538461538
ZBTB12	-0.3635
DTNBP1	-0.013
KBTBD8	-0.303166666666667
ZEB1	1.1115
ZG16	-1.9695
MIER1	1.0421
ADAM5P	0.194
CHD9	0.2320625
STK16	1.043
KIAA1486	-0.158
TOB2	0.8115
BANK1	6.253
OR2V2	0.3135
GRM2	0.149333333333333
PROSC	1.171125
SPIN2B	0.457
PIR	-1.58955555555556
IPO9	-1.05677777777778
EVC	0.687666666666667
CXCL13	4.78266666666667
KIAA1199	-4.8098
SORL1	0.95125
NAT10	-1.3825
CHD1	-0.8825
SYN3	0.2825
SLC22A2	7.44625
SERPINF1	-2.147
WDR34	-1.4325
OR7A17	0.088
C9orf11	-0.269
RNF216L	-0.0587999999999999
LHB	0.3405
STK25	-0.082125
TAOK3	0.60775
LOC152573	0.29375
C3orf39	-0.697875
C14orf108	0.1914
CDC25B	-2.75845454545455
BMP3	0.735
TMEM180	0.358
MAP1LC3C	1.14675
CRYGC	-1.4565
POU3F1	-0.9955
C20orf32	-1.2755
CCDC95	-0.16
HIGD1B	6.0705
USP6NL	-0.69825
ABCD4	1.36833333333333
DIMT1L	-0.881416666666667
TEK	2.816
SLC25A46	0.4755
LARP7	-1.0938
CD160	3.12233333333333
