Hybridization REF	TCGA-CJ-4643-01A-01R-1188-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.00933333333333334
CREB3L1	-1.0585
RPS11	-0.065625
PNMA1	1.1545
MMP2	-1.43383333333333
C10orf90	-2.192
ZHX3	0.498166666666667
ERCC5	0.48175
GPR98	-0.75075
RXFP3	0.822
APBB2	0.76625
PRO0478	-0.6935
KLHL13	-0.8375
PRSSL1	0.297166666666667
PDCL3	0.358833333333333
DECR1	0.478125
SALL1	1.311
CADM4	-1.42983333333333
RPS18	0.139285714285714
HNRPD	-0.32175
CFHR5	0.624333333333333
SLC10A7	0.53
OR2K2	-1.2925
LMAN1	-0.241375
SUHW1	-3.74925
CHD8	-0.9533
SUMO1	0.5782
GP1BA	0.8041
DDB1	-0.699333333333333
MYO9B	-0.5626
MMP7	6.71675
CRNKL1	-0.10825
C9orf45	-2.63933333333333
XAB2	-0.087625
RTN1	1.719875
KLHL14	-0.91475
TBX10	-1.1035
CENPQ	-1.82275
UTY	-1.46157142857143
ZBTB12	-0.453
DTNBP1	0.544375
KBTBD8	-0.529833333333333
ZEB1	1.26416666666667
ZG16	-1.73325
MIER1	0.6677
ADAM5P	1.0755
CHD9	0.3778125
STK16	-0.3435
KIAA1486	-0.616
TOB2	1.12833333333333
BANK1	5.434
OR2V2	0.40675
GRM2	0.243333333333333
PROSC	0.785125
SPIN2B	-0.11225
PIR	-1.86133333333333
IPO9	-0.933
EVC	1.8625
CXCL13	4.56566666666667
KIAA1199	-5.2276
SORL1	1.73275
NAT10	-0.7305
CHD1	-1.06725
SYN3	0.323
SLC22A2	6.97875
SERPINF1	-1.62316666666667
WDR34	-0.5935
OR7A17	0.18425
C9orf11	0.2355
RNF216L	-0.441
LHB	-0.0875
STK25	0.034125
TAOK3	0.701875
LOC152573	-0.60075
C3orf39	-0.025
C14orf108	0.4968
CDC25B	-2.43872727272727
BMP3	0.2795
TMEM180	0.38
MAP1LC3C	0.91425
CRYGC	-1.614
POU3F1	-0.363
C20orf32	-0.98
CCDC95	-0.557
HIGD1B	5.18725
USP6NL	-0.3385
ABCD4	0.703
DIMT1L	-1.06141666666667
TEK	3.074
SLC25A46	-0.1955
LARP7	-1.1288
CD160	1.09183333333333
MT1JP	-0.610333333333333
PHF20	-0.699125
CPNE4	-2.21075
GTPBP1	-0.713285714285714
RAB33B	1.515
ALDOC	0.35575
ZNF212	-0.56625
NUDT1	-1.64166666666667
RFPL2	-1.4315
ZNF83	-0.0758333333333333
GDPD5	-1.39575
PDCD4	1.0184
CEP350	-0.53
OR10A2	0.43075
CST7	2.2035
CIAO1	-0.67075
SELL	1.5495
OR8J3	0.031
LTBP4	-0.5065
SIRT6	-0.49225
CCL19	3.76575
PPIL1	-1.01283333333333
GBP7	1.33383333333333
STK17A	-0.8126
ABR	-0.09275
OR9G1	-0.1455
FOXE1	-0.82375
CNGA3	-0.204
GML	-0.2165
CD38	-1.822
ZDHHC6	0.337166666666667
NEFH	-3.333
CTDSP2	0.545666666666667
PGBD5	1.641
CCNY	0.448714285714286
RMND5B	0.19625
ZNF257	-1.695
FLJ22167	-0.6315
EXOSC7	-1.3585
ROR2	-1.2555
MAOA	1.426
TNNT3	0.653166666666667
GYPC	0.7815
C7orf33	0.201
PLIN	-0.00333333333333333
LOC90826	-0.28275
RNF4	-0.5287
F8A1	0.6995
PLEKHG4	-2.61225
GRB2	-0.10735
HIST1H2AD	-0.468
DUS3L	-0.5845
EIF1	0.885
RP5-1077B9.4	-1.77183333333333
FPGT	1.84775
GDF10	-2.328
COQ9	0.55625
GCC2	0.0509285714285714
RARRES3	2.625375
PLXNA1	-0.9245
KIAA0100	-0.8379
PMF1	-0.206
FNDC1	2.102
HS2ST1	0.559833333333333
CRELD2	0.1685
C8G	-2.058
CD82	-0.2565
LIM2	-0.808
UNQ6490	0.739
MMP16	-0.26425
DRD3	0.02875
C5orf26	0.84125
C11orf73	-0.73675
PTP4A2	-0.25075
OR4M2	0.946
HPCA	1.36266666666667
SEC14L1	1.642
CHFR	-1.07325
EMILIN1	0.3365
NDUFS4	-0.18225
COL18A1	0.557875
PDZD3	2.5757
C9orf16	-1.10666666666667
ERBB2IP	0.302833333333333
EMX2	6.8225
FUS	-1.1165
TF	-3.7607
CLCN4	2.00733333333333
CXorf56	0.2135
C11orf72	0.3305
ELAC2	-0.54
NPR1	1.72075
ASS1	-0.606666666666667
USP42	-0.433875
POLR2J	-0.7835
SEC23IP	0.0321666666666667
UQCRC1	-0.6025
LOC729603	-0.486
C1orf71	-0.558375
POLG	-3.115
ADAM23	-4.09325
TFR2	-0.99375
RICTOR	-0.4114
MGC39606	2.2525
C19orf55	-0.320125
SNAPC1	-0.274833333333333
GNA11	0.742375
CCDC52	-0.786166666666667
FSIP1	0.2375
UPF3A	-0.17275
IGSF11	-1.94383333333333
LAGE3	-1.226
CHST6	-3.961
UNC13B	0.72525
TTLL4	-1.69975
ZNF687	-0.010875
SDC2	1.2291
COX7A2	-0.6915
LAMB4	0.3075
FAM24A	0.503
LRRTM3	-0.859666666666667
GPHB5	-0.13925
OR4C13	0.0895
EIF3EIP	0.213214285714286
HABP4	1.323
TMEM125	3.6105
CNTN2	-0.014625
ASNSD1	-0.01775
FUT4	0.43575
ACF	1.9515
LOC158381	0.8135
CDH8	-0.00849999999999999
AGPS	0.0253333333333333
C4orf18	3.028375
PECI	0.403083333333333
UNG	-0.499375
GSTP1	0.101125
DCUN1D5	-1.75666666666667
DKFZP564J0863	-0.9595
SLC9A3R1	0.788125
BCDO2	-0.667
CHMP7	-0.4095
REM2	0.099
DNHD1	-1.23075
FKBP4	-1.63525
ZNF350	1.743
MGC11102	-0.256375
BST1	3.559
KISS1R	1.149
NCR2	0.792
DEFB125	-1.018
UBE2W	1.11175
KRT15	-3.746125
C10orf99	0.208
SCN11A	-0.293166666666667
GFI1	-1.7805
RDHE2	-1.76866666666667
FHL1	1.8015
OSGEP	-0.0506666666666667
GATA1	-3.41266666666667
SMC6	-1.73025
TTTY14	-0.82275
LPIN3	-0.04675
RPL4	-0.2246
RBPMS	0.9692
PRPF3	-1.57133333333333
EMR1	-0.7275
SPATA19	0.1825
XCR1	0.053
IRX3	1.8629
RBM6	-1.7095
KLF4	-0.0622
UNC5CL	2.617
SEBOX	0.2315
BTK	-0.231
KRCC1	1.08625
C6orf27	0.503
SYTL5	-0.9375
PRND	3.0965
LOC653319	-0.2735
PIGL	-1.613
HUS1	-0.1765
SFRS6	-0.1745
C17orf77	0.1725
UIMC1	-0.432666666666667
FXYD2	4.276
LOC283152	-0.07525
ZNF667	0.334
ZCCHC12	-1.08775
TFEC	6.3005
ATP7B	0.796
POLD2	-1.2945
RG9MTD1	-0.1455
ACOT2	1.3725
HIST1H4I	-1.493375
PPARGC1A	1.6363
ETFA	-0.2197
POLRMT	-0.494
ZNF146	-0.70225
MIA2	5.162
KLHL6	-0.319166666666667
HOXB5	0.244
NENF	0.723833333333333
CUGBP1	-0.29175
PRSS22	-1.02883333333333
CASC4	1.6095
CUL4B	0.1984
CENPJ	-1.8691
PITX1	-2.50366666666667
FLJ31033	0.3445
CELSR3	-2.91866666666667
ZNF568	0.978
ITSN1	0.0253333333333333
EHBP1L1	-0.68
C19orf2	-0.29475
DCTN1	0.01725
LIN28B	-3.3358
TNKS2	-0.8445
C1QBP	-0.76875
CADPS2	0.9145
SRMS	0.14975
GJA9	0.1385
MGC24975	-0.543666666666667
TRIM45	-1.48016666666667
TSP50	-0.537
TCP1	-1.20475
TMED7	1.3777
CMA1	0.7455
CENPL	-1.83366666666667
PTCRA	0.0015
FST	-4.53725
VWCE	-1.22025
PAWR	-1.20875
ABCC12	0.3398
LDLR	-2.5601
ASTN2	0.8213
LOC441212	-0.585875
GPATCH8	-0.87825
TANC2	-1.62216666666667
KIF4A	-3.6365
C18orf18	1.443
PGM1	0.341
KIAA0258	1.78725
CPD	0.068
SNCAIP	-1.159
DCT	-4.08916666666667
HLA-DOA	3.97081818181818
OR11L1	0.3915
UPK1B	1.065
DNAJB4	1.958625
UGT1A8	4.72325
HIST1H4L	-0.6525
PECR	0.497166666666667
HSPA2	0.84925
WFIKKN1	-1.341
SERP1	0.552375
SYDE2	1.01825
TACR2	0.387
NUP85	-1.418
CD177	-0.5995
LGR5	-2.71566666666667
PIGG	-0.1985
PTHR1	2.39133333333333
RAB5A	-0.0928
FLJ13224	-0.0865
USP9Y	-2.45333333333333
C7orf53	-1.354
LRP1B	-1.73125
XAF1	0.9667
ABCG8	0.088
ANKDD1A	-0.495166666666667
DAND5	-1.727
SPAG6	0.0743333333333333
LINCR	3.27225
ZDHHC22	-1.427375
CCDC60	0.673
THOC7	-1.6605
TCTA	1.8241
OR8K3	0.145
NY-REN-7	2.26
B2M	2.688
C6orf141	-3.116
LPPR4	0.28775
SQLE	-3.008875
SEPHS1	-0.62875
BTBD14B	-0.0717142857142857
PLRG1	-0.47925
SPG7	-0.2409375
ZNF614	0.331
PARD6G	1.711
INPP5B	-0.8896
GRPEL2	0.0285
PPID	-0.9805
TRIM56	-0.12825
UBE2J1	0.470375
IL20RA	-1.4225
LOC387856	1.074
C1orf107	0.257583333333333
UTS2R	1.25775
C19orf22	-0.54675
SAFB2	0.1675
KIAA0652	-0.0385
KLRG1	1.00966666666667
MS4A8B	-0.942166666666667
FRAG1	-0.43625
KIAA1546	0.346
E2F4	-0.8746
CLEC4M	0.139333333333333
BTBD14A	-0.51875
KIAA0999	0.5306
GYPA	-3.24466666666667
TAC1	-0.4599
TRAIP	-2.7425
KIAA0232	1.019
ERCC8	-1.375125
GPX4	1.011375
KIAA0368	-0.39975
GPR157	-1.43666666666667
CTAGE4	0.6635
C9orf30	-0.3005
OR52A1	-0.1015
HSP90B3P	0.027
ALG9	-0.372
BTBD10	0.465
SDK2	0.478
BAIAP3	-0.19325
RABGGTB	-0.137
ANKRD40	0.458166666666667
KRT74	0.8795
CALCOCO2	0.939785714285714
SNCA	-2.39625
TMSL8	-0.50575
C2orf53	0.4025
ESRRB	-0.476
ARHGAP26	-0.15075
TDRD9	-0.59725
HRAS	0.378166666666667
KLRC4	-1.2905
JAGN1	-0.181166666666667
BSDC1	0.38575
RNF43	-1.7901
NDUFAF1	0.253
PHF12	0.29125
OR1L3	0.00574999999999999
FOLR2	3.10858333333333
LYZL6	0.583
