Hybridization REF	TCGA-AK-3453-01A-01R-0864-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.236583333333333
CREB3L1	-0.1895
RPS11	0.86875
PNMA1	0.3385
MMP2	0.617
C10orf90	-1.45675
ZHX3	0.308166666666667
ERCC5	-0.8245
GPR98	-1.7825
RXFP3	1.48
APBB2	-0.4855
PRO0478	-1.829375
KLHL13	1.24475
PRSSL1	0.912
PDCL3	-0.305666666666667
DECR1	0.676875
SALL1	2.67066666666667
CADM4	1.528
RPS18	0.286928571428572
HNRPD	-2.44008333333333
CFHR5	0.643833333333333
SLC10A7	0.250375
OR2K2	1.7915
LMAN1	-1.634375
SUHW1	-1.891
CHD8	-2.8117
SUMO1	-0.0427999999999999
GP1BA	0.2541
DDB1	-1.38166666666667
MYO9B	-1.4538
MMP7	8.8965
CRNKL1	-0.15475
C9orf45	-2.219
XAB2	-0.10975
RTN1	0.668625
KLHL14	1.692
TBX10	-0.574
CENPQ	0.1565
UTY	-1.0165
ZBTB12	0.2945
DTNBP1	-0.437625
KBTBD8	-1.51333333333333
ZEB1	-1.211
ZG16	-0.72075
MIER1	0.00660000000000003
ADAM5P	0.5445
CHD9	-0.5923125
STK16	1.7275
KIAA1486	1.261
TOB2	-0.947833333333333
BANK1	1.55475
OR2V2	0.4815
GRM2	1.199
PROSC	0.628
SPIN2B	1.91225
PIR	-2.637
IPO9	-1.2156
EVC	0.343
CXCL13	0.911666666666667
KIAA1199	-4.2265
SORL1	-0.58125
NAT10	-1.23975
CHD1	-2.14575
SYN3	-0.2625
SLC22A2	5.53175
SERPINF1	-2.53416666666667
WDR34	-1.01725
OR7A17	0.3685
C9orf11	0.3845
RNF216L	0.5385
LHB	0.6825
STK25	-0.51725
TAOK3	0.197
LOC152573	4.765
C3orf39	1.49325
C14orf108	1.1841
CDC25B	-2.55563636363636
BMP3	2.4545
TMEM180	1.392
MAP1LC3C	0.535
CRYGC	0.1075
POU3F1	-0.3022
C20orf32	-0.438
CCDC95	0.7995
HIGD1B	2.673
USP6NL	-0.6105
ABCD4	0.195166666666667
DIMT1L	-0.527
TEK	1.156625
SLC25A46	0.9495
LARP7	-1.9958
CD160	0.833833333333333
MT1JP	-0.1235
PHF20	-1.3249375
CPNE4	-1.07075
GTPBP1	-1.41535714285714
RAB33B	1.019
ALDOC	-2.879625
ZNF212	-1.276
NUDT1	-0.868833333333333
RFPL2	-1.72025
ZNF83	0.5165
GDPD5	-1.417
PDCD4	0.8948
CEP350	-2.6845
OR10A2	1.04175
CST7	0.39175
CIAO1	0.26075
SELL	0.8225
OR8J3	1.613
LTBP4	-0.231166666666667
SIRT6	0.6945
CCL19	1.90325
PPIL1	0.468666666666667
GBP7	0.3952
STK17A	0.6774
ABR	-1.297
OR9G1	0.954
FOXE1	-0.034125
CNGA3	-0.0325
GML	0.3025
CD38	-2.19875
ZDHHC6	1.58683333333333
NEFH	-4.223
CTDSP2	-0.651166666666667
PGBD5	0.165666666666667
CCNY	0.559142857142857
RMND5B	0.825583333333333
ZNF257	-1.7145
FLJ22167	1.338125
EXOSC7	0.0143333333333333
ROR2	-1.01075
MAOA	0.19275
TNNT3	0.575666666666667
GYPC	-1.023
C7orf33	0.8835
PLIN	0.925333333333333
LOC90826	-0.20775
RNF4	-1.2271
F8A1	-0.694333333333333
PLEKHG4	-4.6965
GRB2	-0.3826
HIST1H2AD	-0.866
DUS3L	-0.339166666666667
EIF1	0.177166666666667
RP5-1077B9.4	-1.30333333333333
FPGT	2.21275
GDF10	-0.416833333333333
COQ9	3.423
GCC2	-0.982285714285714
RARRES3	2.5985
PLXNA1	-1.4116
KIAA0100	-1.0652
PMF1	0.9975
FNDC1	0.851
HS2ST1	0.0860833333333333
CRELD2	-1.2265
C8G	-2.1895
CD82	-1.05275
LIM2	-0.169
UNQ6490	0.8675
MMP16	-0.234
DRD3	0.8765
C5orf26	-1.012
C11orf73	-0.196875
PTP4A2	-1.617375
OR4M2	2.2375
HPCA	-0.7325
SEC14L1	-1.19716666666667
CHFR	-0.629625
EMILIN1	-0.0665
NDUFS4	2.042
COL18A1	-0.92175
PDZD3	0.419222222222222
C9orf16	1.06383333333333
ERBB2IP	-0.3795
EMX2	7.954
FUS	-3.318
TF	-3.9735
CLCN4	0.210666666666667
CXorf56	-0.22125
C11orf72	0.88875
ELAC2	-0.796833333333333
NPR1	-0.68325
ASS1	-2.29883333333333
USP42	-1.180625
POLR2J	0.934
SEC23IP	1.26416666666667
UQCRC1	2.57375
LOC729603	-0.25725
C1orf71	-1.8855
POLG	-3.1805
ADAM23	-4.75575
TFR2	-0.135
RICTOR	-0.7622
MGC39606	3.15725
C19orf55	-0.289875
SNAPC1	-0.884166666666667
GNA11	-0.54575
CCDC52	0.407833333333333
FSIP1	0.504
UPF3A	-0.6155
IGSF11	-1.85033333333333
LAGE3	0.122
CHST6	-4.4445
UNC13B	0.9995
TTLL4	-2.79675
ZNF687	-0.45325
SDC2	0.1837
COX7A2	1.90775
LAMB4	0.52075
FAM24A	0.7395
LRRTM3	-0.3095
GPHB5	1.45425
OR4C13	1.065
EIF3EIP	-0.0798571428571428
HABP4	1.1755
TMEM125	1.4695
CNTN2	0.274875
ASNSD1	-0.25125
FUT4	-0.953375
ACF	-2.13475
LOC158381	0.502
CDH8	-0.031
AGPS	-1.1745
C4orf18	0.27575
PECI	0.720666666666667
UNG	-0.257375
GSTP1	-0.150375
DCUN1D5	-0.871166666666667
DKFZP564J0863	-0.61825
SLC9A3R1	-0.914375
BCDO2	-0.317875
CHMP7	0.14325
REM2	0.602
DNHD1	-0.176625
FKBP4	-1.5585
ZNF350	-0.029
MGC11102	0.568125
BST1	-0.03675
KISS1R	1.248
NCR2	0.9295
DEFB125	0.5355
UBE2W	0.97825
KRT15	-3.373875
C10orf99	0.302
SCN11A	0.331125
GFI1	-2.44825
RDHE2	-0.146166666666667
FHL1	-0.888833333333333
OSGEP	-0.635666666666667
GATA1	-3.25266666666667
SMC6	-3.12825
TTTY14	-0.87775
LPIN3	1.11775
RPL4	-1.7725
RBPMS	0.5108
PRPF3	-2.62216666666667
EMR1	-1.111
SPATA19	0.542
XCR1	1.0665
IRX3	-0.777
RBM6	-1.84975
KLF4	-1.3843
UNC5CL	0.83925
SEBOX	0.385
BTK	-1.053
KRCC1	1.302
C6orf27	0.6085
SYTL5	0.373
PRND	2.30685714285714
LOC653319	-1.778
PIGL	1.0955
HUS1	1.5365
SFRS6	0.25875
C17orf77	0.7185
UIMC1	-0.291
FXYD2	5.8471
LOC283152	2.75
ZNF667	-2.71325
ZCCHC12	-0.8245
TFEC	2.3361
ATP7B	0.447833333333333
POLD2	-1.56033333333333
RG9MTD1	1.03725
ACOT2	1.9145
HIST1H4I	0.620875
PPARGC1A	3.217
ETFA	-0.212
POLRMT	-1.30475
ZNF146	-2.3595
MIA2	1.6375
KLHL6	-2.01733333333333
HOXB5	2.62425
NENF	1.71533333333333
CUGBP1	-0.63025
PRSS22	-0.314333333333333
CASC4	0.9045
CUL4B	-0.7367
CENPJ	-2.5891
PITX1	-0.931333333333333
FLJ31033	-0.314666666666667
CELSR3	-2.39033333333333
ZNF568	0.2615
ITSN1	-1.57333333333333
EHBP1L1	-1.3545
C19orf2	-0.8955
DCTN1	-1.35725
LIN28B	-4.1
TNKS2	-0.1555
C1QBP	0.61475
CADPS2	2.65225
SRMS	0.70975
GJA9	0.602833333333333
MGC24975	-1.5035
TRIM45	-0.214833333333333
TSP50	0.353
